tile,cluster,zone,area_m2,n_pts,n_ground,n_class1,n_reclaim,ground_per_m2,class1_per_m2,reclaim_per_m2,med_inten_ground,med_inten_reclaim,med_absang_ground,med_absang_reclaim,planar_ground,planar_ground_n,planar_reclaim,planar_reclaim_n
621594,38,floor,32.75,141,67,74,13,2.045801526717557,2.2595419847328246,0.3969465648854962,29712.0,30816.0,14.934000000000001,14.976,0.09893952935294692,67,0.18119801988012796,13
621594,38,ring,320.75,1404,754,650,1,2.3507404520654713,2.0265003897116136,0.003117692907248636,17840.0,17808.0,14.982000000000001,14.922,0.03001679171504179,754,0.1423395517090853,1
621594,38,far,4203.0,20565,13119,7446,22,3.1213418986438257,1.7715917201998572,0.005234356412086605,17408.0,10616.0,15.282,14.76,0.020984362886338204,1500,0.20657788046977998,22
621594,39,floor,28.75,111,90,21,2,3.130434782608696,0.7304347826086957,0.06956521739130435,18944.0,22104.0,6.282,6.285,0.06806434843559828,90,0.15092999396622986,2
621594,39,ring,309.25,1157,971,186,5,3.139854486661277,0.6014551333872271,0.016168148746968473,21568.0,18880.0,6.264,6.192,0.0400364128114461,971,0.08736250786961364,5
621594,39,far,4164.5,12902,12100,802,2,2.9055108656501383,0.1925801416736703,0.00048024972985952696,22400.0,21152.0,6.228,6.8759999999999994,0.01581332706277294,1500,0.12424365883913424,2
621594,40,floor,31.25,92,84,8,0,2.688,0.256,0.0,11248.0,,9.021,,0.019954905233475984,84,,0
621594,40,ring,309.5,955,866,89,2,2.7980613893376414,0.2875605815831987,0.006462035541195477,21656.0,19304.0,9.006,9.039,0.038778276391724376,866,0.13513268717872506,2
621594,40,far,4169.25,11771,11461,310,17,2.7489356598908676,0.07435390058163939,0.004077471967380225,20512.0,24832.0,8.964,8.478,0.015873025382177275,1500,0.13836107487253457,17
621594,41,floor,37.25,109,89,20,0,2.389261744966443,0.5369127516778524,0.0,7136.0,,12.402000000000001,,0.0170254149221023,89,,0
621594,41,ring,332.0,884,787,97,1,2.3704819277108435,0.2921686746987952,0.0030120481927710845,23728.0,27312.0,12.366,12.438,0.03885618291593573,787,0.19901246906800907,1
621594,41,far,4242.5,11170,10672,498,0,2.51549793753683,0.11738361814967589,0.0,20112.0,,12.351,,0.012876158124441872,1500,,0
621594,42,floor,29.75,74,46,28,1,1.546218487394958,0.9411764705882353,0.03361344537815126,14728.0,27840.0,5.682,5.598,0.04872965435552601,46,0.18825585152904978,1
621594,42,ring,307.0,547,475,72,1,1.5472312703583062,0.23452768729641693,0.003257328990228013,24864.0,5840.0,5.682,5.772,0.02936300746046072,475,0.1713807885831784,1
621594,42,far,4158.25,7445,6973,472,34,1.6769073528527625,0.11350928876330187,0.008176516563458186,23200.0,23936.0,5.676,5.136,0.013157097570001497,1500,0.06006996174528467,34
621594,43,floor,70.0,138,114,24,5,1.6285714285714286,0.34285714285714286,0.07142857142857142,22184.0,25200.0,11.898,11.994,0.10915734461323723,114,0.24481710714871951,5
