tile,cluster,pit,area_m2,floor_px,n_ground_in_floor,n_reclaim_in_floor,depth_A_m,depth_B_m,d_depth_m,dz_floor_med,dz_floor_min,dz_ring_med
621594,15,42,29.510021564125854,120,21,0,0.05318500196023024,0.05936723225551077,0.006182230295280533,-0.013786146677915667,-0.09905627712169007,0.0
621594,16,40,34.37883401124216,138,96,4,1.6673300468654588,1.6734682003931312,0.00613815352767233,0.0,-0.17555537752872397,0.0
621594,17,37,71.71042584117563,284,68,1,0.37622238383454487,0.3797988487424959,0.003576464907951049,0.0,-0.07223148269650892,0.0
621594,17,38,27.63807923978663,109,86,0,0.5691841544019667,0.571274861289794,0.0020907068878273094,0.0,-0.03387239225691019,0.0
621594,18,39,25.770177911237642,105,59,10,0.6062977792141737,0.6155748764078908,0.009277097193717054,-0.0016606948883577388,-0.1305196354891791,0.0
621594,19,36,35.2845947745641,144,77,0,0.437105020747083,0.4358867692662898,-0.001218251480793242,0.0,-0.010159594295259922,0.0
621594,20,34,25.0447596312749,101,67,0,1.159465987230135,1.1571218458399812,-0.002344141390153709,0.0,-0.037465948445515096,0.0
621594,21,35,35.3920031810892,144,76,1,0.42574619236177114,0.4263709057312326,0.0006247133694614604,0.0,-0.0771949441056563,0.0
621594,21,96,51.011520467945346,204,112,3,0.43740383396504967,0.4373858703437463,-1.796362130335183e-05,0.0,-0.0677478496577919,0.0
621594,22,33,20.047676599023994,82,43,8,0.7313658836577019,0.7310810675983817,-0.00028481605932029197,0.0,-0.18751773827943907,0.0
621594,23,91,19.827827319595464,79,24,0,1.1213181931825034,1.0992201251028746,-0.022098068079628774,0.0,-0.21171261288515097,0.0
621594,24,6,23.736663177058652,98,35,8,1.158887323903457,1.1535876564897762,-0.005299667413680709,-5.684341886080802e-14,-0.20468047891716878,0.0
621594,25,7,44.40730413068938,180,59,7,1.4241538316480842,1.4241069424487023,-4.6889199381894286e-05,0.0,-0.3778671467150616,0.0
621594,26,8,55.2484190095217,223,56,3,0.16775190315888722,0.2222009410611463,0.05444903790225908,-5.684341886080802e-14,-0.17248245424229935,0.0
