tile,cluster,zone,area_m2,n_pts,n_ground,n_class1,n_reclaim,ground_per_m2,class1_per_m2,reclaim_per_m2,med_inten_ground,med_inten_reclaim,med_absang_ground,med_absang_reclaim,planar_ground,planar_ground_n,planar_reclaim,planar_reclaim_n
621594,22,ring,285.75,778,724,54,0,2.5336832895888013,0.1889763779527559,0.0,22624.0,,5.658,,0.04874302338623693,724,,0
621594,22,far,4088.0,12572,11283,1289,0,2.7600293542074366,0.31531311154598823,0.0,23840.0,,5.634,,0.013639664096274373,1500,,0
621594,23,floor,19.75,35,24,11,0,1.2151898734177216,0.5569620253164557,0.0,24936.0,,12.543,,0.11053153254246695,24,,0
621594,23,ring,286.0,333,303,30,0,1.0594405594405594,0.1048951048951049,0.0,21328.0,,12.594,,0.05803019743495952,302,,0
621594,23,far,4089.75,12760,4394,8366,45,1.0743933003239807,2.0456018094015525,0.011003117549972493,22144.0,19424.0,12.594,12.402000000000001,0.025586575624004126,1490,0.10268897358162121,45
621594,24,floor,24.5,46,35,11,4,1.4285714285714286,0.4489795918367347,0.16326530612244897,16704.0,18192.0,12.528,12.606000000000002,0.15886614631801876,35,0.22007848163701738,4
621594,24,ring,297.75,645,536,109,13,1.8001679261125105,0.36607892527287994,0.0436607892527288,20176.0,12784.0,12.588000000000001,12.48,0.03962684791028437,536,0.1338084631964307,13
621594,24,far,4130.25,8851,7505,1346,28,1.8170812904787845,0.325888263422311,0.006779250650687005,20816.0,18368.0,12.582,12.702,0.021985644558242257,1500,0.10332753585265664,28
621594,25,floor,45.0,71,59,12,0,1.3111111111111111,0.26666666666666666,0.0,36848.0,,10.74,,0.041594289736735846,59,,0
621594,25,ring,336.25,621,477,144,1,1.4185873605947956,0.42825278810408923,0.002973977695167286,22736.0,16880.0,10.734,10.584,0.050712785073756095,477,0.17827728391023356,1
621594,25,far,4255.0,7931,6082,1849,56,1.4293772032902468,0.4345475910693302,0.013160987074030552,21184.0,21928.0,10.698,10.371,0.0187391348991639,1500,0.06965097822620692,55
621594,26,floor,55.75,72,56,16,0,1.0044843049327354,0.28699551569506726,0.0,12216.0,,12.993,,0.03586597850099338,54,,0
