tile,cluster,pit,area_m2,floor_px,n_ground_in_floor,n_reclaim_in_floor,depth_A_m,depth_B_m,d_depth_m,dz_floor_med,dz_floor_min,dz_ring_med
621594,67,58,15.28985739140472,58,41,0,0.946142386389738,0.9590646041590389,0.012922217769300914,0.0,-0.10675084268018509,0.0
621594,67,59,43.85626712605851,175,94,1,1.6308240297384486,1.6222382887693243,-0.008585740969124345,0.0,-0.037838313199131335,0.0
621594,67,60,17.45969499125945,70,81,0,0.7026121645301941,0.7053100861029975,0.0026979215728033523,0.0,-0.03485187074130636,0.0
621594,68,92,28.792805743225077,119,54,4,1.1332911443221292,1.1368027758081212,0.003511631485991984,0.0,-0.30874169693254316,0.0
621594,69,61,43.49799774762564,175,98,0,0.5455675265612854,0.5455675265612854,0.0,0.0,-0.06919049848215764,0.0
621594,70,62,37.81185613273602,154,110,0,0.4371284198587091,0.44039210073037793,0.0032636808716688392,0.0,0.0,0.0
621594,71,63,36.921563468741205,144,81,0,0.6355627765927352,0.6355627765927352,0.0,0.0,-0.012523714772669337,0.0
621594,72,64,39.1571057818987,156,92,3,0.9765647168160285,0.9764242292994822,-0.00014048751654627267,0.0,-0.12336577624779466,0.0
621594,73,68,27.098030640660536,111,79,3,0.717637041003286,0.717637041003286,0.0,0.0,-0.09904964691594387,0.0
621594,74,69,42.1744629075181,165,143,3,1.1769397871739784,1.1767394669926716,-0.00020032018130677898,0.0,-0.043828579759860986,0.0
621594,74,70,43.499185363061486,176,81,9,0.5944948806171624,0.644318210688823,0.04982333007166062,0.0,-0.12325624294925319,0.0
621594,75,67,37.43627512786392,152,65,4,0.4491195900889693,0.4510656429887945,0.0019460528998251903,0.0,-0.1741667035618093,0.0
621594,76,71,71.37893557173456,287,152,6,2.0790195406152634,2.0785129847325265,-0.0005065558827368477,0.0,-0.13192742443857242,0.0
621594,77,72,30.328346304939195,121,52,0,0.5679803304865914,0.5686141575342845,0.0006338270476931029,0.0,-0.022929531944384962,0.0
621594,78,73,41.95400666896723,168,75,1,0.27612264606710824,0.27612264606710824,0.0,0.0,-0.06631051202208482,0.0
621594,79,75,33.64499542094073,135,72,0,1.1737959983610153,1.172060328781754,-0.0017356695792614119,0.0,0.0,0.0
621594,80,79,23.31001916148733,96,37,5,1.0510674995379077,1.0990698117710167,0.048002312233109024,-7.219114195322618e-12,-0.12212284638115989,0.0
621594,81,27,23.345013188752002,96,38,0,0.6437816723799301,0.6503904860713305,0.006608813691400428,0.0,0.0,0.0
621594,82,28,40.981478456277706,162,50,5,1.050129460006417,1.0505002511641237,0.0003707911577066625,0.0,-0.22311672188902776,0.0
621594,83,29,30.1607113435963,124,62,0,0.8470289698955753,0.8451528726676543,-0.0018760972279210364,0.0,-0.0110743548311234,0.0
621594,84,78,18.312200728868078,74,29,0,0.43631042374408935,0.43109876217937426,-0.005211661564715087,0.0,-0.04563247597479858,0.0
621594,85,30,65.6574932149178,260,154,0,0.34405291845803276,0.34405291845803276,0.0,0.0,0.0,0.0
621594,85,80,39.948126886079216,160,103,0,0.36646445335202316,0.3677978892116016,0.001333435859578458,0.0,-0.032637565357902076,0.0
616591,0,40,44.778136967053555,181,89,1,0.9496822463656827,0.9496822463656827,0.0,0.0,-0.1750395995424583,0.0
616591,1,39,40.045698016680845,160,60,14,1.3827299575334564,1.3840419020100967,0.0013119444766402921,-0.009793154040863783,-0.33143017300017164,0.0
616591,2,0,45.84572416726386,186,98,0,0.3970933486152717,0.3970933486152717,0.0,0.0,0.0,0.0
616591,3,1,48.80091113957354,199,101,6,1.0624744572116924,1.0634684547405868,0.000993997528894397,0.0,-0.14901438122149102,0.0
616591,4,4,35.99302057276872,146,90,0,0.8797368981046816,0.8797368981046816,0.0,0.0,0.0,0.0
616591,5,2,31.772991721309644,129,65,0,0.5291839058547225,0.5291839058547225,0.0,0.0,0.0,0.0
616591,6,3,27.078540778118263,111,76,0,0.36225453245430117,0.36225453245430117,0.0,0.0,0.0,0.0
616591,7,42,26.980582936450514,110,90,0,0.8588234578281799,0.8588234578281799,0.0,0.0,0.0,0.0
616591,8,5,26.185876468631328,106,82,11,1.3181961388128798,1.3161898414238635,-0.002006297389016254,-2.842170943040401e-14,-0.1128822490632615,0.0
616591,9,7,33.37991886991401,132,106,5,1.064000840845324,1.0554464877042733,-0.008554353141050797,0.0,-0.06791201643079603,0.0
616591,10,8,31.810071539846827,129,98,8,1.0205542976723905,1.051708432322755,0.03115413465036454,0.0,-0.09036575110201284,0.0
616591,11,6,29.600195515556987,121,103,4,0.6990597135704775,0.7002482518092279,0.001188538238750425,0.0,-0.21046228106922626,0.0
616591,12,11,44.87956155142359,179,154,1,1.2060654460482283,1.2060654460482283,0.0,0.0,-0.1116235480660066,0.0
616591,13,51,18.498082495601025,76,34,3,0.9535664795618004,0.9515435800491332,-0.002022899512667209,0.0,-0.1493018114518918,0.0
616591,14,45,44.826014964141116,182,108,0,0.27500292968846907,0.27500292968846907,0.0,0.0,0.0,0.0
616591,15,23,25.22875120328618,101,55,1,0.9396884137357802,0.9396884137357802,0.0,0.0,-0.047744442722489566,0.0
616591,16,41,38.012004249216396,155,80,8,0.48679557965061804,0.4801117002373303,-0.006683879413287741,0.0,-0.2080017686685096,0.0
616591,17,58,34.64282509181227,139,57,11,1.5432361371161392,1.5379166340833876,-0.005319503032751527,0.0,-0.370665454369032,0.0
616591,18,49,23.47372958569783,94,30,1,1.1739798876119494,1.1761738786081537,0.0021939909962043203,0.0,-0.24961640170351984,0.0
616591,19,48,29.85407974632896,121,54,5,0.5348876636019213,0.5524624099184621,0.017574746316540768,0.0,-0.12261656793867814,0.0
616591,20,50,29.365148400114546,119,55,2,0.9791133100573575,0.9774305434646635,-0.0016827665926939517,0.0,-0.10617694310661818,0.0
616591,21,9,32.973166972188025,132,96,6,0.5822610793037484,0.5801774634521735,-0.002083615851574905,0.0,-0.057355848440295176,0.0
616591,21,10,37.707542368181194,152,102,0,0.8999383106073537,0.8999383106073537,0.0,0.0,0.0,0.0
616591,21,59,23.629253697199754,94,53,0,0.6935341764548184,0.6935341764548184,0.0,0.0,0.0,0.0
616591,22,37,31.15014092774729,125,102,4,0.7699208489651141,0.7627371480164697,-0.0071837009486444,0.0,-0.17858555238171903,0.0
616591,23,38,35.408125271651414,144,96,0,0.7705644625689843,0.7705644625689843,0.0,0.0,0.0,0.0
616591,24,21,61.40439920738004,246,162,3,1.1424720329841875,1.1403362698472392,-0.0021357631369482988,0.0,-0.035252278713755913,0.0
616591,24,22,49.76512661517432,197,116,0,0.7571422190628709,0.7571422190628709,0.0,0.0,0.0,0.0
616591,25,60,31.43935556800696,125,69,0,0.3324760848694268,0.3324760848694268,0.0,0.0,0.0,0.0
616591,26,20,36.667942075492306,149,62,0,0.6447167090771586,0.6421176060659377,-0.0025991030112209046,0.0,-0.0381816413452043,0.0
616591,27,28,33.86200980264382,137,83,0,1.0064708526978734,1.007013767127944,0.0005429144300705957,0.0,0.0,0.0
616591,27,29,35.42864054935269,144,86,0,0.7124514195713232,0.7124514195713232,0.0,0.0,0.0,0.0
616591,27,57,47.146633581593036,188,106,0,0.299150356594339,0.299150356594339,0.0,0.0,0.0,0.0
616591,28,26,59.026786078226664,238,154,0,0.4641553186597207,0.46949425079856155,0.005338932138840846,0.0,-0.02078156308573398,0.0
616591,29,27,36.36231725424604,146,76,0,0.7858578006081984,0.7828472872995462,-0.0030105133086522073,0.0,0.0,0.0
616591,30,30,44.518771057018654,180,97,0,0.39053522777476246,0.39053522777476246,0.0,0.0,0.0,0.0
616591,31,31,43.00181066740997,175,81,3,0.6054147079117342,0.6054147079117342,0.0,0.0,-0.10722216624060366,0.0
616591,32,34,49.351934141578106,194,104,0,0.7144067130675467,0.7144067130675467,0.0,0.0,0.0,0.0
616591,32,46,46.9689602964766,189,118,4,1.5575880660404664,1.56015780330074,0.0025697372602735413,0.0,-0.3303474504754149,0.0
616591,33,32,34.90939940685912,139,70,5,1.3382568873736886,1.3387183355978323,0.0004614482241436235,0.0,-0.1808163643358398,0.0
616591,33,52,43.28708609893799,174,111,3,0.7397087597891527,0.7404784717937787,0.0007697120046259442,0.0,-0.21662408933491406,0.0
616591,34,33,30.880714249269875,122,78,1,0.6974248466526092,0.6974248466526092,0.0,0.0,-0.11915503481810674,0.0
616591,34,43,46.10264584567117,183,119,0,0.32764361673565645,0.32764361673565645,0.0,0.0,0.0,0.0
616591,35,13,23.95014393046888,93,66,0,1.0517207166129197,1.0517207166129197,0.0,0.0,0.0,0.0
616591,36,16,59.433927113976495,237,123,10,1.5780108137175262,1.5781855798751394,0.00017476615761324865,0.0,-0.10106662652668774,0.0
616591,37,12,59.14751775476254,234,121,4,1.6152227515063373,1.6755645942512842,0.060341842744946916,0.0,-0.15124006622846764,0.0
616591,38,14,31.560969636628496,126,163,2,1.1979996663192765,1.2019840686545535,0.003984402335277082,0.0,-0.15472795253072036,0.0
616591,39,54,36.7142006670647,149,93,0,0.3712499762228276,0.37485354000205007,0.0036035637792224406,0.0,0.0,0.0
616591,40,18,16.37490827442992,66,45,1,0.9049537684087454,0.8988455019205048,-0.006108266488240588,-0.00033303327197131694,-0.11220210365360117,0.0
616591,40,44,17.70761301879383,73,39,5,0.9521746350920921,0.9563241438412433,0.0041495087491512095,0.0,-0.19059245436392303,0.0
616591,41,15,103.6888350623773,416,687,0,1.1892528517501546,1.1855065746484001,-0.0037462771017544583,4.0139106204151176e-05,-0.05227915697014396,0.0
616591,42,17,32.94178074699999,134,92,7,1.0995872820883505,1.0924425712013317,-0.007144710887018846,0.0,-0.14283215000386917,0.0
616591,43,24,17.688397334811008,72,31,3,0.8873884239677068,0.8932218656935333,0.00583344172582656,0.0,-0.2195492537842938,0.0
616591,44,19,35.68741995264159,145,103,0,0.5326351832430305,0.5330576762423789,0.00042249299934837836,0.0,-0.041565893441656954,0.0
616591,45,56,16.758364406528123,66,97,0,0.7426754835140628,0.736247122800421,-0.006428360713641723,0.0,-0.06042840739695521,0.0
616591,46,25,37.0060857266051,147,85,5,0.942785973815603,0.9435300827523747,0.0007441089367716813,-5.684341886080802e-14,-0.09629523644156279,0.0
616591,47,35,38.24077496232389,155,83,4,1.1039404583438568,1.0952901809536115,-0.008650277390245265,0.0,-0.21654874392834245,0.0
616591,48,53,40.05137753371185,162,118,0,0.3981191964058439,0.40655263955568444,0.008433443149840514,0.0,0.0,0.0
616591,49,36,37.36682647133989,150,108,6,1.4110291861601922,1.4066156173351487,-0.004413568825043512,0.0,-0.13090630763196032,0.0
616591,50,47,40.513089262467226,163,77,14,1.0467065586247486,1.0476859436337804,0.0009793850090318301,-6.476308942637843e-05,-0.20033516019867648,0.0
616591,51,55,30.865649976817473,125,82,0,0.7416962677403376,0.7416962677403376,0.0,0.0,0.0,0.0
615591,0,12,37.15105993076395,150,89,19,1.2381488369333624,1.3083599737510099,0.07021113681764746,-0.009121901842860325,-0.26102919115697887,0.0
615591,1,17,32.516224756010175,132,85,6,1.0458039466017794,1.0392882737906461,-0.0065156728111332995,0.0,-0.11077072204045635,0.0
615591,1,27,100.18749108210393,402,90,8,0.543999273382326,0.5351403646406538,-0.008858908741672167,-0.00026537236874446535,-0.21498756941360853,0.0
615591,2,11,27.481727618884307,111,132,6,1.1560515705397734,1.1539552540076556,-0.0020963165321177257,0.0,-0.16149561524730416,0.0
615591,3,18,27.519780745854494,111,62,6,0.8569289297940941,0.856487503648566,-0.0004414261455281121,0.0,-0.10003755505346135,0.0
