block,permit,name,status,spud_year,permit_year,on_chm_min,baseline_p75,deficit,x,y
e1423n2235,083-12117,K & D 72,DEP Orphan List,1800.0,1995.0,,25.25933837890625,,700736.7577751352,4647838.758326286
e1423n2235,083-11865,MIDDLEBROUGH 18,DEP Orphan List,1800.0,1995.0,20.876220703125,25.25933837890625,4.38311767578125,700415.8866694373,4647064.136545775
e1423n2235,083-42993,MELVIN 164,DEP Abandoned List,1800.0,1984.0,0.4281005859375,25.25933837890625,24.83123779296875,698441.9094118936,4647858.463571533
e1423n2235,083-42995,MELVIN 030,DEP Abandoned List,1800.0,1984.0,0.01959228515625,25.25933837890625,25.23974609375,698570.3162522425,4647831.495142232
e1423n2235,083-11872,MIDDLEBROUGH 8 A,DEP Orphan List,1800.0,1995.0,14.593017578125,25.25933837890625,10.66632080078125,700303.3039881232,4647975.86811576
e1423n2235,083-11891,MIDDLEBROUGH E 019,DEP Orphan List,1800.0,1995.0,20.7557373046875,25.25933837890625,4.50360107421875,700506.5769797593,4647295.507913845
e1423n2235,083-10703,LAWTON 013,DEP Orphan List,1800.0,1995.0,0.2554931640625,25.25933837890625,25.00384521484375,700233.503190653,4648289.055065953
e1423n2235,083-10654,WILTSIE LEASE 8,DEP Orphan List,1800.0,1995.0,15.3289794921875,25.25933837890625,9.93035888671875,700142.3788676575,4647193.6627287185
e1423n2235,083-11647,GEORGE FARM 2,DEP Orphan List,1800.0,1995.0,18.5718994140625,25.25933837890625,6.68743896484375,699594.8687833942,4648441.86709421
e1423n2235,083-11660,GEORGE FARM 4,DEP Orphan List,1800.0,1995.0,15.45672607421875,25.25933837890625,9.8026123046875,699399.1672286117,4648570.495257158
e1423n2235,083-12001,WHITEHEAD 04,DEP Orphan List,1800.0,1995.0,4.79534912109375,25.25933837890625,20.4639892578125,700446.686884175,4648581.892574744
e1423n2235,083-11705,BROOKS 27,DEP Orphan List,1800.0,1995.0,9.82733154296875,25.25933837890625,15.4320068359375,698133.5605684784,4648965.100900586
e1423n2235,083-11849,MIDDLEBROUGH 1,DEP Orphan List,1800.0,1995.0,19.5260009765625,25.25933837890625,5.73333740234375,700476.8938641982,4647065.8589341445
e1423n2235,083-11989,WHITEHEAD 43,DEP Orphan List,1800.0,1995.0,12.2265625,25.25933837890625,13.03277587890625,700226.0442986136,4648121.265005747
e1423n2235,083-42999,MELVIN 032,DEP Abandoned List,1800.0,1984.0,20.7506103515625,25.25933837890625,4.50872802734375,698716.9226096782,4647844.821420428
e1423n2235,083-10656,WILTSIE LEASE 60,DEP Orphan List,1800.0,1995.0,11.147216796875,25.25933837890625,14.11212158203125,700067.0615950469,4647161.091173073
e1423n2235,083-10658,WILTSIE LEASE 19,DEP Orphan List,1800.0,1995.0,0.0093994140625,25.25933837890625,25.24993896484375,700250.3437755601,4647151.0340142995
e1423n2235,083-10684,LAWTON 14,DEP Orphan List,1800.0,1995.0,18.4884033203125,25.25933837890625,6.77093505859375,700040.8006854936,4648634.337515643
e1423n2235,083-10680,LAWTON 106,DEP Orphan List,1800.0,1995.0,0.05181884765625,25.25933837890625,25.20751953125,700033.7116576296,4648344.429696621
e1423n2235,083-11694,BROOKS 48,DEP Orphan List,1800.0,1995.0,20.629150390625,25.25933837890625,4.63018798828125,697919.7142100822,4649032.252930888
e1423n2235,083-11702,BROOKS 24,DEP Orphan List,1800.0,1995.0,,25.25933837890625,,697730.2213728422,4648996.410365248
e1423n2235,083-11862,MIDDLEBROUGH 14,DEP Orphan List,1800.0,1995.0,,25.25933837890625,,700701.0296583115,4647224.7692010235
e1423n2235,083-42998,MELVIN 031,DEP Abandoned List,1800.0,1984.0,0.02130126953125,25.25933837890625,25.238037109375,698629.1728979202,4647844.587900101
e1423n2235,083-10707,WILSON 11,DEP Orphan List,1800.0,1995.0,11.37353515625,25.25933837890625,13.88580322265625,699882.4238431947,4648294.494044015
e1423n2235,083-12007,WHITEHEAD 010,DEP Orphan List,1800.0,1995.0,10.6517333984375,25.25933837890625,14.60760498046875,700308.9164029224,4648329.521966324
e1423n2235,083-10706,WILSON 10,DEP Orphan List,1800.0,1995.0,16.6409912109375,25.25933837890625,8.61834716796875,699914.6392508185,4648234.39285293
e1423n2235,083-42918,MELVIN 012,DEP Abandoned List,1800.0,1984.0,0.06744384765625,25.25933837890625,25.19189453125,698614.2890314454,4648853.52452665
e1423n2235,083-11873,MIDDLEBROUGH 9 A,DEP Orphan List,1800.0,1995.0,15.17803955078125,25.25933837890625,10.081298828125,700257.6373815892,4647974.5795276025
e1423n2235,083-10693,LAWTON 124,DEP Orphan List,1800.0,1995.0,3.7803955078125,25.25933837890625,21.47894287109375,699362.0528031224,4648371.203136487
e1423n2235,083-11708,BROOKS 28,DEP Orphan List,1800.0,1995.0,,25.25933837890625,,697630.3496621673,4648916.840799077
e1423n2235,083-11850,MIDDLEBROUGH 2,DEP Orphan List,1800.0,1995.0,,25.25933837890625,,700537.8182612283,4647067.579508668
e1423n2235,083-12409,WILTSIE LEASE 22,DEP Orphan List,1800.0,1995.0,16.11529541015625,25.25933837890625,9.14404296875,700131.9333814636,4647025.6780278655
e1423n2235,083-12116,K & D 20,DEP Orphan List,1800.0,1995.0,,25.25933837890625,,700714.6664571017,4647918.923245653
e1423n2235,083-12118,K & D 75,DEP Orphan List,1800.0,1995.0,15.422607421875,25.25933837890625,9.83673095703125,700622.50085445,4648083.675552548
e1423n2235,083-42044,MELVIN 225,DEP Abandoned List,1800.0,1983.0,6.6942138671875,25.25933837890625,18.56512451171875,698523.1655490301,4647927.744336833
e1423n2235,083-42965,MELVIN 172,DEP Abandoned List,1800.0,1984.0,0.029266357421875,25.25933837890625,25.230072021484375,698490.510397504,4648072.183030909
e1423n2235,083-10686,LAWTON 17,DEP Orphan List,1800.0,1995.0,,25.25933837890625,,700003.434151078,4648877.208004193
e1423n2235,083-10702,LAWTON 8,DEP Orphan List,1800.0,1995.0,13.9033203125,25.25933837890625,11.35601806640625,700051.9685545885,4648238.151362761
e1423n2235,083-10682,LAWTON 9,DEP Orphan List,1800.0,1995.0,12.9700927734375,25.25933837890625,12.28924560546875,699803.4257440191,4648398.951215059
e1423n2235,083-12014,WHITEHEAD WH 13,DEP Orphan List,1800.0,1995.0,21.04022216796875,25.25933837890625,4.2191162109375,700448.0196106152,4648264.550530073
e1423n2235,083-11649,GEORGE FARM 4,DEP Orphan List,1800.0,1995.0,11.7296142578125,25.25933837890625,13.52972412109375,699725.6943170476,4648128.392497626
e1423n2235,083-11869,MIDDLEBROUGH 25,DEP Orphan List,1800.0,1995.0,11.2578125,25.25933837890625,14.00152587890625,700324.4672570196,4647214.133850432
e1423n2235,083-11889,MIDDLEBROUGH E 016,DEP Orphan List,1800.0,1995.0,,25.25933837890625,,700691.5803118956,4647224.502076067
e1423n2235,083-11998,WHITEHEAD 01,DEP Orphan List,1800.0,1995.0,10.72320556640625,25.25933837890625,14.5361328125,700442.5413278991,4648191.274039137
e1423n2235,083-42994,MELVIN 029,DEP Abandoned List,1800.0,1984.0,0.0235595703125,25.25933837890625,25.23577880859375,698512.1402044094,4647868.2061542105
e1423n2235,083-10659,WILTSIE LEASE 12,DEP Orphan List,1800.0,1995.0,14.77447509765625,25.25933837890625,10.48486328125,700220.7016844442,4647119.638150757
e1423n2235,083-10688,LAWTON 1,DEP Orphan List,1800.0,1995.0,14.15704345703125,25.25933837890625,11.102294921875,700163.4834457965,4648607.236983808
e1423n2235,083-10709,WILSON 19,DEP Orphan List,1800.0,1995.0,0.07366943359375,25.25933837890625,25.1856689453125,699775.6799950153,4648291.488504307
e1423n2235,083-11983,WHITEHEAD 7,DEP Orphan List,1800.0,1995.0,6.397705078125,25.25933837890625,18.86163330078125,700234.5923974349,4648520.896971832
e1423n2235,083-12006,WHITEHEAD 09,DEP Orphan List,1800.0,1995.0,13.44415283203125,25.25933837890625,11.815185546875,700305.2683762999,4648458.771057001
e1423n2235,083-12123,K & D 113,DEP Orphan List,1800.0,1995.0,0.2440185546875,25.25933837890625,25.01531982421875,700635.4743023814,4648047.259036428
e1423n2235,083-10655,WILTSIE LEASE 10,DEP Orphan List,1800.0,1995.0,17.1573486328125,25.25933837890625,8.10198974609375,700095.4178782371,4647238.123259391
e1423n2235,083-11648,GEORGE FARM 3,DEP Orphan List,1800.0,1995.0,19.22552490234375,25.25933837890625,6.0338134765625,699613.4961537274,4648106.9001953155
e1423n2235,083-11993,WHITEHEAD WH 4,DEP Orphan List,1800.0,1995.0,1.85498046875,25.25933837890625,23.40435791015625,700238.9693178936,4648204.085891224
e1423n2235,083-08114,BROOKS 3,DEP Orphan List,1800.0,1990.0,,25.25933837890625,,697441.003887616,4649009.692537585
e1423n2235,083-10694,LAWTON 149,DEP Orphan List,1800.0,1995.0,4.378662109375,25.25933837890625,20.88067626953125,699476.417720183,4648100.045846189
e1423n2235,083-10695,LAWTON 157,DEP Orphan List,1800.0,1995.0,10.40985107421875,25.25933837890625,14.8494873046875,699413.3623780988,4648174.506523359
e1423n2235,083-10698,LAWTON 2B,DEP Orphan List,1800.0,1995.0,1.99432373046875,25.25933837890625,23.2650146484375,699450.8919874353,4648465.267500763
e1423n2235,083-10705,WILSON 3,DEP Orphan List,1800.0,1995.0,18.80267333984375,25.25933837890625,6.4566650390625,699947.7122146379,4648143.867150678
e1423n2235,083-11662,GEORGE FARM 139,DEP Orphan List,1800.0,1995.0,20.45819091796875,25.25933837890625,4.8011474609375,699349.3427573716,4648820.685416815
e1423n2235,083-11688,BROOKS 49,DEP Orphan List,1800.0,1995.0,,25.25933837890625,,697838.63420187,4649105.667804724
e1423n2235,083-11704,BROOKS 66,DEP Orphan List,1800.0,1995.0,0.0306396484375,25.25933837890625,25.22869873046875,698287.5276805953,4648969.401910089
e1423n2235,083-11854,MIDDLEBROUGH 6,DEP Orphan List,1800.0,1995.0,15.33203125,25.25933837890625,9.92730712890625,700474.227417357,4647157.35234676
e1423n2235,083-11856,MIDDLEBROUGH 8,DEP Orphan List,1800.0,1995.0,,25.25933837890625,,700611.3261909531,4647161.224969316
e1423n2235,083-11859,MIDDLEBROUGH 11,DEP Orphan List,1800.0,1995.0,10.82037353515625,25.25933837890625,14.43896484375,700472.506057082,4647218.312563771
e1423n2235,083-11861,MIDDLEBROUGH 13,DEP Orphan List,1800.0,1995.0,,25.25933837890625,,700609.6036519276,4647222.1851943135
e1423n2235,083-11864,MIDDLEBROUGH 16,DEP Orphan List,1800.0,1995.0,14.23016357421875,25.25933837890625,11.0291748046875,700396.3315592444,4647216.161988862
e1423n2235,083-11866,MIDDLEBROUGH 19,DEP Orphan List,1800.0,1995.0,14.43206787109375,25.25933837890625,10.8272705078125,700381.9419264764,4647185.19589939
e1423n2235,083-11883,MIDDLEBROUGH E 09,DEP Orphan List,1800.0,1995.0,20.8399658203125,25.25933837890625,4.41937255859375,700483.5345209731,4647065.713092036
e1423n2235,083-11897,MIDDLEBROUGH E 026,DEP Orphan List,1800.0,1995.0,18.5650634765625,25.25933837890625,6.69427490234375,700227.137685341,4647973.719072475
e1423n2235,083-12000,WHITEHEAD 03,DEP Orphan List,1800.0,1995.0,16.55633544921875,25.25933837890625,8.7030029296875,700441.0987039902,4648462.606182232
e1423n2235,083-12013,WHITEHEAD WH 12,DEP Orphan List,1800.0,1995.0,0.0,25.25933837890625,25.25933837890625,700441.1598361157,4648401.71012338
e1423n2235,083-23174,SHANNON ROYALTY K04,DEP Abandoned List,1964.0,1964.0,12.5316162109375,25.25933837890625,12.72772216796875,700080.9199845424,4648635.135212724
e1423n2235,083-23175,SHANNON ROYALTY K05,DEP Abandoned List,1965.0,1964.0,11.04937744140625,25.25933837890625,14.2099609375,700096.4490967854,4648516.778267549
e1423n2235,083-11855,MIDDLEBROUGH 7,DEP Orphan List,1800.0,1995.0,,25.25933837890625,,700535.1510281994,4647159.072925898
