block,permit,name,status,spud_year,permit_year,oldest_for,on_chm,off_chm,deficit,x,y
e1423n2235,083-10689,LAWTON 158,DEP Orphan List,1800.0,1995.0,,17.175601959228516,16.399839401245117,-0.7757625579833984,699277.9127345644,4648109.693837286
e1423n2235,083-10701,LAWTON 5,DEP Orphan List,1800.0,1995.0,,13.652507781982422,18.323862075805664,4.671354293823242,700083.2418721102,4648208.584163687
e1423n2235,083-10660,WILTSIE LEASE 35,DEP Orphan List,1800.0,1995.0,,20.07637596130371,21.586830139160156,1.5104541778564453,700207.2518908463,4647058.250221321
e1423n2235,083-10685,LAWTON 16,DEP Orphan List,1800.0,1995.0,,,,,699847.6043683266,4648994.834709563
e1423n2235,083-10710,WILSON 24,DEP Orphan List,1800.0,1995.0,,15.900911331176758,19.864721298217773,3.9638099670410156,699714.7664082438,4648289.774107471
e1423n2235,083-11709,BROOKS 0115,DEP Orphan List,1800.0,1995.0,,,,,697538.1889329391,4648944.500416771
e1423n2235,083-11874,MIDDLEBROUGH 16 A,DEP Orphan List,1800.0,1995.0,,18.12993049621582,21.1136531829834,2.983722686767578,700347.0644026625,4647977.10319232
e1423n2235,083-11895,MIDDLEBROUGH E024,DEP Orphan List,1800.0,1995.0,,23.83530044555664,22.503725051879883,-1.3315753936767578,700322.3179076278,4647290.306265601
e1423n2235,083-10678,LAWTON 1A,DEP Orphan List,1800.0,1995.0,,24.26681137084961,23.039104461669922,-1.2277069091796875,700231.354083138,4648365.227639816
e1423n2235,083-08388,WIPPLE WHIPPLE PATTERSON 04,DEP Abandoned List,1925.0,1901.0,,10.746582984924316,8.980692863464355,-1.765890121459961,699420.9783776166,4646822.648713486
e1423n2235,083-10681,LAWTON 7,DEP Orphan List,1800.0,1995.0,,23.353870391845703,21.04309844970703,-2.310771942138672,699956.6921940021,4648372.708017508
e1423n2235,083-10691,LAWTON 6,DEP Orphan List,1800.0,1995.0,,20.831619262695312,18.093643188476562,-2.73797607421875,699303.2791546085,4648293.319788303
e1423n2235,083-11697,BROOKS 67,DEP Orphan List,1800.0,1995.0,,20.76683235168457,21.222997665405273,0.4561653137207031,698367.1341898867,4649014.187962447
e1423n2235,083-11710,BROOKS 0116,DEP Orphan List,1800.0,1995.0,,,,,697493.4525898006,4648913.0292038135
e1423n2235,083-11852,MIDDLEBROUGH 4,DEP Orphan List,1800.0,1995.0,,,,,700705.422379253,4647072.315540766
e1423n2235,083-11877,MIDDLEBROUGH E 03,DEP Orphan List,1800.0,1995.0,,23.515911102294922,22.235872268676758,-1.280038833618164,700389.6644849083,4647978.305779578
e1423n2235,083-11880,MIDDLEBROUGH E 06,DEP Orphan List,1800.0,1995.0,,,,,700569.1965926914,4647022.792596479
e1423n2235,083-11896,MIDDLEBROUGH E 025,DEP Orphan List,1800.0,1995.0,,22.0328426361084,21.66045379638672,-0.3723888397216797,700227.137685341,4647973.719072475
e1423n2235,083-10690,LAWTON 126,DEP Orphan List,1800.0,1995.0,,19.922483444213867,16.07952117919922,-3.8429622650146484,699290.5961618244,4648201.5067864135
e1423n2235,083-11868,MIDDLEBROUGH 21,DEP Orphan List,1800.0,1995.0,,18.487895965576172,21.40182113647461,2.9139251708984375,700369.7817169939,4647078.170785041
e1423n2235,083-11982,WHITEHEAD 5,DEP Orphan List,1800.0,1995.0,,19.253808975219727,17.688247680664062,-1.565561294555664,700399.1315014884,4648650.5596958455
e1423n2235,083-13392,GEORGE WARRANT 3497 DEP 1,DEP Abandoned List,1800.0,,,14.808690071105957,15.019172668457031,0.21048259735107422,700312.3660127909,4647654.744333547
e1423n2235,083-11888,MIDDLEBROUGH E 015,DEP Orphan List,1800.0,1995.0,,,,,700601.6463356992,4647221.96034953
e1423n2235,083-12009,WHITEHEAD 014,DEP Orphan List,1800.0,1995.0,,22.344831466674805,21.766237258911133,-0.5785942077636719,700168.3993080106,4648538.810223829
e1423n2235,083-12012,WHITEHEAD WH 11,DEP Orphan List,1800.0,1995.0,,21.693904876708984,21.142000198364258,-0.5519046783447266,700234.8255233418,4648456.783150809
e1423n2235,083-12107,K & D 5A,DEP Orphan List,1800.0,1995.0,,19.027599334716797,19.51742172241211,0.4898223876953125,700559.2937458515,4648054.440693233
e1423n2235,083-43001,MELVIN 43,DEP Abandoned List,1800.0,1984.0,,4.796292781829834,7.471528053283691,2.6752352714538574,698387.8856387172,4647820.837729425
e1423n2235,083-10657,WILTSIE LEASE 4,DEP Orphan List,1800.0,1995.0,,21.305797576904297,21.86634063720703,0.5605430603027344,700130.2150323801,4647086.6381524205
e1423n2235,083-10700,LAWTON 56,DEP Orphan List,1800.0,1995.0,,19.870847702026367,20.26545524597168,0.3946075439453125,700009.2247437227,4648130.264844822
e1423n2235,083-11664,GEORGE FARM 144,DEP Orphan List,1800.0,1995.0,,21.19869041442871,21.436206817626953,0.2375164031982422,699394.8154644559,4648616.157005768
e1423n2235,083-11878,MIDDLEBROUGH E 04,DEP Orphan List,1800.0,1995.0,,23.515911102294922,22.235872268676758,-1.280038833618164,700389.6644849083,4647978.305779578
e1423n2235,083-11881,MIDDLEBROUGH E 07,DEP Orphan List,1800.0,1995.0,,,,,700669.3132238875,4647040.846014684
e1423n2235,083-11885,MIDDLEBROUGH E 011,DEP Orphan List,1800.0,1995.0,,,,,700697.2337111479,4647133.092966853
e1423n2235,083-11985,WHITEHEAD 011,DEP Orphan List,1800.0,1995.0,,18.13444709777832,19.6557559967041,1.5213088989257812,700295.5742102739,4648205.68313881
e1423n2235,083-11992,WHITEHEAD WH 3,DEP Orphan List,1800.0,1995.0,,25.219928741455078,21.876981735229492,-3.342947006225586,700369.190220818,4648192.3144350555
