component_id,area_m2,bbox_h_px,bbox_w_px,aspect_ratio_bbox,eccentricity,elongation_pca,solidity_bbox,road_prob_max,road_prob_mean,pit_prob_max,centroid_x,centroid_y,overlaps_labeled_pit,classification
376,246.75,34,38,1.1176470588235294,0.37830756588144043,1.0802869726205568,0.7639318885448917,0.5816001296043396,0.20517972111701965,0.887969970703125,619553.742147923,4595599.0,False,ROAD_LIKE_COMPACT
378,184.75,28,33,1.1785714285714286,0.606497799672619,1.2577269008447787,0.7997835497835498,0.49359166622161865,0.13154681026935577,0.78082275390625,623801.7198917456,4595598.430987821,False,COMPACT_OTHER_FP
379,229.5,34,35,1.0294117647058822,0.4715047877004158,1.1339623403903207,0.7714285714285715,0.42253443598747253,0.14234045147895813,0.889190673828125,621713.008714597,4595595.900871459,True,TRUE_PIT_LABELED
380,76.5,26,16,1.625,0.7704029905752776,1.5684866235094024,0.7355769230769231,0.4014531373977661,0.16540606319904327,0.588104248046875,620936.339869281,4595597.483660131,True,TRUE_PIT_LABELED
381,290.5,39,38,1.0263157894736843,0.4824913047468343,1.1416818502841284,0.7840755735492577,0.5096423625946045,0.20608209073543549,0.92132568359375,621445.7745266781,4595593.181153184,True,TRUE_PIT_LABELED
382,220.0,37,34,1.088235294117647,0.49562492893322485,1.1513618779924562,0.699523052464229,0.33366602659225464,0.15829789638519287,0.84881591796875,621960.1136363636,4595592.382954545,True,TRUE_PIT_LABELED
384,267.25,36,37,1.0277777777777777,0.13777826055594997,1.0096287290123676,0.8025525525525525,0.42891108989715576,0.15815642476081848,0.912933349609375,620699.3433115061,4595576.774087933,True,TRUE_PIT_LABELED
385,330.75,33,59,1.7878787878787878,0.8979252118466221,2.2719627619009732,0.6795069337442219,0.23055613040924072,0.08110001683235168,0.7189006805419922,620577.4497354497,4595575.477702192,False,COMPACT_OTHER_FP
386,4.25,5,4,1.25,0.7086423846392491,1.41729816678765,0.85,0.13352003693580627,0.09824914485216141,0.4828376770019531,620586.1470588235,4595581.352941177,False,COMPACT_OTHER_FP
388,250.25,37,37,1.0,0.2568882537940579,1.0347241921517432,0.7311906501095691,0.46031028032302856,0.1863192617893219,0.8653564453125,621168.4345654346,4595569.322677323,True,TRUE_PIT_LABELED
391,285.0,39,37,1.054054054054054,0.35998473082227544,1.07185938810968,0.7900207900207901,0.5081475377082825,0.2509117126464844,0.8945083618164062,620194.5662280702,4595560.262719298,False,ROAD_LIKE_COMPACT
392,230.5,35,32,1.09375,0.4543625823715884,1.1225652168550013,0.8232142857142857,0.3848414719104767,0.14432790875434875,0.8463592529296875,623673.6561822126,4595560.5737527115,False,COMPACT_OTHER_FP
393,266.25,38,37,1.027027027027027,0.38716239021470594,1.0845851211557282,0.7574679943100996,0.43447041511535645,0.15829162299633026,0.8747100830078125,620407.8192488262,4595558.634741784,False,COMPACT_OTHER_FP
394,48.5,24,13,1.8461538461538463,0.9040669249489371,2.3397783204944327,0.6217948717948718,0.4739919602870941,0.36148062348365784,0.5809288024902344,620295.6597938144,4595560.827319588,False,ROAD_LIKE_COMPACT
395,55.0,27,12,2.25,0.8987603288510362,2.2808123842996313,0.6790123456790124,0.42373329401016235,0.2619204521179199,0.6306838989257812,620302.2272727273,4595559.7,False,ROAD_LIKE_COMPACT
396,5.5,8,4,2.0,0.8858968621272754,2.1557194349593116,0.6875,0.19795683026313782,0.15631283819675446,0.5090866088867188,621348.8181818182,4595562.704545454,False,COMPACT_OTHER_FP
400,31.5,20,19,1.0526315789473684,0.90477841251687,2.348064707965775,0.33157894736842103,0.370697021484375,0.2543351352214813,0.5470046997070312,620049.9563492064,4595553.253968254,False,ROAD_LIKE_COMPACT
