pit_bottom_elev_m,rim_mean_elev_m,rim_max_elev_m,depth_from_rim_mean_m,depth_from_rim_max_m,rim_radius_m,effective_radius_m,diameter_m,aspect_ratio,rim_symmetry_std_m,volume_approx_m3,lrm5_depth_m,lrm11_depth_m,slope_inner_deg,original_index,x,y,tile,notes,max_zscore,mean_zscore,mahalanobis,iso_anomaly_score,anomaly_rank
544.8980,545.2516,546.2845,0.3536,1.3865,7.0000,5.3852,14.0000,0.0253,0.9702,18.1461,-0.0163,-0.0043,15.0870,563,700578.3798,4648096.1917,dem_mk5_1m,,1.5427,0.9378,4.8555,0.4765,47
483.4205,484.9534,485.5653,1.5328,2.1448,7.0000,5.8310,14.0000,0.1095,0.2601,78.6540,-0.3453,-1.0052,18.6665,130,619929.1334,4595430.8533,dem_9t_1m,,3.0458,1.5216,4.8068,0.5611,48
478.6954,479.9958,480.8770,1.3004,2.1816,7.0000,5.8310,14.0000,0.0929,0.4369,66.7262,-0.3964,-1.0005,17.7953,115,620307.1679,4595308.3361,dem_9t_1m,,2.3581,1.3330,4.7694,0.5196,49
574.9883,575.9842,578.8066,0.9959,3.8184,7.0000,5.3852,14.0000,0.0711,2.1711,51.1028,-0.1777,-0.4771,15.8090,607,700044.0938,4648302.2474,dem_mk5_1m,,4.2755,1.2916,4.7613,0.5508,50
610.6443,610.6674,610.7403,0.0231,0.0960,2.0000,5.0000,4.0000,0.0058,0.0486,0.0969,-0.0146,0.1523,2.7413,600,699337.1830,4648683.3593,dem_mk5_1m,,2.5685,1.7980,4.7601,0.5860,51
483.8347,484.1517,485.7274,0.3169,1.8926,7.0000,5.3852,14.0000,0.0226,1.1616,16.2623,0.0341,0.0482,13.9879,476,622827.7805,4596090.2845,dem_9t_1m,,1.7247,1.0873,4.7224,0.5017,52
465.6011,466.4806,466.7057,0.8795,1.1046,3.5000,5.0990,7.0000,0.1256,0.2330,11.2826,-0.5715,-0.7422,17.8763,579,700244.6790,4649385.4074,dem_mk5_1m,,3.0887,1.3370,4.7091,0.5321,53
425.8741,427.4675,429.6003,1.5934,3.7263,7.0000,5.6569,14.0000,0.1138,1.6095,81.7624,-0.3737,-0.8755,22.6400,369,623766.9703,4596667.9829,dem_9t_1m,,3.3735,1.9800,4.6873,0.6467,54
464.1329,464.7631,465.1444,0.6302,1.0115,3.5000,5.6569,7.0000,0.0900,0.1863,8.0842,-0.2419,-0.5048,13.0440,173,619733.8920,4593662.8702,dem_9t_1m,,1.4965,0.7829,4.6420,0.4689,55
465.0843,466.0768,466.5667,0.9925,1.4824,7.0000,5.6569,14.0000,0.0709,0.4700,50.9259,-0.4364,-0.7354,18.8262,388,622557.1942,4596592.3105,dem_9t_1m,,2.0375,0.9222,4.6286,0.5008,56
411.7048,412.8136,414.8384,1.1088,3.1336,7.0000,6.0000,14.0000,0.0792,1.1021,56.8968,-0.0596,-0.4872,3.1146,480,623658.8669,4596190.1983,dem_9t_1m,,2.4865,1.1890,4.6000,0.5074,57
558.8906,559.1610,560.2028,0.2704,1.3122,7.0000,5.3852,14.0000,0.0193,0.9365,13.8773,0.0565,0.1092,9.4252,604,699388.2410,4648403.1478,dem_mk5_1m,,1.9356,0.9831,4.5904,0.5002,58
517.5021,517.8420,519.4335,0.3400,1.9315,7.0000,6.0828,14.0000,0.0243,1.2065,17.4446,0.0663,0.1429,9.4993,641,700275.6786,4646896.9354,dem_mk5_1m,,2.0524,1.1746,4.5696,0.5359,59
408.6466,409.0518,410.5289,0.4052,1.8823,7.0000,5.5210,14.0000,0.0289,0.9294,20.7894,0.0074,-0.0170,14.3021,218,621731.0217,4593653.6978,dem_9t_1m,,1.4988,0.9023,4.5461,0.4712,60
417.7404,418.0414,419.9505,0.3010,2.2102,4.0000,5.0000,8.0000,0.0376,1.1772,5.0437,-0.1588,-0.1527,17.8013,533,621622.4268,4594465.6204,dem_9t_1m,,1.8005,1.1526,4.5273,0.5532,61
485.6357,487.2003,487.5709,1.5646,1.9352,7.0000,5.8310,14.0000,0.1118,0.3051,80.2857,-0.3192,-1.0227,15.4102,515,620437.2197,4594925.0601,dem_9t_1m,,3.1399,1.4324,4.5191,0.5461,62
414.8961,416.0321,418.1778,1.1360,3.2817,6.5000,5.3852,13.0000,0.0874,1.5299,50.2607,-0.4284,-0.8449,16.8324,244,623404.3323,4595698.6551,dem_9t_1m,,2.7081,1.3920,4.4914,0.5742,63
399.8871,399.9403,401.2425,0.0532,1.3554,7.0000,5.3852,14.0000,0.0038,1.1732,2.7294,0.0598,0.2307,4.9707,190,621848.4613,4594521.4738,dem_9t_1m,,2.3563,1.2987,4.4614,0.5617,64
411.2856,412.5433,413.1375,1.2577,1.8518,7.0000,5.6569,14.0000,0.0898,0.6392,64.5355,-0.2798,-0.9093,13.1214,34,621351.2084,4594838.4868,dem_9t_1m,,2.2318,1.0172,4.4180,0.4699,65
431.0882,431.7921,433.6466,0.7039,2.5585,7.0000,5.5210,14.0000,0.0503,1.4293,36.1184,-0.3349,-0.5458,15.1953,57,622072.4996,4594524.6000,dem_9t_1m,,2.3446,0.8969,4.4144,0.4993,66
458.2808,459.5600,461.1547,1.2792,2.8739,7.0000,5.3852,14.0000,0.0914,1.2409,65.6379,-0.2625,-0.8822,11.8518,509,622070.2372,4594944.3877,dem_9t_1m,,2.2954,1.2645,4.3584,0.5079,67
517.1874,518.7596,520.2311,1.5722,3.0437,5.0000,5.0990,10.0000,0.1572,1.0316,41.1602,-0.4888,-1.2325,20.2338,578,700436.1467,4649165.9794,dem_mk5_1m,,2.9193,1.7689,4.3440,0.6548,68
430.7402,432.0974,434.0065,1.3572,3.2663,7.0000,6.0000,14.0000,0.0969,1.3805,69.6420,-0.1737,-0.5916,8.8655,56,621983.3962,4594598.6345,dem_9t_1m,,2.6851,1.3004,4.3041,0.5396,69
445.7343,446.5757,448.2294,0.8414,2.4951,7.0000,6.3246,14.0000,0.0601,1.0992,43.1745,-0.0411,-0.2251,2.8842,365,623794.1600,4596342.0345,dem_9t_1m,,2.3811,1.0873,4.2530,0.5069,70
426.1351,427.5322,428.6227,1.3972,2.4876,7.0000,5.7439,14.0000,0.0998,1.0997,71.6918,-0.2787,-0.8116,17.7317,255,623771.8841,4596779.3622,dem_9t_1m,,2.6444,1.3919,4.2205,0.5337,71
477.0452,477.5713,479.5414,0.5261,2.4962,7.0000,5.8310,14.0000,0.0376,1.6547,26.9952,-0.0681,-0.1545,3.0878,593,698323.3160,4649526.4249,dem_mk5_1m,,2.9313,1.0772,4.2195,0.4809,72
477.5468,478.7848,479.0157,1.2380,1.4690,7.0000,5.7439,14.0000,0.0884,0.1592,63.5254,-0.3095,-0.9195,13.9075,522,620603.9611,4595036.1119,dem_9t_1m,,2.1736,1.0748,4.2138,0.4899,73
467.0087,468.2072,468.7646,1.1985,1.7559,5.0000,5.3852,10.0000,0.1199,0.3883,31.3779,-0.5414,-0.9920,21.9462,64,621966.6893,4595005.1690,dem_9t_1m,,2.8544,1.1704,4.1855,0.5342,74
523.9162,524.0970,526.4427,0.1808,2.5266,7.0000,5.0990,14.0000,0.0129,1.6085,9.2798,-0.1018,-0.0092,6.0705,650,699737.1377,4647250.6947,dem_mk5_1m,,2.8111,1.3017,4.1849,0.5278,75
546.8680,547.7869,549.2739,0.9189,2.4059,4.5000,5.0495,9.0000,0.1021,0.7361,19.4869,-0.2865,-0.7087,16.9612,681,698088.8903,4649117.1798,dem_mk5_1m,,1.6292,0.9480,4.1844,0.5013,76
401.0568,401.9229,402.1561,0.8661,1.0992,3.5000,5.0000,7.0000,0.1237,0.2027,11.1107,-0.3973,-0.6493,15.3939,246,623473.4530,4596099.6207,dem_9t_1m,,1.8768,1.1648,4.1735,0.5079,77
475.7724,476.9598,477.2679,1.1874,1.4955,5.5000,6.0828,11.0000,0.1079,0.3904,37.6154,-0.0902,-0.7018,3.3612,45,621876.4624,4594982.0876,dem_9t_1m,,1.6739,0.7568,4.1715,0.4951,78
456.7004,458.3513,458.5880,1.6508,1.8875,5.5000,5.8310,11.0000,0.1501,0.1946,52.2951,-0.2974,-1.1344,12.0543,259,623985.1428,4597031.2761,dem_9t_1m,,2.7174,1.2233,4.1207,0.5659,79
420.1105,420.2901,421.1434,0.1795,1.0328,7.0000,5.0000,14.0000,0.0128,0.7898,9.2124,-0.0707,-0.0594,3.3727,463,622546.7115,4595296.2154,dem_9t_1m,,1.5759,1.1079,4.1195,0.4938,80
483.5341,485.0515,485.3699,1.5175,1.8358,6.5000,5.8310,13.0000,0.1167,0.1391,67.1385,-0.4371,-1.1025,19.4038,118,620186.2886,4595429.8706,dem_9t_1m,,2.3819,1.5085,4.0850,0.5961,81
448.3508,449.8368,450.8350,1.4860,2.4841,5.5000,5.0990,11.0000,0.1351,0.6477,47.0719,-0.5518,-1.2217,21.1292,410,619841.8316,4597188.8451,dem_9t_1m,,2.9349,1.5405,4.0848,0.6228,82
566.1187,566.2610,568.1526,0.1423,2.0339,7.0000,5.0990,14.0000,0.0102,1.2679,7.3004,0.0029,0.0847,7.0963,560,700362.5988,4648084.0350,dem_mk5_1m,,1.9245,1.2669,4.0580,0.5296,83
502.2754,502.2889,502.4891,0.0135,0.2137,2.5000,5.0990,5.0000,0.0027,0.1215,0.0885,-0.0009,0.0412,3.8782,279,621893.5044,4597480.7244,dem_9t_1m,,2.2111,1.6383,4.0429,0.5542,84
424.2006,425.2156,425.6042,1.0150,1.4036,4.0000,5.3852,8.0000,0.1269,0.2333,17.0072,-0.2792,-0.7616,15.4272,338,623789.5738,4595976.7759,dem_9t_1m,,1.9748,0.9181,4.0316,0.4732,85
566.5390,566.6646,568.3925,0.1256,1.8535,7.0000,5.0990,14.0000,0.0090,1.2225,6.4454,-0.0437,0.0637,10.8774,561,700392.9905,4648093.7604,dem_mk5_1m,,1.8061,1.2048,4.0095,0.5181,86
546.2200,546.6249,547.7011,0.4049,1.4811,7.0000,6.0000,14.0000,0.0289,0.8862,20.7769,-0.0465,0.0062,3.7070,544,699388.8489,4648304.0709,dem_mk5_1m,,1.5792,0.9330,4.0032,0.4483,87
453.8769,455.1063,456.9156,1.2294,3.0388,7.0000,5.6569,14.0000,0.0878,1.0152,63.0838,-0.2984,-0.8443,11.7612,0,622075.9079,4595407.7613,dem_9t_1m,,2.3445,1.2145,3.9980,0.5048,88
568.9125,569.8038,572.0036,0.8912,3.0911,7.0000,5.9155,14.0000,0.0637,1.5249,45.7317,-0.0274,-0.2440,5.0323,556,699824.6658,4647895.6065,dem_mk5_1m,,2.5935,1.1418,3.9932,0.5193,89
418.1027,418.8920,419.4560,0.7893,1.3533,3.5000,5.3852,7.0000,0.1128,0.3418,10.1254,-0.3694,-0.5489,14.8527,363,623802.3497,4595599.0689,dem_9t_1m,,1.5352,0.8875,3.9688,0.4854,90
493.6892,494.9904,495.4474,1.3013,1.7582,7.0000,5.8310,14.0000,0.0929,0.3740,66.7716,-0.2488,-0.9000,12.3073,156,620060.8231,4594468.0773,dem_9t_1m,,2.3607,1.0532,3.9596,0.4707,91
492.7733,494.0114,494.6044,1.2380,1.8311,7.0000,5.6569,14.0000,0.0884,0.3685,63.5270,-0.3942,-0.9394,14.9716,91,620589.2197,4594482.8187,dem_9t_1m,,2.1737,1.1364,3.9570,0.4914,92
445.9937,446.7325,446.9125,0.7387,0.9188,3.5000,5.0000,7.0000,0.1055,0.1592,9.4767,-0.2968,-0.4879,15.3287,265,623314.2461,4596982.7933,dem_9t_1m,,1.4965,1.0004,3.9519,0.4867,93
399.2753,400.6711,402.1171,1.3959,2.8418,7.0000,5.8310,14.0000,0.0997,0.9128,71.6260,-0.3576,-0.9568,15.4088,361,623422.6772,4595497.8447,dem_9t_1m,,2.6406,1.4765,3.9437,0.5406,94
480.0096,481.2620,481.8364,1.2523,1.8268,6.0000,5.6569,12.0000,0.1044,0.2433,47.2125,-0.4471,-0.9584,19.6906,137,619947.1506,4595615.6120,dem_9t_1m,,2.1858,1.1297,3.9278,0.5131,95
469.3127,470.2198,470.4416,0.9071,1.1288,4.0000,5.0990,8.0000,0.1134,0.1410,15.1987,-0.5581,-0.7968,17.7747,673,698856.5383,4647967.5588,dem_mk5_1m,,2.9845,1.2484,3.9075,0.5029,96
498.3552,498.8098,499.0696,0.4546,0.7144,3.0000,5.0000,6.0000,0.0758,0.2103,4.2847,-0.2818,-0.3513,10.6379,165,620370.7197,4594398.6290,dem_9t_1m,,1.8538,1.0023,3.8857,0.4898,97
594.5227,595.7516,598.0635,1.2289,3.5408,7.0000,5.7439,14.0000,0.0878,1.4864,63.0604,-0.2188,-0.6802,10.6766,566,700285.4039,4648156.9751,dem_mk5_1m,,3.0960,1.2891,3.8664,0.5258,98
548.5698,548.6859,549.9073,0.1160,1.3375,7.0000,5.0990,14.0000,0.0083,0.8736,5.9537,-0.0684,0.0371,3.7390,571,700201.5228,4648447.5197,dem_mk5_1m,,1.7171,1.1316,3.8422,0.5029,99
474.5045,475.6154,476.6985,1.1108,2.1940,7.0000,5.6569,14.0000,0.0793,0.8469,57.0002,-0.3334,-0.8142,16.9763,414,619845.7627,4596433.4311,dem_9t_1m,,1.7974,1.0849,3.8378,0.4853,100
567.2759,567.4660,569.3359,0.1901,2.0601,7.0000,5.0990,14.0000,0.0136,1.4458,9.7558,-0.0438,-0.0309,3.8024,545,699455.1028,4648172.7788,dem_mk5_1m,,2.3876,1.2692,3.8365,0.5103,101
