pit_bottom_elev_m,rim_mean_elev_m,rim_max_elev_m,depth_from_rim_mean_m,depth_from_rim_max_m,rim_radius_m,effective_radius_m,diameter_m,aspect_ratio,rim_symmetry_std_m,volume_approx_m3,lrm5_depth_m,lrm11_depth_m,slope_inner_deg,original_index,tile,notes,max_zscore,mean_zscore,mahalanobis,iso_anomaly_score,anomaly_rank,PC1_depth_volume,PC2_size_vs_slope,PC3_rim_asymmetry,z_depth_from_rim_mean_m,z_depth_from_rim_max_m,z_rim_radius_m,z_effective_radius_m,z_diameter_m,z_aspect_ratio,z_rim_symmetry_std_m,z_volume_approx_m3,z_lrm5_depth_m,z_lrm11_depth_m,z_slope_inner_deg,anomaly_reason,anomaly_reason_zscore
458.3123,458.4492,459.7383,0.1368,1.4260,7.0000,5.0990,14.0000,0.0098,1.2661,7.0217,-0.0870,0.1362,6.0142,199,dem_9t_1m,,2.0290,1.1730,5.3812,0.5199,30,-1.9698,2.4900,2.4632,-1.6336,-0.0693,1.0048,-1.2034,1.0048,-1.6700,1.9197,-1.0841,0.6805,2.0291,-0.6036,lrm11_depth_m,2.0291
520.7002,520.7172,520.7579,0.0170,0.0577,1.0000,5.0990,2.0000,0.0085,0.0524,0.0178,0.0119,0.1763,4.3604,636,dem_mk5_1m,,3.2831,1.8965,5.3050,0.6056,31,-6.2347,-1.4951,0.1027,-1.9779,-2.1173,-3.2831,-1.2034,-3.2831,-1.7105,-1.2397,-1.4879,1.4498,2.1678,-0.9409,rim_radius_m,-3.2831
473.8301,474.7844,475.4543,0.9543,1.6242,7.0000,6.4031,14.0000,0.0682,0.2111,48.9653,-0.0585,-0.3258,1.6092,581,dem_mk5_1m,,2.6109,0.9732,5.2572,0.4962,32,1.1251,2.5334,-2.4073,0.7157,0.2273,1.0048,2.6107,1.0048,0.1480,-0.8266,1.3341,0.9022,0.4301,-1.5020,effective_radius_m,2.6107
413.2109,414.6375,415.6088,1.4265,2.3978,4.0000,5.0990,8.0000,0.1783,0.5064,23.9015,-0.5468,-1.1389,22.2098,188,dem_9t_1m,,3.5760,1.6967,5.2166,0.6348,33,3.7047,-5.3227,0.7918,2.0727,1.3852,-1.1392,-1.2034,-1.1392,3.5755,-0.0579,-0.1109,-2.8963,-2.3841,2.6996,aspect_ratio,3.5755
542.9009,543.6899,545.4216,0.7890,2.5208,7.0000,5.8310,14.0000,0.0564,1.6845,40.4858,0.0536,-0.1077,9.4054,679,dem_mk5_1m,,3.0089,1.0799,5.2123,0.5168,34,1.3679,3.1772,2.2117,0.2406,1.5693,1.0048,0.9375,1.0048,-0.2193,3.0089,0.8452,1.7742,1.1849,0.0881,rim_symmetry_std_m,3.0089
476.6844,477.6216,477.8115,0.9371,1.1271,3.5000,5.3852,7.0000,0.1339,0.1225,12.0217,-0.5430,-0.8134,19.7604,503,dem_9t_1m,,2.8665,1.3557,5.2054,0.5513,35,0.9500,-4.7618,-0.3314,0.6662,-0.5167,-1.4965,-0.3664,-1.4965,2.1933,-1.0572,-0.7958,-2.8667,-1.2575,2.2001,lrm5_depth_m,-2.8667
605.1219,605.1198,605.1963,-0.0021,0.0744,1.0000,5.0990,2.0000,-0.0011,0.1070,-0.0022,0.0645,0.2992,9.6757,662,dem_mk5_1m,,3.2831,1.9168,5.1866,0.6091,36,-6.3892,-1.4742,0.7431,-2.0328,-2.0923,-3.2831,-1.2034,-3.2831,-2.0093,-1.0976,-1.4891,1.8590,2.5932,0.1432,rim_radius_m,-3.2831
510.7459,511.7962,514.3421,1.0503,3.5962,7.0000,5.3852,14.0000,0.0750,1.4884,53.8933,-0.3863,-0.6728,15.7492,671,dem_mk5_1m,,3.1788,1.3476,5.1181,0.5524,37,4.2327,0.3374,2.8827,0.9915,3.1788,1.0048,-0.3664,1.0048,0.3597,2.4984,1.6182,-1.6478,-0.7709,1.3820,depth_from_rim_max_m,3.1788
505.3510,506.6943,508.6374,1.3432,3.2863,7.0000,5.7439,14.0000,0.0959,1.5602,68.9248,-0.1626,-0.4966,22.7311,672,dem_mk5_1m,,2.8060,1.4984,5.1132,0.5814,38,4.7649,0.7634,2.6800,1.8333,2.7150,1.0048,0.6827,1.0048,1.0103,2.6853,2.4849,0.0924,-0.1611,2.8060,slope_inner_deg,2.8060
540.8144,541.5211,544.0894,0.7067,3.2750,7.0000,5.8310,14.0000,0.0505,1.4828,36.2640,-0.1201,-0.4502,5.3585,676,dem_mk5_1m,,2.6981,0.9363,5.0445,0.4851,39,2.0510,2.7477,1.8547,0.0041,2.6981,1.0048,0.9375,1.0048,-0.4030,2.4839,0.6018,0.4230,-0.0005,-0.7373,depth_from_rim_max_m,2.6981
487.9693,487.9756,488.0061,0.0063,0.0368,1.0000,5.0990,2.0000,0.0031,0.0588,0.0066,0.0825,0.2533,7.0261,648,dem_mk5_1m,,3.2831,1.9406,5.0058,0.6093,40,-6.4506,-1.3535,0.3789,-2.0087,-2.1486,-3.2831,-1.2034,-3.2831,-1.8786,-1.2230,-1.4886,1.9990,2.4343,-0.3972,rim_radius_m,-3.2831
470.8595,472.1743,473.1286,1.3148,2.2692,4.0000,5.0990,8.0000,0.1643,0.7372,22.0295,-0.6360,-1.0305,20.8802,467,dem_9t_1m,,3.5903,1.6688,4.9987,0.6164,41,3.4239,-5.0912,1.2358,1.7517,1.1927,-1.1392,-1.2034,-1.1392,3.1397,0.5429,-0.2189,-3.5902,-2.0089,2.4285,lrm5_depth_m,-3.5902
408.3300,409.1096,409.5901,0.7796,1.2601,3.5000,5.3852,7.0000,0.1114,0.3521,10.0009,-0.2892,-0.6362,13.8090,372,dem_9t_1m,,1.4965,0.8434,4.9434,0.4750,42,-0.2358,-2.9578,-0.0305,0.2136,-0.3176,-1.4965,-0.3664,-1.4965,1.4928,-0.4595,-0.9124,-0.8924,-0.6442,0.9862,rim_radius_m,-1.4965
455.7232,457.1702,458.1729,1.4470,2.4497,7.0000,5.3852,14.0000,0.1034,0.8415,74.2506,-0.4409,-1.0998,17.4054,429,dem_9t_1m,,2.7919,1.5328,4.9188,0.5854,43,5.1983,-1.2971,0.4913,2.1316,1.4629,1.0048,-0.3664,1.0048,1.2438,0.8145,2.7919,-2.0725,-2.2487,1.7198,volume_approx_m3,2.7919
413.4873,414.6702,416.2482,1.1829,2.7609,6.5000,5.6569,13.0000,0.0910,1.3736,52.3346,-0.3521,-0.9221,15.0093,452,dem_9t_1m,,2.1995,1.2596,4.9115,0.5365,44,4.1579,-0.2030,1.5148,1.3726,1.9286,0.6475,0.4283,0.6475,0.8578,2.1996,1.5284,-1.3817,-1.6337,1.2311,rim_symmetry_std_m,2.1996
496.0118,496.1405,496.2914,0.1287,0.2796,3.0000,4.4721,6.0000,0.0215,0.0679,1.2132,-0.0943,-0.0621,3.6406,163,dem_9t_1m,,3.0369,1.5606,4.8718,0.5441,45,-4.8737,-1.6076,0.5367,-1.6569,-1.7851,-1.8538,-3.0369,-1.8538,-1.3058,-1.1993,-1.4190,0.6237,1.3427,-1.0877,effective_radius_m,-3.0369
628.5958,629.7854,631.7034,1.1896,3.1077,7.0000,5.8310,14.0000,0.0850,1.7515,61.0434,-0.0543,-0.4733,7.8851,605,dem_mk5_1m,,3.1833,1.2644,4.8705,0.5264,46,3.5803,2.4912,1.8443,1.3919,2.4477,1.0048,0.9375,1.0048,0.6710,3.1833,2.0305,0.9348,-0.0804,-0.2220,rim_symmetry_std_m,3.1833
