filename,min_x,min_y,max_x,max_y,point_format
USGS_LPC_PA_WesternPA_2019_D20_17TPG609606.laz,609000.0,4606500.0,610499.99,4607999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG609608.laz,609000.0,4608000.0,610499.99,4609499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG610600.laz,610500.0,4600500.0,611999.99,4601999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG610602.laz,610500.0,4602000.0,611999.99,4603499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG610603.laz,610500.0,4603500.0,611999.99,4604999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG610605.laz,610500.0,4605000.0,611999.99,4606499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG610606.laz,610500.0,4606500.0,611999.99,4607999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG610608.laz,610500.0,4608000.0,611999.99,4609499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG612600.laz,612000.0,4600500.0,613499.99,4601999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG612602.laz,612000.0,4602000.0,613499.99,4603499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG612603.laz,612000.0,4603500.0,613499.99,4604999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG612605.laz,612000.0,4605000.0,613499.99,4606499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG612606.laz,612000.0,4606500.0,613499.99,4607999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG612608.laz,612000.0,4608000.0,613499.99,4609499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG613600.laz,613500.0,4600500.0,614999.99,4601999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG613602.laz,613500.0,4602000.0,614999.99,4603499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG613603.laz,613500.0,4603500.0,614999.99,4604999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG613605.laz,613500.0,4605000.0,614999.99,4606499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG613606.laz,613500.0,4606500.0,614999.99,4607999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG613608.laz,613500.0,4608000.0,614999.99,4609499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG615600.laz,615000.0,4600500.0,616499.99,4601999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG615602.laz,615000.0,4602000.0,616499.99,4603499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG615603.laz,615000.0,4603500.0,616499.99,4604999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG615605.laz,615000.0,4605000.0,616499.99,4606499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG615606.laz,615000.0,4606500.0,616499.99,4607999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG615608.laz,615000.0,4608000.0,616499.99,4609499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG616600.laz,616500.0,4600500.0,617999.99,4601999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG616602.laz,616500.0,4602000.0,617999.99,4603499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG616603.laz,616500.0,4603500.0,617999.99,4604999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG616605.laz,616500.0,4605000.0,617999.99,4606499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG616606.laz,616500.0,4606500.0,617999.99,4607999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG616608.laz,616500.0,4608000.0,617999.99,4609499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG618600.laz,618000.0,4600500.0,619499.99,4601999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG618602.laz,618000.0,4602000.0,619499.99,4603499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG618603.laz,618000.0,4603500.0,619499.99,4604999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG618605.laz,618000.0,4605000.0,619499.99,4606499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG618606.laz,618000.0,4606500.0,619499.99,4607999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG618608.laz,618000.0,4608000.0,619499.99,4609499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG619600.laz,619500.0,4600500.0,620999.99,4601999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG619602.laz,619500.0,4602000.0,620999.99,4603499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG619603.laz,619500.0,4603500.0,620999.99,4604999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG619605.laz,619500.0,4605000.0,620999.99,4606499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG619606.laz,619500.0,4606500.0,620999.99,4607999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG619608.laz,619500.0,4608000.0,620999.99,4609499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG621600.laz,621000.0,4600500.0,622499.99,4601999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG621602.laz,621000.0,4602000.0,622499.99,4603499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG621603.laz,621000.0,4603500.0,622499.99,4604999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG621605.laz,621000.0,4605000.0,622499.99,4606499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG621606.laz,621000.0,4606500.0,622499.99,4607999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG621608.laz,621000.0,4608000.0,622499.99,4609499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG622600.laz,622500.0,4600500.0,623999.99,4601999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG622602.laz,622500.0,4602000.0,623999.99,4603499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG622603.laz,622500.0,4603500.0,623999.99,4604999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG622605.laz,622500.0,4605000.0,623999.99,4606499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG622606.laz,622500.0,4606500.0,623999.99,4607999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG622608.laz,622500.0,4608000.0,623999.99,4609499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG624600.laz,624000.0,4600500.0,625499.99,4601999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG624602.laz,624000.0,4602000.0,625499.99,4603499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG624603.laz,624000.0,4603500.0,625499.99,4604999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG624605.laz,624000.0,4605000.0,625499.99,4606499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG624606.laz,624000.0,4606500.0,625499.99,4607999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG624608.laz,624000.0,4608000.0,625499.99,4609499.99,6
