area,tile,flown,points,ground_pct,ground_stops,data_stops,gap,barred_pct,pts_beyond,error
Venango,17TPF609599,2020-03-16,9452448.0,65.66604756778351,17.75,19.75,2.0,10.126582278481013,1588880.0,
Venango,17TPF610590,2020-03-16,9940825.0,65.73146594975769,17.75,19.25,1.5,7.792207792207792,1271743.0,
Venango,17TPF610591,2020-03-16,9430172.0,65.81543793686902,17.75,19.25,1.5,7.792207792207792,1289875.0,
Venango,17TPF610593,2020-03-16,9848860.0,64.45165227244574,17.75,19.25,1.5,7.792207792207792,1310653.0,
Venango,17TPF610594,2020-03-16,10516987.0,61.936170502064904,17.75,19.25,1.5,7.792207792207792,1557846.0,
Venango,17TPF610596,2020-03-16,10033949.0,60.013260980297986,17.75,19.75,2.0,10.126582278481013,1652213.0,
Venango,17TPF610597,2020-03-16,11829804.0,45.90125922627289,18.75,19.75,1.0,5.063291139240507,630875.0,
Venango,17TPF610599,2020-03-16,10365891.0,58.043761023533825,17.75,19.75,2.0,10.126582278481013,1956477.0,
Venango,17TPF612590,2020-03-16,9543725.0,58.85743774050489,17.75,19.75,2.0,10.126582278481013,1339427.0,
Venango,17TPF612591,2020-03-16,9693100.0,66.86408888797185,17.75,19.75,2.0,10.126582278481013,1604058.0,
Venango,17TPF612593,2020-03-16,9804351.0,61.68315475445545,17.75,19.75,2.0,10.126582278481013,2039506.0,
Venango,17TPF612594,2020-03-16,10378745.0,60.95370875765808,17.75,19.25,1.5,7.792207792207792,2155889.0,
Venango,17TPF612596,2020-03-16,10390518.0,60.637631348119506,17.75,19.75,2.0,10.126582278481013,2181166.0,
Venango,17TPF612597,2020-03-16,10966578.0,51.13109121186208,18.75,19.75,1.0,5.063291139240507,751088.0,
Venango,17TPF612599,2020-03-16,11619059.0,42.50719442942841,17.75,19.75,2.0,10.126582278481013,1966118.0,
Venango,17TPF613590,2020-03-16,9689432.0,46.98243405805418,17.75,19.25,1.5,7.792207792207792,1508972.0,
Venango,17TPF613591,2020-03-16,10455623.0,56.881966765634154,17.75,19.75,2.0,10.126582278481013,1968157.0,
Venango,17TPF613593,2020-03-16,10219384.0,61.436706948285725,17.75,19.25,1.5,7.792207792207792,1780928.0,
Venango,17TPF613594,2020-03-16,9644971.0,60.527823256285586,17.75,19.75,2.0,10.126582278481013,1518261.0,
Venango,17TPF613596,2020-03-18,10109274.0,60.750673094823625,17.75,19.75,2.0,10.126582278481013,1580161.0,
Venango,17TPF613597,2020-03-18,10314262.0,59.99603267785907,17.75,19.25,1.5,7.792207792207792,1627833.0,
Venango,17TPF613599,2020-03-18,10136500.0,58.09913678291323,17.75,19.75,2.0,10.126582278481013,1703873.0,
Venango,17TPF615590,2020-03-18,10206704.0,54.3648566667555,17.75,19.25,1.5,7.792207792207792,1122559.0,
Venango,17TPF615591,2020-03-18,12092168.0,50.190089982209976,17.75,19.75,2.0,10.126582278481013,1515943.0,
Venango,17TPF615593,2020-03-18,11220085.0,54.14842222674784,17.75,19.25,1.5,7.792207792207792,1619375.0,
Venango,17TPF615594,2020-03-18,10983797.0,61.052703359321,17.75,19.25,1.5,7.792207792207792,1615961.0,
Venango,17TPF615596,2020-03-18,10875655.0,60.36033691763853,17.75,19.75,2.0,10.126582278481013,1690299.0,
Venango,17TPF615597,2020-03-18,10282458.0,61.38265772639188,17.75,19.75,2.0,10.126582278481013,1594269.0,
Venango,17TPF615599,2020-03-18,10711024.0,61.53550771616234,17.75,19.75,2.0,10.126582278481013,1511560.0,
Venango,17TPF616590,2020-03-18,9752652.0,45.73455507281506,17.75,19.25,1.5,7.792207792207792,1248241.0,
Venango,17TPF616591,2020-03-18,9466172.0,61.68169139542362,17.75,19.25,1.5,7.792207792207792,1365192.0,
Venango,17TPF616593,2020-03-18,10073878.0,54.63221809912727,17.75,19.75,2.0,10.126582278481013,1463711.0,
Venango,17TPF616594,2020-03-18,10821384.0,47.641660253438936,17.75,19.75,2.0,10.126582278481013,1642631.0,
Venango,17TPF616596,2020-03-18,11190793.0,51.54963549053227,17.75,19.75,2.0,10.126582278481013,1793654.0,
Venango,17TPF616597,2020-03-18,10262612.0,54.7192371688611,17.75,19.75,2.0,10.126582278481013,1819552.0,
Venango,17TPF616599,2020-03-18,10130819.0,60.19889408743755,17.75,19.75,2.0,10.126582278481013,1788024.0,
Venango,17TPF618591,2020-03-18,10121764.0,63.095316191920695,17.75,19.25,1.5,7.792207792207792,1335793.0,
Venango,17TPF618593,2020-03-18,9426048.0,64.27447642957048,17.75,19.75,2.0,10.126582278481013,1499212.0,
Venango,17TPF618594,2020-03-18,8923287.0,70.74431204555003,17.75,19.75,2.0,10.126582278481013,1519642.0,
Venango,17TPF618596,2020-03-18,11013878.0,53.140619498418275,17.75,19.75,2.0,10.126582278481013,1709909.0,
Venango,17TPF618597,2020-03-18,11017985.0,57.024419619376864,17.75,19.75,2.0,10.126582278481013,1593485.0,
Venango,17TPF618599,2020-03-18,11214731.0,59.577371940530725,17.75,19.75,2.0,10.126582278481013,1746420.0,
Venango,17TPF619591,2020-03-18,8714043.0,65.91834582409106,17.75,19.25,1.5,7.792207792207792,1167545.0,
Venango,17TPF619593,2020-03-18,8855006.0,67.71059217802902,17.75,19.75,2.0,10.126582278481013,1411267.0,
Venango,17TPF619594,2020-03-18,9007454.0,70.44132559544572,17.75,19.75,2.0,10.126582278481013,1511120.0,
Venango,17TPF619596,2020-03-18,9217983.0,67.04040352428508,17.75,19.75,2.0,10.126582278481013,1547142.0,
Venango,17TPF619597,2020-03-18,9332886.0,65.27526426445152,17.75,19.75,2.0,10.126582278481013,1485226.0,
Venango,17TPF619599,2020-03-18,10395991.0,61.559374185683694,17.75,19.25,1.5,7.792207792207792,1503548.0,
Venango,17TPF621591,2020-03-18,8883824.0,51.21412806016868,17.75,19.25,1.5,7.792207792207792,1034764.0,
Venango,17TPF621593,2020-03-18,10590121.0,55.57851510856203,17.75,19.75,2.0,10.126582278481013,1702932.0,
Venango,17TPF621594,2020-03-18,8956340.0,67.56899581748795,17.75,19.75,2.0,10.126582278481013,1415633.0,
Venango,17TPF621594,2020-03-18,8956340.0,67.56899581748795,17.75,19.75,2.0,10.126582278481013,1415633.0,
