area,tile,angle,at_ground_returns,pct_called_ground
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG618600,18.5,161219,0.0
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG618600,19.5,265490,0.0
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG618600,20.5,192,0.0
"PA Northcentral 2019 B19  (McKean, QL1)",e1423n2235,0.5,31070,97.17734148696492
"PA Northcentral 2019 B19  (McKean, QL1)",e1423n2235,1.5,126921,97.6032335074574
"PA Northcentral 2019 B19  (McKean, QL1)",e1423n2235,3.5,63477,97.91893126644297
"PA Northcentral 2019 B19  (McKean, QL1)",e1423n2235,4.5,131046,98.04190894800298
"PA Northcentral 2019 B19  (McKean, QL1)",e1423n2235,6.5,66898,98.1090615563993
"PA Northcentral 2019 B19  (McKean, QL1)",e1423n2235,7.5,133400,98.19340329835083
"PA Northcentral 2019 B19  (McKean, QL1)",e1423n2235,9.5,66475,97.99623918766454
"PA Northcentral 2019 B19  (McKean, QL1)",e1423n2235,10.5,132526,97.73252041108914
"PA Northcentral 2019 B19  (McKean, QL1)",e1423n2235,12.5,63625,97.45540275049116
"PA Northcentral 2019 B19  (McKean, QL1)",e1423n2235,13.5,103377,97.34853981059617
"PA Northcentral 2019 B19  (McKean, QL1)",e1423n2235,15.5,34488,96.84237995824635
"PA Northcentral 2019 B19  (McKean, QL1)",e1423n2235,16.5,24641,95.17065054177995
"PA Northcentral 2019 B19  (McKean, QL1)",e1423n2235,18.5,72,77.77777777777779
"PA Northcentral 2019 B19  (McKean, QL1)",e1423n2235,25.5,1986,83.53474320241692
"PA Northcentral 2019 B19  (McKean, QL1)",e1423n2235,27.5,7954,98.11415639929595
"PA Northcentral 2019 B19  (McKean, QL1)",e1423n2235,28.5,30793,98.45094664371773
"PA Northcentral 2019 B19  (McKean, QL1)",e1424n2235,0.5,9737,96.78545753312109
"PA Northcentral 2019 B19  (McKean, QL1)",e1424n2235,1.5,43382,96.27034253837998
"PA Northcentral 2019 B19  (McKean, QL1)",e1424n2235,3.5,26948,97.13522339320171
"PA Northcentral 2019 B19  (McKean, QL1)",e1424n2235,4.5,72069,97.67167575517907
"PA Northcentral 2019 B19  (McKean, QL1)",e1424n2235,6.5,38558,98.34794335805799
"PA Northcentral 2019 B19  (McKean, QL1)",e1424n2235,7.5,77855,98.52803288163895
"PA Northcentral 2019 B19  (McKean, QL1)",e1424n2235,9.5,39076,98.30586549288566
"PA Northcentral 2019 B19  (McKean, QL1)",e1424n2235,10.5,78361,98.28486109161445
"PA Northcentral 2019 B19  (McKean, QL1)",e1424n2235,12.5,39429,97.72248852367547
"PA Northcentral 2019 B19  (McKean, QL1)",e1424n2235,13.5,80736,98.02937970669838
"PA Northcentral 2019 B19  (McKean, QL1)",e1424n2235,15.5,48898,97.754509386887
"PA Northcentral 2019 B19  (McKean, QL1)",e1424n2235,16.5,125534,95.56136186212501
"PA Northcentral 2019 B19  (McKean, QL1)",e1424n2235,18.5,70218,88.03298299581303
"PA Northcentral 2019 B19  (McKean, QL1)",e1424n2235,19.5,138614,83.35593807263335
"PA Northcentral 2019 B19  (McKean, QL1)",e1424n2235,21.5,67566,81.66385460142675
"PA Northcentral 2019 B19  (McKean, QL1)",e1424n2235,22.5,134278,80.47632523570502
"PA Northcentral 2019 B19  (McKean, QL1)",e1424n2235,24.5,68374,79.16459472899055
"PA Northcentral 2019 B19  (McKean, QL1)",e1424n2235,25.5,135775,78.733198306021
"PA Northcentral 2019 B19  (McKean, QL1)",e1424n2235,27.5,62426,98.64960112773524
"PA Northcentral 2019 B19  (McKean, QL1)",e1424n2235,28.5,104467,98.80344989326773
"PA Northcentral 2019 B19  (McKean, QL1)",e1425n2235,0.5,26966,97.36705480976043
"PA Northcentral 2019 B19  (McKean, QL1)",e1425n2235,1.5,105562,97.59004187112787
"PA Northcentral 2019 B19  (McKean, QL1)",e1425n2235,3.5,46929,98.09925632338214
"PA Northcentral 2019 B19  (McKean, QL1)",e1425n2235,4.5,79666,98.01420932392739
"PA Northcentral 2019 B19  (McKean, QL1)",e1425n2235,6.5,37150,97.90578734858681
"PA Northcentral 2019 B19  (McKean, QL1)",e1425n2235,7.5,74611,97.7496615780515
"PA Northcentral 2019 B19  (McKean, QL1)",e1425n2235,9.5,36988,96.97199091597275
"PA Northcentral 2019 B19  (McKean, QL1)",e1425n2235,10.5,74949,97.10603210182924
"PA Northcentral 2019 B19  (McKean, QL1)",e1425n2235,12.5,37360,97.03693790149893
"PA Northcentral 2019 B19  (McKean, QL1)",e1425n2235,13.5,75252,97.1681815765694
"PA Northcentral 2019 B19  (McKean, QL1)",e1425n2235,15.5,40006,96.75548667699844
"PA Northcentral 2019 B19  (McKean, QL1)",e1425n2235,16.5,96718,90.32548233007299
"PA Northcentral 2019 B19  (McKean, QL1)",e1425n2235,18.5,61163,82.59241698412438
"PA Northcentral 2019 B19  (McKean, QL1)",e1425n2235,19.5,133604,82.84781892757702
"PA Northcentral 2019 B19  (McKean, QL1)",e1425n2235,21.5,67882,82.50346188974986
"PA Northcentral 2019 B19  (McKean, QL1)",e1425n2235,22.5,132545,82.04836093402241
"PA Northcentral 2019 B19  (McKean, QL1)",e1425n2235,24.5,62913,81.21691860187879
"PA Northcentral 2019 B19  (McKean, QL1)",e1425n2235,25.5,106800,82.85486891385769
"PA Northcentral 2019 B19  (McKean, QL1)",e1425n2235,27.5,48347,99.23263077336753
"PA Northcentral 2019 B19  (McKean, QL1)",e1425n2235,28.5,66509,99.18958336465742
"PA Northcentral 2019 B19  (McKean, QL1)",e1426n2235,0.5,32459,97.6986352013309
"PA Northcentral 2019 B19  (McKean, QL1)",e1426n2235,1.5,128948,97.05772869683904
"PA Northcentral 2019 B19  (McKean, QL1)",e1426n2235,3.5,66005,97.06840390879479
"PA Northcentral 2019 B19  (McKean, QL1)",e1426n2235,4.5,131463,96.93754136144771
"PA Northcentral 2019 B19  (McKean, QL1)",e1426n2235,6.5,65791,97.24430393214878
"PA Northcentral 2019 B19  (McKean, QL1)",e1426n2235,7.5,131477,97.28013264677472
"PA Northcentral 2019 B19  (McKean, QL1)",e1426n2235,9.5,66219,97.23040215044021
"PA Northcentral 2019 B19  (McKean, QL1)",e1426n2235,10.5,119672,97.57838090781469
"PA Northcentral 2019 B19  (McKean, QL1)",e1426n2235,12.5,53007,97.7606731186447
"PA Northcentral 2019 B19  (McKean, QL1)",e1426n2235,13.5,88678,97.6104558064007
"PA Northcentral 2019 B19  (McKean, QL1)",e1426n2235,15.5,32593,97.79400484766668
"PA Northcentral 2019 B19  (McKean, QL1)",e1426n2235,16.5,40638,90.84600620109258
"PA Northcentral 2019 B19  (McKean, QL1)",e1426n2235,18.5,6934,81.39601961349871
"PA Northcentral 2019 B19  (McKean, QL1)",e1426n2235,19.5,1128,78.10283687943263
"PA Northcentral 2019 B19  (McKean, QL1)",e1426n2235,24.5,2535,82.05128205128204
