area,block,tile,angle,at_ground_returns,pct_called_ground
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621593,13.5,109209,92.20027653398527
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621593,14.5,108841,87.08023630800893
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621593,15.5,108011,84.75803390395423
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621593,16.5,116412,84.3461155207367
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621593,17.5,141829,84.25427803904702
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621593,18.5,204513,0.0
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621593,19.5,147730,0.0
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622596,0.5,115267,98.27704373324542
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622596,1.5,153318,98.37853350552447
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622596,2.5,143643,98.5352575482272
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622596,3.5,110461,98.72805786657734
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622596,4.5,106433,98.4046301429068
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622596,5.5,104921,97.9022312025238
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622596,6.5,105882,97.87404846905044
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622596,7.5,103288,97.95523197273644
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622596,8.5,99772,97.855109650002
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622596,9.5,103418,97.92685992767215
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622596,10.5,101351,97.65961855334432
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622596,11.5,98118,97.2961128437188
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622596,12.5,102100,96.7904015670911
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622596,13.5,104774,97.08133697291312
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622596,14.5,106652,94.30202902899148
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622596,15.5,110912,91.19482111944605
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622596,16.5,119332,89.65072235443972
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622596,17.5,138070,87.33975519663939
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622596,18.5,217746,0.0
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622596,19.5,130475,0.0
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622593,0.5,112692,97.10804671139034
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622593,1.5,116294,97.11850998331816
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622593,2.5,150677,96.75531102955328
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622593,3.5,164406,96.87967592423634
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622593,4.5,123123,97.1232020012508
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622593,5.5,108644,97.43290011413424
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622593,6.5,110163,97.86679738206114
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622593,7.5,110798,97.98462066102276
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622593,8.5,109980,97.8850700127296
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622593,9.5,110454,97.85793180871674
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622593,10.5,110209,97.63812392817285
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622593,11.5,108847,97.30263580989828
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622593,12.5,109311,96.71853701823238
