points,lines,ground_pct,max_ang,cut,lost,flown,area,colour,tile,block
12076860,2,59.9049090574868,28.99800109863281,,0,2019-11-26,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TNE562465,Venango 2019-11
11937522,2,58.97925046755935,28.99800109863281,,0,2019-11-26,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TNE562467,Venango 2019-11
12905100,2,54.73043215472953,28.99800109863281,,0,2019-11-26,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TNE562468,Venango 2019-11
10751229,2,65.98531200479498,31.00200080871582,,0,2019-11-26,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TNE564464,Venango 2019-11
13049865,2,53.95575356526676,31.00200080871582,,0,2019-11-26,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TNE564465,Venango 2019-11
12450399,2,56.0772148748004,31.00200080871582,,0,2019-11-26,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TNE564467,Venango 2019-11
11228016,2,55.934263007819006,30.0,,0,2019-11-26,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TNE564468,Venango 2019-11
11112339,2,64.61060988150199,30.0,,0,2019-11-26,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TNE565464,Venango 2019-11
12541785,2,54.1017008344506,28.99800109863281,,0,2019-11-26,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TNE565465,Venango 2019-11
11640087,2,57.101196924043606,28.99800109863281,,0,2019-11-26,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TNE565467,Venango 2019-11
11858616,2,56.96278553922313,30.0,,0,2019-11-26,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TNE565468,Venango 2019-11
11893509,2,56.08697988121083,30.0,,0,2019-11-26,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TNE567464,Venango 2019-11
12220110,2,55.72476843498136,31.00200080871582,,0,2019-11-26,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TNE567465,Venango 2019-11
11988015,2,58.93909041655353,30.0,,0,2019-11-26,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TNE567467,Venango 2019-11
12094860,2,57.23332060065185,30.0,,0,2019-11-26,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TNE567468,Venango 2019-11
22915035,4,43.10116916688105,28.99800109863281,,0,2020-03-05,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF604590,Venango 2020-03
11909817,3,60.75571942037397,28.99800109863281,,0,2020-03-07,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF604591,Venango 2020-03
12503475,3,57.174665443006845,28.99800109863281,,0,2020-03-07,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF604593,Venango 2020-03
11825799,3,62.7932793378274,28.99800109863281,,0,2020-03-07,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF604594,Venango 2020-03
12617991,3,58.364568495888136,28.99800109863281,,0,2020-03-07,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF604596,Venango 2020-03
13805388,3,52.26835348633446,28.99800109863281,,0,2020-03-07,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF604597,Venango 2020-03
13240707,3,51.96739871972093,28.99800109863281,,0,2020-03-07,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF604599,Venango 2020-03
9517803,4,62.83535181385872,19.43400001525879,18.0,1163874,2020-03-05,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF606590,Venango 2020-03
9374403,2,67.30883022630881,19.464000701904297,18.0,1204587,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF606591,Venango 2020-03
9334446,2,64.59642061242842,19.63800048828125,18.0,1180737,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF606593,Venango 2020-03
8996502,3,69.64970385156364,19.578001022338867,18.0,1150047,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF606594,Venango 2020-03
8959578,3,68.66020921967531,19.446001052856445,18.0,1216998,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF606596,Venango 2020-03
9704508,3,62.98155455176089,19.45800018310547,18.0,1690131,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF606597,Venango 2020-03
10101273,3,62.66067653057193,19.39800071716309,18.0,1716015,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF606599,Venango 2020-03
9352950,3,64.09827915256685,19.28400039672852,18.0,1083129,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF607590,Venango 2020-03
9456678,3,63.455190078376354,19.38599967956543,18.0,1412466,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF607591,Venango 2020-03
9163968,3,63.18488890402062,19.20599937438965,18.0,1289310,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF607593,Venango 2020-03
10638492,3,63.76789116352205,19.20599937438965,18.0,1495410,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF607594,Venango 2020-03
9727158,3,62.57752778355199,19.39800071716309,18.0,1464696,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF607596,Venango 2020-03
