epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,3138.75,1.00627,1.83678,0.81654,1.16002,0,0.75187,0.53974,0.60643,0.33607,0.77996,0.53974,0.60002,0.30142,1.63864,2.84542,1.33214,1.71202,0,0.0012674,0.0012674,0.0012674
39,3220.78,0.98986,1.80501,0.78641,1.14875,0,0.65954,0.60265,0.6005,0.33734,0.64596,0.5894,0.5885,0.3033,1.64582,2.86902,1.35161,1.69274,0,0.0012476,0.0012476,0.0012476
40,3305.36,0.97051,1.79952,0.78,1.13829,0,0.69043,0.5465,0.5692,0.32112,0.69709,0.54967,0.56978,0.28871,1.68526,2.87643,1.41791,1.71266,0,0.0012278,0.0012278,0.0012278
41,3388.04,0.95593,1.76487,0.75357,1.13298,0,0.63703,0.5596,0.57705,0.31871,0.63965,0.56954,0.57587,0.29347,1.65767,2.78697,1.36464,1.7114,0,0.001208,0.001208,0.001208
42,3470.63,0.94528,1.75662,0.75272,1.12359,0,0.70368,0.54967,0.58996,0.3279,0.7186,0.55298,0.58354,0.30311,1.66565,2.83297,1.35985,1.71602,0,0.0011882,0.0011882,0.0011882
43,3551.71,0.94295,1.73993,0.74738,1.12755,0,0.73661,0.52318,0.56334,0.32193,0.74419,0.51987,0.55909,0.28595,1.66648,2.7787,1.40258,1.72286,0,0.0011684,0.0011684,0.0011684
44,3634.97,0.91831,1.72135,0.7437,1.11058,0,0.7382,0.51325,0.5682,0.3151,0.75022,0.51325,0.56895,0.29167,1.67497,2.93514,1.40971,1.7052,0,0.0011486,0.0011486,0.0011486
45,3716.26,0.91137,1.69162,0.72271,1.10978,0,0.70591,0.5596,0.61053,0.3427,0.70761,0.56095,0.60066,0.31582,1.6416,2.77919,1.43415,1.70611,0,0.0011288,0.0011288,0.0011288
46,3801.14,0.92302,1.71514,0.72402,1.11618,0,0.77437,0.50003,0.56918,0.32709,0.72884,0.50662,0.55046,0.29191,1.65386,3.00488,1.48194,1.74527,0,0.001109,0.001109,0.001109
47,3884.68,0.92234,1.68692,0.73221,1.11571,0,0.7186,0.54964,0.59724,0.3368,0.70541,0.54967,0.58709,0.30402,1.67939,2.89971,1.35694,1.75173,0,0.0010892,0.0010892,0.0010892
48,3969.39,0.89643,1.66875,0.70362,1.10282,0,0.63338,0.55489,0.57966,0.34015,0.66534,0.56954,0.61,0.31326,1.6322,2.74692,1.4534,1.71389,0,0.0010694,0.0010694,0.0010694
49,4049.26,0.88969,1.64911,0.70351,1.10076,0,0.73189,0.49338,0.5513,0.31648,0.751,0.50993,0.5749,0.29307,1.61648,2.78122,1.42642,1.68669,0,0.0010496,0.0010496,0.0010496
50,4128.11,0.88143,1.64604,0.68318,1.08884,0,0.70208,0.49941,0.55434,0.31304,0.71501,0.50331,0.56223,0.28863,1.67498,2.79958,1.45522,1.72312,0,0.0010298,0.0010298,0.0010298
51,4208.36,0.8743,1.63853,0.68245,1.09172,0,0.72898,0.48675,0.55061,0.33231,0.75596,0.5026,0.57061,0.31047,1.58966,2.9228,1.49273,1.68605,0,0.00101,0.00101,0.00101
52,4287.65,0.86593,1.58497,0.66655,1.08127,0,0.74206,0.52395,0.59791,0.35922,0.75626,0.53425,0.60815,0.31777,1.5556,2.73594,1.28276,1.65522,0,0.0009902,0.0009902,0.0009902
53,4367.05,0.84863,1.59613,0.66934,1.07561,0,0.663,0.56023,0.57899,0.35222,0.69776,0.55804,0.60376,0.33036,1.52324,2.80272,1.3308,1.58952,0,0.0009704,0.0009704,0.0009704
54,4447.74,0.84601,1.59449,0.66869,1.07687,0,0.80793,0.4875,0.58758,0.3485,0.76975,0.53642,0.60657,0.3263,1.60076,2.71606,1.37061,1.66129,0,0.0009506,0.0009506,0.0009506
