wp_id,bbox_score,geometry
34,0.7668433785438538,"POLYGON ((-105.2677530077627 40.10181117389022, -105.2677536821198 40.10182171483427, -105.2677536821198 40.10338377920663, -105.2677530077837 40.10339431987978, -105.267739281161 40.10339483794066, -105.2637314797974 40.10339483794064, -105.2637177531727 40.1033943198797, -105.2637170788352 40.10338377920514, -105.2637170788352 40.1018217148357, -105.2637177531937 40.10181117389025, -105.2637314798798 40.10181065627761, -105.2677392810785 40.10181065627763, -105.2677530077627 40.10181117389022))"
35,0.9229952096939088,"POLYGON ((-105.2661216550423 40.10464358123377, -105.2661223294127 40.10465412206211, -105.2661223294127 40.10512498724199, -105.2661216550437 40.10513552802365, -105.2661079279127 40.10513604589777, -105.2654463680745 40.10513604589778, -105.2654326409432 40.10513552802364, -105.2654319665739 40.10512498724186, -105.2654319665739 40.10465412206234, -105.2654326409447 40.10464358123375, -105.2654463680416 40.10464306343479, -105.2661079279457 40.1046430634348, -105.2661216550423 40.10464358123377))"
36,0.5337677001953125,"POLYGON ((-105.2671353063856 40.2690247049669, -105.2671359823851 40.2690352454899, -105.2671359823851 40.26940385085503, -105.2671353063866 40.26941439134151, -105.2671215460933 40.26941490919253, -105.2666119974073 40.26941490919254, -105.2665982371139 40.26941439134152, -105.2665975611151 40.26940385085495, -105.2665975611151 40.26903524549001, -105.2665982371149 40.26902470496688, -105.2666119973798 40.26902418717432, -105.2671215461209 40.26902418717431, -105.2671353063856 40.2690247049669))"
37,0.5250522494316101,"POLYGON ((-105.269006718187 40.52689053478117, -105.2690073967692 40.52690107482292, -105.2690073967692 40.52704108430902, -105.2690067181877 40.52705162433313, -105.2689929053306 40.52705214214541, -105.2687627470505 40.52705214214541, -105.2687489341934 40.52705162433315, -105.2687482556118 40.52704108430898, -105.2687482556118 40.52690107482296, -105.2687489341942 40.52689053478117, -105.2687627470429 40.52689001699623, -105.2689929053383 40.52689001699621, -105.269006718187 40.52689053478117))"
39,0.5672171115875244,"POLYGON ((-105.2662649520046 40.37691863662837, -105.2662656290803 40.37692917694763, -105.2662656290803 40.37733802643475, -105.2662649520033 40.37734856673178, -105.2662511697661 40.37734908456108, -105.265958072804 40.37734908456108, -105.2659442905667 40.3773485667318, -105.2659436134893 40.37733802643483, -105.2659436134893 40.37692917694763, -105.2659442905653 40.37691863662835, -105.2659580727453 40.37691811883336, -105.2662511698246 40.37691811883337, -105.2662649520046 40.37691863662837))"
40,0.7529826760292053,"POLYGON ((-105.2658402395646 40.51556206900379, -105.2658409180337 40.51557260907511, -105.2658409180337 40.51577450334749, -105.2658402395668 40.51578504338657, -105.2658264290304 40.51578556121216, -105.265379069703 40.51578556121216, -105.2653652591664 40.51578504338659, -105.2653645806993 40.51577450334736, -105.2653645806993 40.51557260907533, -105.2653652591686 40.51556206900379, -105.2653790697047 40.51556155122994, -105.2658264290285 40.51556155122996, -105.2658402395646 40.51556206900379))"
41,0.5689921975135803,"POLYGON ((-105.2626279262231 39.93590347157479, -105.2626285989369 39.93591401273135, -105.2626285989369 39.93676055453994, -105.262627926226 39.93677109561158, -105.2626142328171 39.93677161353241, -105.2613829235825 39.93677161353243, -105.2613692301733 39.93677109561159, -105.2613685574617 39.93676055453966, -105.2613685574616 39.93591401273173, -105.2613692301761 39.9359034715748, -105.2613829235301 39.93590295379217, -105.2626142328696 39.93590295379217, -105.2626279262231 39.93590347157479))"
43,0.7167694568634033,"POLYGON ((-105.2638127228924 40.24027298327352, -105.263813398605 40.24028352384277, -105.263813398605 40.24045685451344, -105.2638127228932 40.24046739506221, -105.2637989684488 40.24046791290258, -105.2635273714539 40.24046791290257, -105.2635136170094 40.24046739506222, -105.2635129412974 40.24045685451331, -105.2635129412974 40.24028352384279, -105.2635136170102 40.24027298327353, -105.2635273714435 40.24027246546495, -105.2637989684592 40.24027246546495, -105.2638127228924 40.24027298327352))"
44,0.8305483460426331,"POLYGON ((-105.2614384777081 40.09917838145728, -105.2614391520249 40.0991889223, -105.2614391520249 40.09979861389249, -105.2614384777087 40.09980915468439, -105.2614247516478 40.09980967256234, -105.2607054048418 40.09980967256234, -105.2606916787807 40.09980915468438, -105.260691004464 40.09979861389242, -105.260691004464 40.09918892230002, -105.2606916787813 40.09917838145729, -105.2607054047856 40.09917786366093, -105.2614247517038 40.09917786366093, -105.2614384777081 40.09917838145728))"
48,0.8982934951782227,"POLYGON ((-105.2596145441542 40.78975011950157, -105.2596152254157 40.78976065914357, -105.2596152254157 40.79090533936097, -105.2596145441658 40.79091587883084, -105.2596006768782 40.79091639674788, -105.2571045581948 40.7909163967479, -105.2570906909062 40.79091587883085, -105.2570900096553 40.79090533936019, -105.2570900096553 40.78976065914438, -105.2570906909178 40.78975011950158, -105.2571045582069 40.78974960186822, -105.2596006768662 40.78974960186822, -105.2596145441542 40.78975011950157))"
53,0.5556703805923462,"POLYGON ((-105.2510476755006 40.14738150455159, -105.2510483502928 40.14739204530061, -105.2510483502928 40.14763425089988, -105.2510476755019 40.14764479162005, -105.2510339397958 40.14764530947605, -105.250636004363 40.14764530947604, -105.2506222686568 40.14764479162004, -105.2506215938656 40.14763425089974, -105.2506215938656 40.14739204530074, -105.250622268658 40.14738150455158, -105.2506360043512 40.14738098674142, -105.2510339398076 40.14738098674142, -105.2510476755006 40.14738150455159))"
57,0.661469578742981,"POLYGON ((-105.2538530372941 40.62677431826536, -105.2538537168878 40.62678485814039, -105.2538537168878 40.62717877147277, -105.2538530372946 40.62718931131264, -105.2538392038296 40.62718982913065, -105.2533549451812 40.62718982913066, -105.2533411117161 40.62718931131266, -105.2533404321226 40.62717877147269, -105.2533404321226 40.62678485814052, -105.2533411117167 40.62677431826537, -105.253354945145 40.62677380050337, -105.2538392038658 40.62677380050337, -105.2538530372941 40.62677431826536))"
59,0.5683640837669373,"POLYGON ((-105.2494192870819 40.10039121681591, -105.2494199614093 40.10040175764941, -105.2494199614093 40.10093825650348, -105.2494192870797 40.10094879731174, -105.2494055607643 40.10094931516849, -105.2490696647127 40.1009493151685, -105.2490559383972 40.10094879731174, -105.2490552640672 40.10093825650352, -105.2490552640672 40.10040175764934, -105.249055938395 40.10039121681591, -105.2490696646323 40.10039069899803, -105.2494055608445 40.10039069899801, -105.2494192870819 40.10039121681591))"
60,0.6719645261764526,"POLYGON ((-105.2502865036538 40.27283483237441, -105.2502871796929 40.27284537290719, -105.2502871796929 40.27319469604659, -105.2502865036573 40.27320523652571, -105.2502727425974 40.27320575439121, -105.2495056695097 40.27320575439119, -105.2494919084494 40.27320523652571, -105.2494912324135 40.27319469604632, -105.2494912324135 40.27284537290747, -105.249491908453 40.27283483237441, -105.2495056695131 40.27283431459619, -105.2502727425939 40.27283431459617, -105.2502865036538 40.27283483237441))"
62,0.5623918771743774,"POLYGON ((-105.2458775837845 39.80742895736954, -105.2458782552405 39.80743949873408, -105.2458782552405 39.80786785993494, -105.2458775837822 39.80787840128338, -105.2458639159211 39.80787891915899, -105.2456603464363 39.80787891915899, -105.2456466785754 39.8078784012834, -105.2456460071168 39.80786785993507, -105.2456460071168 39.80743949873399, -105.2456466785731 39.80742895736952, -105.2456603463666 39.80742843951787, -105.245863915991 39.80742843951787, -105.2458775837845 39.80742895736954))"
63,0.6208748817443848,"POLYGON ((-105.2472288109649 39.81544295501249, -105.2472294825006 39.81545349637565, -105.2472294825006 39.81613206146302, -105.2472288109639 39.81614260278204, -105.2472151414861 39.81614312068, -105.2465946507307 39.81614312067998, -105.2465809812528 39.81614260278204, -105.2465803097156 39.81613206146296, -105.2465803097156 39.81545349637562, -105.2465809812518 39.81544295501249, -105.2465946506513 39.81544243718469, -105.2472151415655 39.81544243718469, -105.2472288109649 39.81544295501249))"
