bbox_score,wp_id,geometry
0.9982295632362366,458,"POLYGON ((-105.1477585204349 40.05287372946587, -105.1477585204349 40.05290714274656, -105.1477973936632 40.05290714274656, -105.1477973936632 40.05287372946587, -105.1477585204349 40.05287372946587))"
0.9979848861694336,458,"POLYGON ((-105.147703453175 40.05287966280826, -105.147703453175 40.05291430932387, -105.1477431759039 40.05291430932387, -105.1477431759039 40.05287966280826, -105.147703453175 40.05287966280826))"
0.99928218126297,508,"POLYGON ((-105.1405591627562 40.07988376983057, -105.1405591627562 40.07992568004675, -105.1406106700683 40.07992568004675, -105.1406106700683 40.07988376983057, -105.1405591627562 40.07988376983057))"
0.9990851879119872,508,"POLYGON ((-105.140627793289 40.07988181549595, -105.140627793289 40.07992427426002, -105.1406796715548 40.07992427426002, -105.1406796715548 40.07988181549595, -105.140627793289 40.07988181549595))"
0.9980397820472716,516,"POLYGON ((-105.1379681975007 40.05257387389198, -105.1379681975007 40.05260516660369, -105.1380069921512 40.05260516660369, -105.1380069921512 40.05257387389198, -105.1379681975007 40.05257387389198))"
0.9970941543579102,516,"POLYGON ((-105.1379326888864 40.05254252964034, -105.1379326888864 40.05257541445788, -105.137970120643 40.05257541445788, -105.137970120643 40.05254252964034, -105.1379326888864 40.05254252964034))"
0.997385799884796,531,"POLYGON ((-105.1337836398989 40.05373590578652, -105.1337836398989 40.05376826701539, -105.1338213743048 40.05376826701539, -105.1338213743048 40.05373590578652, -105.1337836398989 40.05373590578652))"
0.9970120191574096,531,"POLYGON ((-105.1337296334388 40.0537431850174, -105.1337296334388 40.05377646454515, -105.1337683359062 40.05377646454515, -105.1337683359062 40.0537431850174, -105.1337296334388 40.0537431850174))"
0.9948800802230836,538,"POLYGON ((-105.1320739650819 40.07108111358066, -105.1320739650819 40.07111517356989, -105.1321140936109 40.07111517356989, -105.1321140936109 40.07108111358066, -105.1320739650819 40.07108111358066))"
0.994038462638855,555,"POLYGON ((-105.1289759172068 40.0351250771914, -105.1289759172068 40.03515990301608, -105.1290156186947 40.03515990301608, -105.1290156186947 40.0351250771914, -105.1289759172068 40.0351250771914))"
0.9974370002746582,573,"POLYGON ((-105.1257741403168 39.95253920499617, -105.1257741403168 39.95257783430286, -105.1258175724441 39.95257783430286, -105.1258175724441 39.95253920499617, -105.1257741403168 39.95253920499617))"
0.9544702172279358,573,"POLYGON ((-105.1257174935881 39.95253644691544, -105.1257174935881 39.95256573774134, -105.1257538141495 39.95256573774134, -105.1257538141495 39.95253644691544, -105.1257174935881 39.95253644691544))"
0.9964659214019777,574,"POLYGON ((-105.126506792813 40.09849418917658, -105.126506792813 40.09852761811515, -105.1265447830826 40.09852761811515, -105.1265447830826 40.09849418917658, -105.126506792813 40.09849418917658))"
0.9775999188423156,574,"POLYGON ((-105.1264487044738 40.09848495932583, -105.1264487044738 40.09851615272325, -105.1264870025294 40.09851615272325, -105.1264870025294 40.09848495932583, -105.1264487044738 40.09848495932583))"
0.9835980534553528,586,"POLYGON ((-105.1236412136719 40.04559588930762, -105.1236412136719 40.04563002078481, -105.1236832494473 40.04563002078481, -105.1236832494473 40.04559588930762, -105.1236412136719 40.04559588930762))"
0.9830554723739624,586,"POLYGON ((-105.1235943629951 40.0456265299472, -105.1235943629951 40.04566330288083, -105.1236383007412 40.04566330288083, -105.1236383007412 40.0456265299472, -105.1235943629951 40.0456265299472))"
0.9797928333282472,586,"POLYGON ((-105.123676312113 40.04562833366, -105.123676312113 40.04566366608906, -105.1237185050439 40.04566366608906, -105.1237185050439 40.04562833366, -105.123676312113 40.04562833366))"
0.9950968623161316,587,"POLYGON ((-105.1241543590638 40.05887548794549, -105.1241543590638 40.05891058920485, -105.1241946608526 40.05891058920485, -105.1241946608526 40.05887548794549, -105.1241543590638 40.05887548794549))"
0.9965954422950744,589,"POLYGON ((-105.123148075203 40.06722543508351, -105.123148075203 40.06725974757337, -105.1231884583462 40.06725974757337, -105.1231884583462 40.06722543508351, -105.123148075203 40.06722543508351))"
0.999138116836548,590,"POLYGON ((-105.1241588935691 40.08133169554154, -105.1241588935691 40.0813673177849, -105.1241981045708 40.0813673177849, -105.1241981045708 40.08133169554154, -105.1241588935691 40.08133169554154))"
0.9615362882614136,590,"POLYGON ((-105.124150508377 40.08129204904714, -105.124150508377 40.08132214048135, -105.1241872774981 40.08132214048135, -105.1241872774981 40.08129204904714, -105.124150508377 40.08129204904714))"
0.998848795890808,591,"POLYGON ((-105.1248768302075 40.08802654558343, -105.1248768302075 40.08806809207138, -105.1249267227881 40.08806809207138, -105.1249267227881 40.08802654558343, -105.1248768302075 40.08802654558343))"
0.9776608943939208,591,"POLYGON ((-105.1248817016128 40.08807466864025, -105.1248817016128 40.08810762508985, -105.1249236434002 40.08810762508985, -105.1249236434002 40.08807466864025, -105.1248817016128 40.08807466864025))"
0.9963602423667908,598,"POLYGON ((-105.122770576318 40.05520919420299, -105.122770576318 40.0552478978091, -105.1228160064864 40.0552478978091, -105.1228160064864 40.05520919420299, -105.122770576318 40.05520919420299))"
0.9521850943565368,598,"POLYGON ((-105.1227657808527 40.05517212663853, -105.1227657808527 40.05520084854167, -105.1228035753721 40.05520084854167, -105.1228035753721 40.05517212663853, -105.1227657808527 40.05517212663853))"
0.996846616268158,634,"POLYGON ((-105.1154941149014 40.07497444764176, -105.1154941149014 40.07500899515456, -105.1155331001655 40.07500899515456, -105.1155331001655 40.07497444764176, -105.1154941149014 40.07497444764176))"
0.9971635937690736,635,"POLYGON ((-105.1154650774899 40.08917140176369, -105.1154650774899 40.08920536493303, -105.11550484992 40.08920536493303, -105.11550484992 40.08917140176369, -105.1154650774899 40.08917140176369))"
0.9980942606925964,636,"POLYGON ((-105.1145402208055 40.09507483218245, -105.1145402208055 40.09511127364421, -105.1145803540547 40.09511127364421, -105.1145803540547 40.09507483218245, -105.1145402208055 40.09507483218245))"
0.9971218705177308,637,"POLYGON ((-105.1153514409312 40.10331967454341, -105.1153514409312 40.10335176775513, -105.1153883193114 40.10335176775513, -105.1153883193114 40.10331967454341, -105.1153514409312 40.10331967454341))"
0.9967915415763856,645,"POLYGON ((-105.1123501687537 40.02386362751897, -105.1123501687537 40.02389653432165, -105.1123881309797 40.02389653432165, -105.1123881309797 40.02386362751897, -105.1123501687537 40.02386362751897))"
0.9954948425292968,645,"POLYGON ((-105.1123518415162 40.0238223014299, -105.1123518415162 40.0238530343475, -105.1123936204561 40.0238530343475, -105.1123936204561 40.0238223014299, -105.1123518415162 40.0238223014299))"
0.9968860745429992,647,"POLYGON ((-105.1135675274441 40.08148552914873, -105.1135675274441 40.08151979873664, -105.1136058048141 40.08151979873664, -105.1136058048141 40.08148552914873, -105.1135675274441 40.08148552914873))"
0.9993683695793152,663,"POLYGON ((-105.1090610079326 40.02804694921054, -105.1090610079326 40.02809021323464, -105.1091110572522 40.02809021323464, -105.1091110572522 40.02804694921054, -105.1090610079326 40.02804694921054))"
