OBJECTID_1,Well_ident,State,County,Well_name,Well_numbe,Type,Status,Latitude,Longitude,Prime_meri,Township,T_dir,Range,R_dir,Section,Qtr,Qtr_qtr,Qtr_qtr_qt,Source,Data_file_date,Well_info,Location_n,Other_note,x,y
,API:37121220400000,Pennsylvania,Venango,WOIDECK 23Q,,,Orphan,41.497042000000000,-79.517472999999995,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.517473000178796,41.497042000188202
,API:37121220450000,Pennsylvania,Venango,WOIDECK 28Q,,,Orphan,41.497177999999998,-79.523679000000001,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.523679000385499,41.497178000164602
,API:37121220330000,Pennsylvania,Venango,WOIDECK 16Q,,,Orphan,41.497179000000003,-79.514735999999999,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.514735999866403,41.497179000210700
,API:37121337840000,Pennsylvania,Venango,WOIDECK 1260,,,Orphan,41.497312999999998,-79.532439999999994,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.532439999706199,41.497313000094898
,API:37121220420000,Pennsylvania,Venango,WOIDECK 25Q,,,Orphan,41.497453000000000,-79.520211000000003,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.520210999637897,41.497453000255803
,API:37121298810000,Pennsylvania,Venango,WOIDECK 143Q,,,Orphan,41.497591000000000,-79.517474000000007,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.517474000224894,41.497591000324498
,API:37121298820000,Pennsylvania,Venango,WOIDECK 144Q,,,Orphan,41.497591000000000,-79.514334000000005,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.514334000213907,41.497591000324498
,API:37121298800000,Pennsylvania,Venango,WOIDECK 142Q,,,Orphan,41.497864000000000,-79.520758999999998,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.520758999728002,41.497864000323403
,API:37121338020000,Pennsylvania,Venango,WOIDECK 2120,,,Orphan,41.498137999999997,-79.522583999999995,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.522584000251399,41.498138000368499
,API:37121337870000,Pennsylvania,Venango,WOIDECK 129Q,,,Orphan,41.498410999999997,-79.530798000000004,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.530798000427396,41.498411000367398
,API:37121298920000,Pennsylvania,Venango,WOIDECK 195Q,,,Orphan,41.498441000000000,-79.519445000000005,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.519445000286495,41.498440999952301
,API:37121205230000,Pennsylvania,Venango,DONOVAN OR STEWART RUN CLUB 22,,,Orphan,41.498668000000002,-79.523114000000007,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.523114000410800,41.498667999628502
