OBJECTID,Well_ident,State,County,Well_name,Well_numbe,Type,Status,Latitude,Longitude,Prime_meri,Township,T_dir,Range,R_dir,Section,Qtr,Qtr_qtr,Qtr_qtr_qt,Source,Data_file_date,Well_info,Location_n,Other_note,x,y
100412,API:37121265270000,Pennsylvania,Venango,EICHE DEAN 83Q,,,Orphan,41.496944999999997,-79.542721000000000,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.542720999874206,41.496945000211703
100413,API:37121265280000,Pennsylvania,Venango,EICHE DEAN 84Q,,,Orphan,41.499406000000000,-79.542933000000005,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.542932999758094,41.499406000386699
100414,API:37121265300000,Pennsylvania,Venango,EICHE DEAN 86Q,,,Orphan,41.503802999999998,-79.543244000000001,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.543243999710796,41.503802999908501
100415,API:37121265310000,Pennsylvania,Venango,EICHE DEAN 87Q,,,Orphan,41.502687000000002,-79.541730000000001,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.541730000039394,41.502686999705297
100416,API:37121265320000,Pennsylvania,Venango,EICHE DEAN 88Q,,,Orphan,41.500531000000002,-79.541595999999998,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.541596000155295,41.500531000105603
100417,API:37121265330000,Pennsylvania,Venango,EICHE DEAN 89Q,,,Orphan,41.498216999999997,-79.541315999999995,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.541315999833500,41.498217000414300
100418,API:37121265340000,Pennsylvania,Venango,EICHE DEAN 90Q,,,Orphan,41.496175999999998,-79.541499000000002,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.541499000178703,41.496175999822597
100419,API:37121265350000,Pennsylvania,Venango,EICHE DEAN 91Q,,,Orphan,41.493492000000003,-79.541380000000004,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.541380000086903,41.493492000155797
100420,API:37121265370000,Pennsylvania,Venango,EICHE DEAN 93Q,,,Orphan,41.494669999999999,-79.539931999999993,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.539931999861906,41.494669999620797
100421,API:37121265380000,Pennsylvania,Venango,EICHE DEAN 94Q,,,Orphan,41.497165000000003,-79.539929999999998,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.539929999769598,41.497164999565101
100422,API:37121265390000,Pennsylvania,Venango,EICHE DEAN 95Q,,,Orphan,41.499758999999997,-79.539927000000006,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.539926999631305,41.499758999578198
