id,length_m,incision_depth_m,berm_sep_m,incision_fwhm_m,tread_width_m,cut_depth_m,fill_height_m,bench_amp_m,relief_amp_m,shoulder_grad,hillslope_deg,slope_centre,slope_flank,chm_centre,chm_flank,inten_centre,inten_flank,lrm5_amp,slope_ratio,chm_deficit_m,inten_ratio,n_transects,sinuosity,log_length,bin,prominence_z,tiger_match,is_tiger,mean_proad
,158.87045746023387,0.6987295,14.0,5.5,0.0,0.25909847021102905,0.5377615094184875,0.8256219625473022,0.8256219625473022,0.38152676820755005,8.46655559539795,16.091663360595703,13.41321086883545,5.641229152679443,8.315145492553711,13908.0,16576.0,0.13336181640625,1.0986402034759521,0.3628111779689789,0.8617533445358276,15,1.2932477481725173,5.074363846424098,0,-0.0991848669005464,0.0,0,0.74071217
,73.15476285234129,1.2553896,16.5,6.0,0.0,0.9490363597869873,0.5224559307098389,1.5064074993133545,1.4487576484680176,0.7290054559707642,11.018792152404785,18.927106857299805,15.444602966308594,0.7746701240539551,15.03204345703125,17104.0,17520.0,0.1978759765625,1.200253963470459,10.495162963867188,0.8868563771247864,7,1.0010254044707942,4.3061542991892345,1,1.6025629441447873,0.0,0,0.713032
,378.454198616362,0.4530674,13.5,5.0,1.5,0.2320876121520996,0.4511217474937439,0.6902061104774475,0.6281782388687134,0.32847416400909424,1.8763813972473145,7.236833095550537,5.252336025238037,0.15217895805835724,2.282322645187378,20896.0,18448.0,0.123199462890625,0.8275378346443176,0.12708128988742828,1.1135185956954956,37,1.2267940102048671,5.938733900794271,0,-0.33697193145004944,0.0,0,0.7444705
,391.4620478401126,0.55726355,12.5,6.5,3.5,0.2549609839916229,0.31616267561912537,0.570557713508606,0.570557713508606,0.3652419149875641,0.9148101806640625,4.07147741317749,2.747809410095215,0.10885007679462433,3.8872129917144775,18508.0,20528.0,0.109405517578125,1.5177661180496216,0.9330175518989563,0.9058181643486023,39,1.1396970982552526,5.972439839146368,0,0.3861580375996102,0.0,0,0.7468867
,397.02645178532265,0.4232608,13.5,6.0,8.0,0.1326693594455719,0.31218069791793823,0.4188569486141205,0.41176605224609375,0.2559701204299927,2.1999711990356445,4.800478458404541,3.3162872791290283,0.16574698686599731,0.13373716175556183,18544.0,18416.0,0.09112548828125,1.3463501930236816,-0.03106383979320526,1.0197728872299194,39,1.671109446280574,5.986518464848119,0,-0.5433672305227992,0.0,0,0.7342186
,73.7937650621206,0.5020511,10.5,5.0,1.0,0.10773226618766785,0.3563964068889618,0.5787869691848755,0.5787869691848755,0.3670493960380554,2.523813247680664,8.513731002807617,6.839215278625488,0.16184081137180328,0.11228331923484802,20712.0,17253.333984375,0.1368408203125,1.0811117887496948,-0.04955749213695526,1.0599795579910278,7,1.0110081269876108,4.314734526721744,0,-0.25358077062002166,0.0,0,0.7364002
,226.1285195020262,0.5045449,16.5,8.75,6.25,0.18594790995121002,0.3883275240659714,0.6065292656421661,0.6065292656421661,0.25040990859270096,2.8538018465042114,2.34909451007843,4.50771427154541,0.08419188484549522,13.643815517425537,28648.0,23888.0,0.093170166015625,0.5821064710617065,3.171978712081909,1.2029732465744019,22,1.0061112903133864,5.425516022477513,0,-0.3018338586393638,0.0,0,0.8114146
,241.61539440616093,0.83525527,19.5,9.75,6.25,0.4980696588754654,0.32582448422908783,0.9112812876701355,0.9112812876701355,0.37254172563552856,4.341149568557739,2.3937883377075195,5.666023254394531,0.08570554852485657,9.347306728363037,21326.0,17968.0,0.13250732421875,0.33221836388111115,7.459802865982056,1.2819778323173523,24,1.0427752199907914,5.49147745041658,1,0.7860237765899687,0.0,0,0.82610834
,212.24737160672717,0.85850775,13.5,7.5,0.5,0.6548886895179749,0.36302030086517334,1.1432881355285645,1.1432881355285645,0.40362340211868286,3.2397971153259277,8.771197319030762,7.048354148864746,0.17171630263328552,13.916300773620605,21592.0,20032.0,0.156585693359375,1.1232304573059082,11.056830406188965,1.1876163482666016,21,1.0075177189266673,5.3624528608877515,1,1.0211712168306772,0.0,0,0.8524448
,154.54431818240687,0.7734771,12.5,6.5,0.0,0.36222314834594727,0.294653981924057,0.9097042083740234,0.8510527610778809,0.3183327913284302,1.1497300863265991,9.029919624328613,7.858946323394775,16.63356590270996,17.802576065063477,21448.0,19216.0,0.108367919921875,1.1557494401931763,2.0741424560546875,1.1024096012115479,15,1.0167977252906195,5.046930695401722,0,1.1626152118079967,0.0,0,0.942876
,145.41160429287308,0.63732994,17.0,11.0,0.75,1.1720115542411804,0.020740428939461708,1.3155052661895752,0.9090497493743896,0.34208253026008606,4.989217281341553,8.141385316848755,12.200032711029053,3.272696018218994,11.4073486328125,21944.0,14921.33349609375,0.143402099609375,0.45473480224609375,7.047865152359009,1.3401066064834595,14,1.1301295065106591,4.986421862681544,1,-0.03825966218572079,0.0,0,0.9105945
,217.77287955967233,0.7793436,14.5,8.0,3.0,0.15977881848812103,0.7601020932197571,0.9609701037406921,0.8433752059936523,0.3889588713645935,3.1209053993225098,6.882314682006836,8.484701156616211,0.13906249403953552,9.163087844848633,27696.0,16572.0,0.134063720703125,0.8263404965400696,2.9359607696533203,1.5252188444137573,21,1.043411227396673,5.3880341120411215,1,0.754398954566158,0.012631698306307417,0,0.8963587
,61.82822613924571,0.22889017,11.5,2.75,5.0,0.06668902933597565,0.6550487577915192,0.7283751368522644,0.6785179376602173,0.3228005915880203,5.3837995529174805,3.0347758531570435,7.249887466430664,0.0846404954791069,10.323042668402195,15288.0,20160.0,0.1001434326171875,0.4603070467710495,8.344567470252514,0.7625251114368439,6,1.066923286631631,4.14040443331291,0,-1.9628967593726172,0.0,0,0.75456643
,327.54130075740187,0.68402934,14.5,6.75,6.25,0.33345018327236176,0.34254924952983856,0.7582574784755707,0.7565011084079742,0.40411004424095154,5.059000015258789,3.5744630098342896,6.479859113693237,0.084075927734375,0.2633666396141052,19106.0,18582.0,0.12286376953125,0.5452116429805756,0.059539785608649254,1.0408926606178284,32,1.1674603087180284,5.794662555310798,0,0.13857742037674506,0.0,0,0.8215691
,72.68580975753547,0.28153878,15.5,9.5,2.5,0.28952038288116455,0.03194151073694229,0.28955042362213135,0.28955042362213135,0.17813445627689362,3.299213171005249,6.924655914306641,5.254730224609375,0.16983641684055328,0.10662841796875,15248.0,16584.0,0.054046630859375,1.3177947998046875,-0.09496155381202698,0.8366377353668213,7,1.01163004532143,4.2998102400536515,0,-1.4265342577148652,0.0,0,0.7841538
,894.0722415042752,0.839663,13.0,8.0,4.0,0.5420053601264954,0.540113091468811,1.2086321115493774,1.2049425840377808,0.4856454133987427,5.056389808654785,5.365055561065674,7.458765983581543,0.1337890625,13.040552139282227,22592.0,18985.599609375,0.160552978515625,0.7485909461975098,3.196552276611328,1.1911622881889343,89,1.6327822505033567,6.796904431781986,1,0.7187394506380911,0.0,0,0.7835332
