fold,prob_threshold,n_pred_heldout,n_heldout,recall_iou30,precision_iou30,f1_iou30,recall_iou50,locate,locate_hits
1,0.5,214,129,0.9224806201550388,0.5560747663551402,0.6938775510204082,0.7906976744186046,0.9224806201550388,119
1,0.55,213,129,0.937984496124031,0.568075117370892,0.7076023391812866,0.8449612403100775,0.937984496124031,121
1,0.6,197,129,0.9147286821705426,0.5989847715736041,0.7239263803680982,0.8062015503875969,0.9457364341085271,122
1,0.65,175,129,0.8294573643410853,0.6114285714285714,0.7039473684210528,0.6976744186046512,0.9147286821705426,118
1,0.7,156,129,0.6821705426356589,0.5641025641025641,0.6175438596491227,0.5116279069767442,0.8372093023255814,108
1,0.75,119,129,0.5736434108527132,0.6218487394957983,0.596774193548387,0.3643410852713178,0.6976744186046512,90
1,0.8,86,129,0.2790697674418604,0.4186046511627907,0.3348837209302325,0.1550387596899224,0.5426356589147286,70
1,0.85,39,129,0.0930232558139534,0.3076923076923077,0.1428571428571428,0.0077519379844961,0.2480620155038759,32
2,0.1,148,129,0.07751937984496124,0.06756756756756757,0.07220216606498195,0.007751937984496124,0.08527131782945736,11
2,0.15,217,129,0.2558139534883721,0.15207373271889402,0.1907514450867052,0.031007751937984496,0.3178294573643411,41
2,0.2,208,129,0.3953488372093023,0.24519230769230768,0.3026706231454006,0.13178294573643412,0.4418604651162791,57
2,0.25,217,129,0.5426356589147286,0.3225806451612903,0.40462427745664736,0.20930232558139536,0.5193798449612403,67
2,0.3,226,129,0.7209302325581395,0.41150442477876104,0.523943661971831,0.3798449612403101,0.6744186046511628,87
2,0.35,235,129,0.8062015503875969,0.4425531914893617,0.5714285714285714,0.5116279069767442,0.751937984496124,97
2,0.4,236,129,0.8837209302325582,0.4830508474576271,0.6246575342465753,0.6589147286821705,0.8604651162790697,111
2,0.45,228,129,0.8837209302325582,0.5,0.6386554621848739,0.7364341085271318,0.875968992248062,113
2,0.5,224,129,0.9224806201550387,0.53125,0.6742209631728046,0.7829457364341085,0.9147286821705426,118
2,0.55,214,129,0.9457364341085271,0.5700934579439252,0.7113702623906705,0.8217054263565892,0.937984496124031,121
2,0.6,208,129,0.8992248062015504,0.5576923076923077,0.6884272997032641,0.7751937984496124,0.9302325581395349,120
2,0.65,185,129,0.8372093023255814,0.5837837837837838,0.6878980891719746,0.6821705426356589,0.9069767441860465,117
2,0.7,149,129,0.6821705426356589,0.5906040268456376,0.6330935251798562,0.5503875968992248,0.7906976744186046,102
2,0.75,124,129,0.5348837209302325,0.5564516129032258,0.5454545454545455,0.3488372093023256,0.6744186046511628,87
2,0.8,81,129,0.32558139534883723,0.5185185185185185,0.4,0.13178294573643412,0.5038759689922481,65
2,0.85,48,129,0.09302325581395349,0.25,0.13559322033898305,0.007751937984496124,0.3023255813953488,39
3,0.1,146,132,0.03787878787878788,0.03424657534246575,0.03597122302158273,0.0,0.07575757575757576,10
3,0.15,203,132,0.15151515151515152,0.09852216748768473,0.11940298507462686,0.03787878787878788,0.21212121212121213,28
3,0.2,207,132,0.3106060606060606,0.19806763285024154,0.2418879056047198,0.09090909090909091,0.36363636363636365,48
3,0.25,208,132,0.4090909090909091,0.25961538461538464,0.31764705882352945,0.16666666666666666,0.4696969696969697,62
3,0.3,206,132,0.5303030303030303,0.33980582524271846,0.4142011834319526,0.25,0.5681818181818182,75
3,0.35,208,132,0.6742424242424242,0.42788461538461536,0.5235294117647059,0.4090909090909091,0.6590909090909091,87
3,0.4,219,132,0.7727272727272727,0.4657534246575342,0.5811965811965812,0.5227272727272727,0.7424242424242424,98
3,0.45,220,132,0.8484848484848485,0.509090909090909,0.6363636363636364,0.6515151515151515,0.8409090909090909,111
3,0.5,210,132,0.8484848484848485,0.5333333333333333,0.6549707602339182,0.7121212121212122,0.8409090909090909,111
3,0.55,205,132,0.8787878787878788,0.5658536585365853,0.688427299703264,0.7575757575757576,0.8484848484848485,112
3,0.6,211,132,0.8939393939393939,0.5592417061611374,0.6880466472303207,0.7878787878787878,0.8939393939393939,118
3,0.65,184,132,0.803030303030303,0.5760869565217391,0.6708860759493671,0.696969696969697,0.8787878787878788,116
3,0.7,160,132,0.7045454545454546,0.58125,0.6369863013698631,0.5075757575757576,0.8333333333333334,110
3,0.75,128,132,0.45454545454545453,0.46875,0.4615384615384615,0.25757575757575757,0.6666666666666666,88
3,0.8,74,132,0.20454545454545456,0.36486486486486486,0.2621359223300971,0.08333333333333333,0.42424242424242425,56
3,0.85,26,132,0.05303030303030303,0.2692307692307692,0.08860759493670886,0.007575757575757576,0.1590909090909091,21
4,0.1,160,130,0.05384615384615385,0.04375,0.04827586206896552,0.007692307692307693,0.09230769230769231,12
