model,kind,mode,iou,threshold,n_gt_test,n_det_raw,n_det_scored,tp,recall_as_is,recall,precision_as_is,precision,f1_as_is,f1
pad_05_maskrcnn,pad,score,0.05,0.95,87,3127,124,76,0.9885057471264368,0.8735632183908046,0.02750239846498241,0.6129032258064516,0.053515868077162417,0.7203791469194313
pad_05_maskrcnn,pad,score,0.1,0.95,87,3127,124,76,0.9885057471264368,0.8735632183908046,0.02750239846498241,0.6129032258064516,0.053515868077162417,0.7203791469194313
pad_05_maskrcnn,pad,score,0.2,0.95,87,3127,124,76,0.9885057471264368,0.8735632183908046,0.02750239846498241,0.6129032258064516,0.053515868077162417,0.7203791469194313
pad_05_maskrcnn,pad,score,0.3,0.95,87,3127,124,76,0.9885057471264368,0.8735632183908046,0.02750239846498241,0.6129032258064516,0.053515868077162417,0.7203791469194313
pad_05_maskrcnn,pad,score,0.4,0.95,87,3127,124,75,0.9770114942528736,0.8620689655172413,0.027182603133994242,0.6048387096774194,0.05289359054138145,0.7109004739336494
pad_05_maskrcnn,pad,score,0.5,0.95,87,3127,124,73,0.9540229885057471,0.8390804597701149,0.02654301247201791,0.5887096774193549,0.05164903546981953,0.6919431279620852
pad_05_maskrcnn,pad,score,0.6,0.95,87,3127,124,68,0.8620689655172413,0.7816091954022989,0.023984649824112567,0.5483870967741935,0.04667081518357187,0.6445497630331755
pad_05_maskrcnn,pad,score,0.7,0.95,87,3127,124,62,0.7586206896551724,0.7126436781609196,0.02110649184521906,0.5,0.04107031736154325,0.5876777251184834
pad_05_maskrcnn,pad,score,0.8,0.95,87,3127,124,35,0.41379310344827586,0.40229885057471265,0.011512631915574032,0.28225806451612906,0.022401991288114497,0.33175355450236965
pad_05_maskrcnn,pad,score,0.9,0.95,87,3127,124,1,0.011494252873563218,0.011494252873563218,0.0003197953309881676,0.008064516129032258,0.0006222775357809584,0.00947867298578199
pad_06_yolo,pad,score,0.05,0.9,87,1291,63,61,0.9540229885057471,0.7011494252873564,0.06429124709527498,0.9682539682539683,0.12046444121915821,0.8133333333333334
pad_06_yolo,pad,score,0.1,0.9,87,1291,63,61,0.9540229885057471,0.7011494252873564,0.06429124709527498,0.9682539682539683,0.12046444121915821,0.8133333333333334
pad_06_yolo,pad,score,0.2,0.9,87,1291,63,61,0.9425287356321839,0.7011494252873564,0.06351665375677769,0.9682539682539683,0.11901306240928881,0.8133333333333334
pad_06_yolo,pad,score,0.3,0.9,87,1291,63,61,0.9425287356321839,0.7011494252873564,0.06351665375677769,0.9682539682539683,0.11901306240928881,0.8133333333333334
pad_06_yolo,pad,score,0.4,0.9,87,1291,63,61,0.9310344827586207,0.7011494252873564,0.0627420604182804,0.9682539682539683,0.11756168359941944,0.8133333333333334
pad_06_yolo,pad,score,0.5,0.9,87,1291,63,61,0.9080459770114943,0.7011494252873564,0.061192873741285826,0.9682539682539683,0.1146589259796807,0.8133333333333334
pad_06_yolo,pad,score,0.6,0.9,87,1291,63,58,0.8390804597701149,0.6666666666666666,0.056545313710302095,0.9206349206349206,0.10595065312046445,0.7733333333333333
pad_06_yolo,pad,score,0.7,0.9,87,1291,63,57,0.8160919540229885,0.6551724137931034,0.054996127033307515,0.9047619047619048,0.1030478955007257,0.7599999999999999
pad_06_yolo,pad,score,0.8,0.9,87,1291,63,53,0.7126436781609196,0.6091954022988506,0.048024786986831915,0.8412698412698413,0.08998548621190132,0.7066666666666668
pad_06_yolo,pad,score,0.9,0.9,87,1291,63,45,0.5402298850574713,0.5172413793103449,0.03640588690937258,0.7142857142857143,0.06821480406386067,0.6000000000000001
pit_unet_v2,pit,prob,0.05,0.4,69,637,104,69,0.9855072463768116,1.0,0.10675039246467818,0.6634615384615384,0.19263456090651562,0.7976878612716763
pit_unet_v2,pit,prob,0.1,0.4,69,637,104,69,0.9855072463768116,1.0,0.10675039246467818,0.6634615384615384,0.19263456090651562,0.7976878612716763
pit_unet_v2,pit,prob,0.2,0.4,69,637,104,69,0.9855072463768116,1.0,0.10675039246467818,0.6634615384615384,0.19263456090651562,0.7976878612716763
pit_unet_v2,pit,prob,0.3,0.4,69,637,104,69,0.9710144927536232,1.0,0.10518053375196232,0.6634615384615384,0.18980169971671387,0.7976878612716763
pit_unet_v2,pit,prob,0.4,0.4,69,637,104,69,0.927536231884058,1.0,0.10047095761381476,0.6634615384615384,0.18130311614730876,0.7976878612716763
pit_unet_v2,pit,prob,0.5,0.4,69,637,104,66,0.8695652173913043,0.9565217391304348,0.09419152276295134,0.6346153846153846,0.16997167138810199,0.7630057803468209
pit_unet_v2,pit,prob,0.6,0.4,69,637,104,55,0.6956521739130435,0.7971014492753623,0.07535321821036106,0.5288461538461539,0.13597733711048157,0.6358381502890174
pit_unet_v2,pit,prob,0.7,0.4,69,637,104,38,0.5362318840579711,0.5507246376811594,0.058084772370486655,0.36538461538461536,0.10481586402266288,0.43930635838150284
pit_unet_v2,pit,prob,0.8,0.4,69,637,104,11,0.2028985507246377,0.15942028985507245,0.02197802197802198,0.10576923076923077,0.0396600566572238,0.12716763005780346
pit_unet_v2,pit,prob,0.9,0.4,69,637,104,1,0.0,0.014492753623188406,0.0,0.009615384615384616,0.0,0.011560693641618497
