path,verdict,why,imports,imported_by,executed,cited,documented,has_v2_twin
notebooks/wellsight/roads/_prep_road_1m.py,ACTIVE,R7 via tools/audit_script_usage.py,1,0,1,1,0,1
notebooks/wellsight/roads/_road_postfilter.py,ORPHAN,,1,0,1,0,0,0
notebooks/wellsight/roads/_road_unet.py,ACTIVE,R7 via notebooks/wellsight_v2/_dl.py,2,0,7,0,0,0
notebooks/wellsight/roads/_road_unet_1m.py,HISTORICAL,,2,0,8,1,0,0
notebooks/wellsight/roads/_road_unet_1m_recall.py,HISTORICAL,,2,0,8,1,0,1
notebooks/wellsight/roads/_road_unet_multiblock.py,HISTORICAL,,2,0,6,1,0,0
notebooks/wellsight_v2/_common.py,ACTIVE,R7 via notebooks/wellsight_v2/roads/_rebuild_labels_road_9t_1m.py,0,68,0,1,0,0
notebooks/wellsight_v2/_dl.py,ACTIVE,R7 via notebooks/wellsight_v2/roads/_road_sweep_202607.py,0,14,0,1,0,0
notebooks/wellsight_v2/_instance_common.py,ORPHAN,,1,9,11,0,0,0
notebooks/wellsight_v2/analysis/_bold_vs_faint_roads.py,HISTORICAL,,1,0,3,1,0,0
notebooks/wellsight_v2/analysis/_classify_9t_roads_bold_faint.py,HISTORICAL,,1,0,3,1,0,0
notebooks/wellsight_v2/analysis/_export_well_age_qgis.py,ACTIVE,R3 Reproduce:,0,3,4,1,0,0
notebooks/wellsight_v2/analysis/_pad_morphology_bins.py,ACTIVE,R2 ui/registry; R3 Reproduce:,1,0,5,1,0,0
notebooks/wellsight_v2/analysis/_photo_source_locations.py,ACTIVE,R2 ui/registry; R3 Reproduce:,1,0,3,1,0,0
notebooks/wellsight_v2/analysis/_road_morphology_bins.py,HISTORICAL,,1,0,3,1,0,0
notebooks/wellsight_v2/analysis/_score_bold_faint_exemplar_segments.py,UNREFERENCED,,0,0,0,1,0,0
notebooks/wellsight_v2/analysis/_well_age_morphology.py,ACTIVE,R2 ui/registry; R3 Reproduce:,0,0,4,1,0,0
notebooks/wellsight_v2/analysis/_well_provenance_flags.py,ACTIVE,R2 ui/registry; R3 Reproduce:,1,0,4,1,0,0
notebooks/wellsight_v2/annotations/_build_pit_dataset.py,HISTORICAL,,1,0,3,1,0,0
notebooks/wellsight_v2/annotations/_build_plat_road_dataset.py,HISTORICAL,,1,0,3,1,0,0
notebooks/wellsight_v2/annotations/_build_plat_split.py,ORPHAN,,1,0,2,0,0,0
notebooks/wellsight_v2/annotations/_build_unified_split.py,ORPHAN,,1,0,1,0,0,0
notebooks/wellsight_v2/annotations/_merge_review_added_roads_613590_into_roads_shp.py,ACTIVE,R3 Reproduce:,0,0,5,1,0,0
notebooks/wellsight_v2/annotations/_prep_annotations.py,ACTIVE,R7 via notebooks/wellsight_v2/annotations/_merge_review_added_roads_613590_into_roads_shp.py,1,0,2,1,0,0
notebooks/wellsight_v2/annotations/_sanity_render.py,ORPHAN,,1,0,5,0,0,0
notebooks/wellsight_v2/build/_build_3x3_hillshades.py,ORPHAN,,1,3,1,0,0,0
notebooks/wellsight_v2/build/_build_contours_data_3x3.py,UNREFERENCED,,1,0,0,1,0,0
notebooks/wellsight_v2/build/_build_data_3x3_derivatives.py,ORPHAN,,3,0,2,0,0,0
notebooks/wellsight_v2/build/_build_data_3x3_partial_westernpa.py,HISTORICAL,,3,0,1,1,0,0
notebooks/wellsight_v2/build/_build_derivatives.py,UNREFERENCED,,1,4,0,1,0,0
notebooks/wellsight_v2/build/_build_drainage_review_package.py,HISTORICAL,,2,0,1,1,0,0
notebooks/wellsight_v2/build/_build_exag_derivatives.py,UNREFERENCED,,2,0,0,1,0,0
notebooks/wellsight_v2/build/_build_extra_channels.py,UNREFERENCED,,1,0,0,1,0,0
notebooks/wellsight_v2/build/_build_label_grids.py,HISTORICAL,,3,0,3,1,0,0
notebooks/wellsight_v2/build/_build_pit_review_package.py,ORPHAN,,1,0,1,0,0,0
notebooks/wellsight_v2/build/_build_road_review_package.py,HISTORICAL,,1,0,1,1,0,0
notebooks/wellsight_v2/build/_calibrate_drainage_extraction_9t.py,HISTORICAL,,2,0,2,1,0,0
notebooks/wellsight_v2/build/_fetch_nisar_9t.py,UNREFERENCED,,1,0,0,1,0,0
notebooks/wellsight_v2/build/_fetch_permian_grids.py,HISTORICAL,,1,0,1,1,0,0
notebooks/wellsight_v2/build/_icp_change_9t.py,HISTORICAL,,0,0,3,1,0,0
notebooks/wellsight_v2/build/_icp_change_9t_rebuild.py,HISTORICAL,,1,0,3,1,0,0
notebooks/wellsight_v2/build/_icp_change_classify_9t.py,HISTORICAL,,0,0,4,1,0,0
notebooks/wellsight_v2/build/_infer_roads_data_3x3.py,HISTORICAL,,2,0,1,1,0,0
notebooks/wellsight_v2/build/_overlay_drainage_review_613590.py,UNREFERENCED,,1,0,0,1,0,0
notebooks/wellsight_v2/build/_pit_corrections_diff.py,ORPHAN,,1,0,1,0,0,0
notebooks/wellsight_v2/build/_pit_optimize.py,HISTORICAL,,1,0,3,1,0,0
notebooks/wellsight_v2/build/_postfilter_tile_candidates.py,UNREFERENCED,,1,0,0,0,0,0
notebooks/wellsight_v2/build/_predict_on_tile.py,UNREFERENCED,,2,0,0,0,0,0
notebooks/wellsight_v2/build/_refine_roads_data_3x3.py,UNREFERENCED,,1,0,0,1,0,0
notebooks/wellsight_v2/build/_road_corrections_diff.py,HISTORICAL,,1,0,1,1,0,0
notebooks/wellsight_v2/build/_road_methods_compare.py,ORPHAN,,2,0,3,0,0,0
notebooks/wellsight_v2/build/_road_optimize.py,ACTIVE,R7 via roads_studio/core.py,1,3,1,1,0,0
notebooks/wellsight_v2/build/_yolo_infer_tile.py,UNREFERENCED,,2,0,0,0,0,0
notebooks/wellsight_v2/drainage/_drainage_unet_1m.py,HISTORICAL,,2,0,8,1,0,0
notebooks/wellsight_v2/eval/_build_undecided_pit_candidates_9t.py,ACTIVE,R3 Reproduce:,2,0,4,0,0,0
notebooks/wellsight_v2/eval/_cv5_centroid_precision_pit_pad_9t.py,ACTIVE,R3 Reproduce:,2,1,3,1,0,0
notebooks/wellsight_v2/eval/_export_pit_floor_threshold_tifs.py,HISTORICAL,,0,0,2,1,0,0
notebooks/wellsight_v2/eval/_heldout_overlap_9t.py,ORPHAN,,0,0,3,0,0,0
notebooks/wellsight_v2/eval/_heldout_rim_containment_9t.py,HISTORICAL,,0,0,4,1,0,0
notebooks/wellsight_v2/eval/_map_cv5_unmatched_pit_thr0p50_9t.py,ACTIVE,R3 Reproduce:,3,0,3,1,0,0
notebooks/wellsight_v2/eval/_match_rules_pit_pad_9t.py,ACTIVE,R3 Reproduce:,2,0,2,1,0,0
notebooks/wellsight_v2/eval/_pad_cv5_tau_scale.py,UNREFERENCED,,1,0,0,1,0,0
notebooks/wellsight_v2/eval/_pad_threshold_products_9t.py,ACTIVE,R7 via notebooks/wellsight_v2/eval/_road_threshold_products_9t.py,1,0,6,1,0,0
notebooks/wellsight_v2/eval/_pit_cv5_tau_scale.py,UNREFERENCED,,1,0,0,0,0,0
notebooks/wellsight_v2/eval/_pit_threshold_products_9t.py,ACTIVE,R7 via notebooks/wellsight_v2/eval/_road_threshold_products_9t.py,0,0,5,1,0,0
notebooks/wellsight_v2/eval/_plot_iou_strictness_scale_9t.py,ORPHAN,,0,0,2,0,0,0
notebooks/wellsight_v2/eval/_reeval_instance_precision_9t.py,ACTIVE,R7 via notebooks/wellsight_v2/pits/_pit_unet_cv5.py,0,0,4,1,0,0
