epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
40,4421.75,0.68393,1.21083,0.42224,0.868,0,0.88329,0.92451,0.95345,0.48353,0.84879,0.88965,0.89252,0.36585,1.60796,3.64552,0.67792,1.32389,0,0.00102337,0.00102337,0.00102337
41,4536.77,0.65922,1.18346,0.40369,0.86356,0,0.91907,0.89762,0.9494,0.46088,0.84052,0.8211,0.82911,0.33119,1.6681,3.816,0.71136,1.36482,0,0.00100687,0.00100687,0.00100687
42,4646.45,0.65791,1.18423,0.40537,0.86616,0,0.90197,0.8983,0.94189,0.47062,0.84938,0.84732,0.86,0.35147,1.63928,3.62284,0.72266,1.35396,0,0.000990365,0.000990365,0.000990365
43,4752.39,0.65008,1.16246,0.40104,0.85933,0,0.93934,0.88622,0.96014,0.47971,0.89551,0.84452,0.8793,0.36306,1.6265,3.74069,0.68859,1.35232,0,0.000973861,0.000973861,0.000973861
44,4856.75,0.64673,1.17157,0.39922,0.85986,0,0.93642,0.86941,0.93747,0.46575,0.87816,0.81478,0.8418,0.33947,1.63464,3.73729,0.71447,1.35697,0,0.000957358,0.000957358,0.000957358
45,4964.55,0.63883,1.1461,0.39383,0.85781,0,0.95021,0.87922,0.93999,0.4706,0.90206,0.83456,0.85354,0.35309,1.63309,3.69895,0.70264,1.37943,0,0.000940855,0.000940855,0.000940855
46,5077.69,0.6369,1.13177,0.38687,0.85814,0,0.89682,0.88044,0.9215,0.47408,0.85767,0.84377,0.86606,0.36222,1.57924,3.88314,0.69909,1.33061,0,0.000924352,0.000924352,0.000924352
47,5189.16,0.62942,1.1205,0.38634,0.85759,0,0.92766,0.90936,0.93355,0.4702,0.87211,0.85995,0.85752,0.3579,1.64775,3.71236,0.64856,1.37053,0,0.000907848,0.000907848,0.000907848
48,5297.55,0.6218,1.12203,0.38136,0.85318,0,0.89797,0.8793,0.92156,0.45586,0.83665,0.81871,0.82414,0.33884,1.64078,3.87846,0.72778,1.37912,0,0.000891345,0.000891345,0.000891345
49,5405.64,0.62457,1.11906,0.38527,0.85342,0,0.90217,0.91634,0.94156,0.46369,0.8445,0.85706,0.83858,0.35103,1.65093,3.96994,0.715,1.36279,0,0.000874842,0.000874842,0.000874842
50,5516.76,0.60998,1.11599,0.3782,0.85472,0,0.92459,0.90203,0.94439,0.4723,0.87006,0.84468,0.85425,0.35984,1.64332,3.97621,0.67814,1.39437,0,0.000858338,0.000858338,0.000858338
51,5625,0.59342,1.0726,0.36995,0.8504,0,0.90702,0.87971,0.92563,0.4648,0.84851,0.81595,0.82476,0.35099,1.62629,3.90887,0.7592,1.35342,0,0.000841835,0.000841835,0.000841835
52,5736.47,0.59424,1.08565,0.37221,0.85105,0,0.95714,0.89541,0.94627,0.47831,0.90497,0.84769,0.8735,0.368,1.60075,3.95253,0.68736,1.3349,0,0.000825332,0.000825332,0.000825332
53,5846.1,0.57779,1.04915,0.36083,0.84572,0,0.90893,0.89554,0.93934,0.46776,0.87321,0.82602,0.8509,0.3476,1.61914,3.91328,0.68727,1.3609,0,0.000808828,0.000808828,0.000808828
54,5964.18,0.57446,1.06752,0.36034,0.84397,0,0.89026,0.88859,0.92379,0.48309,0.85654,0.85301,0.87011,0.35538,1.5957,3.84249,0.73986,1.31883,0,0.000792325,0.000792325,0.000792325
55,6074.72,0.57537,1.04756,0.36492,0.84476,0,0.95799,0.89942,0.95107,0.47875,0.8935,0.83885,0.84557,0.34185,1.62855,4.1253,0.6636,1.35588,0,0.000775822,0.000775822,0.000775822
56,6185.44,0.57264,1.07802,0.36691,0.84756,0,0.91527,0.89854,0.92914,0.47807,0.86146,0.83444,0.8567,0.34966,1.62154,3.94217,0.72258,1.36309,0,0.000759318,0.000759318,0.000759318
57,6297.43,0.56033,1.03046,0.35595,0.84424,0,0.93268,0.89842,0.94752,0.47819,0.89685,0.8347,0.86022,0.35234,1.63442,3.98496,0.72603,1.34538,0,0.000742815,0.000742815,0.000742815
58,6406.71,0.56793,1.03319,0.35695,0.84255,0,0.90878,0.9176,0.95005,0.48422,0.87779,0.8833,0.88255,0.35146,1.62124,4.25377,0.68777,1.32746,0,0.000726312,0.000726312,0.000726312
59,6517.01,0.54148,0.99582,0.34544,0.83872,0,0.87982,0.89731,0.92865,0.4748,0.82363,0.83987,0.83693,0.35418,1.61606,4.12426,0.74096,1.36407,0,0.000709809,0.000709809,0.000709809
60,6625.47,0.55512,1.03173,0.35292,0.84008,0,0.93523,0.89511,0.94241,0.47589,0.8868,0.84744,0.86106,0.35905,1.6264,4.12663,0.72296,1.37285,0,0.000693305,0.000693305,0.000693305
61,6734.82,0.53918,0.98378,0.34141,0.83422,0,0.92582,0.91244,0.94195,0.46997,0.86146,0.87259,0.87607,0.35357,1.63481,4.23473,0.68505,1.37339,0,0.000676802,0.000676802,0.000676802
62,6843.03,0.52774,0.97001,0.3379,0.83651,0,0.9081,0.89578,0.92671,0.46054,0.84337,0.83313,0.83858,0.34393,1.63928,4.31528,0.77709,1.39459,0,0.000660299,0.000660299,0.000660299
63,6946.6,0.53131,1.00201,0.33833,0.83155,0,0.92268,0.90774,0.94448,0.46942,0.86597,0.85357,0.86455,0.34171,1.65169,4.3025,0.67883,1.39798,0,0.000643795,0.000643795,0.000643795
64,7050.74,0.51941,0.95606,0.335,0.82817,0,0.899,0.89997,0.93262,0.46108,0.8562,0.85379,0.84857,0.3419,1.62931,4.21767,0.7317,1.37159,0,0.000627292,0.000627292,0.000627292
65,7161.55,0.52914,0.97969,0.34233,0.83662,0,0.94498,0.85432,0.9325,0.46653,0.87037,0.83024,0.86168,0.34641,1.64118,4.39571,0.71141,1.40881,0,0.000610789,0.000610789,0.000610789
66,7272.5,0.522,0.97148,0.33377,0.83447,0,0.92764,0.88567,0.91096,0.45668,0.87047,0.83133,0.81776,0.34379,1.63551,4.41552,0.7418,1.39432,0,0.000594286,0.000594286,0.000594286
67,7386.49,0.50897,0.94231,0.3312,0.82978,0,0.92087,0.892,0.91811,0.45401,0.85365,0.82833,0.81584,0.33264,1.64382,4.25719,0.75811,1.41776,0,0.000577782,0.000577782,0.000577782
68,7497.67,0.49574,0.92956,0.31649,0.82658,0,0.94056,0.87593,0.92801,0.46366,0.89214,0.83109,0.85735,0.34839,1.64858,4.6731,0.68976,1.4345,0,0.000561279,0.000561279,0.000561279
