length_m,class,faint_score,margin_sigma,n_transects,P_road,split,opos_zcontrast,lrm25_zcontrast,tpi15_zcontrast,slope_zcontrast,relief10_zcontrast,oneg_zcontrast,incision_depth_m
193.0718146220097,faint,0.628,-2.363,19,0.8730177879333496,train,0.62788296,0.84318966,0.6242414,-0.6754817,-0.32305837,-0.25597015,0.19763094
220.40196601301648,faint,-0.374,-1.362,22,0.865670382976532,train,-0.3738281,-0.87078184,-1.3293834,-0.20609,0.089942195,0.34504813,0.47485778
170.4523536446668,faint,-1.517,-0.218,17,0.8559699654579163,train,-1.5171833,-1.7860515,-2.0343978,-0.5260813,-0.86255157,1.2952493,0.36489666
171.8613625919197,bold,-3.099,1.364,17,0.7962186932563782,unused,-3.09891,-2.1318727,-1.9723886,-0.23657614,-0.13987967,0.87141144,0.8432352
306.4780546931057,faint,-0.956,-0.78,30,0.8462076187133789,train,-0.95569324,0.29188612,0.5837528,-1.20851,-0.31211612,-0.7173978,0.45152843
249.25747667893052,bold,-2.146,0.41,24,0.8625808954238892,test,-2.1457782,0.058519796,0.2407569,-1.4872093,0.41040933,-1.9958265,1.0382898
71.78127222145248,faint,-0.984,-0.752,7,0.8332957625389099,test,-0.9835556,-0.016513765,-0.07058978,-2.3663313,-0.4810531,-0.8536336,1.3523448
250.6622859421455,bold,-4.38,2.644,25,0.9442167282104492,train,-4.3797374,-4.280294,-3.7084992,1.0090151,0.5735658,-0.4007352,1.1286163
121.70313660744594,bold,-5.291,3.556,12,0.8662195205688477,train,-5.291209,-3.4387546,-3.3797116,2.3764591,0.6400053,-1.7042928,0.6497081
793.2044309224601,bold,-3.322,1.586,79,0.8604047298431396,train,-3.321802,-2.8222494,-3.9625106,-0.06880814,1.0986784,0.056418747,0.7178258
85.94923212424749,bold,-5.97,4.235,8,0.8974648714065552,train,-5.9704432,-2.6390572,-2.5496545,0.60933584,0.30660293,-2.4878912,0.5886686
55.41217553673993,bold,-8.013,6.278,5,0.9215112328529358,val,-8.013434,-2.8889818,-3.3732836,0.5845563,2.125785,-1.4745694,0.43846467
488.7642924383347,faint,-0.056,-1.679,48,0.9620072841644287,train,-0.056236114,0.23724556,0.37671506,-1.42026,-0.74785876,-1.4935519,0.6033048
652.1816475593255,bold,-2.068,0.332,65,0.9035714864730835,unused,-2.0677216,-2.1633482,-2.8107278,-0.41640958,0.6296881,0.021215541,0.76482296
722.9786646856248,bold,-3.32,1.585,72,0.9289732575416565,train,-3.3199506,-2.748719,-3.4502416,0.0028940625,1.3138752,-0.24530762,0.68728775
992.9996109827521,bold,-2.304,0.569,99,0.9280155301094055,train,-2.3043108,-2.0048523,-2.7930999,-0.3027019,1.270944,-0.016970199,1.0339633
1332.7904520461727,faint,-1.346,-0.389,133,0.9660360217094421,test,-1.3463539,-1.0057762,-0.70705134,-0.9919296,0.2944453,-0.79419714,0.74065006
58.830200434162045,faint,-1.118,-0.618,5,0.9375292062759399,train,-1.1175456,-2.4875157,-1.9921074,0.57417893,-0.16453822,0.15381162,0.86104196
151.34069873479197,bold,-2.515,0.78,15,0.9361833333969116,train,-2.5151715,-1.847891,-1.4660419,0.72576386,1.1326249,-1.9667476,0.566507
1144.5200348743508,bold,-4.058,2.323,114,0.9308781027793884,train,-4.0583944,-3.241071,-3.0059407,-0.20603332,0.48583668,-0.9014189,0.75338125
326.76408402321215,bold,-4.011,2.276,32,0.8782220482826233,train,-4.011297,-3.0308046,-4.53916,0.110014245,2.8019414,-0.11128539,0.8787637
88.19525311553998,bold,-1.955,0.219,8,0.8566590547561646,val,-1.9546556,-1.5757933,-1.2084419,-0.5531237,0.045035854,0.20432979,0.50613457
614.6911281583743,bold,-4.548,2.813,61,0.9086979031562805,unused,-4.5484414,-3.3254402,-3.0621881,0.9108082,1.8725177,-0.49786273,0.7754639
350.8376995510784,faint,-1.146,-0.59,35,0.941960871219635,test,-1.1457676,-0.37498835,-1.2618484,-1.2369661,-0.7895563,-0.41094437,0.85797775
175.8136926789743,bold,-3.501,1.765,17,0.7622719407081604,unused,-3.5005836,-2.5927565,-2.320273,0.99466175,1.1036206,-0.9725318,0.5475311
147.22274704899672,bold,-4.139,2.404,14,0.8172334432601929,unused,-4.1394567,-3.0397937,-3.599699,0.6976835,2.2121365,-0.27116317,0.5336211
350.576675027133,bold,-6.797,5.061,35,0.906267523765564,unused,-6.796822,-4.608432,-3.7635562,1.4415358,1.3501552,-0.9868131,0.62762356
132.67510778510845,bold,-4.631,2.896,13,0.8630542755126953,unused,-4.631164,-2.3291972,-1.9291784,1.6204168,2.20633,-1.7419977,0.43316203
115.60321961830128,bold,-4.743,3.007,11,0.8894616365432739,train,-4.7426844,-3.0626295,-2.2212539,1.0778733,2.2168682,-0.8245824,0.6788087
160.04629212873238,bold,-7.326,5.591,16,0.8923460841178894,train,-7.32596,-3.7108846,-2.8526776,0.24778494,0.8436438,-0.86208594,0.75323975
232.60326776214467,bold,-7.475,5.74,23,0.875619649887085,train,-7.4751387,-3.6194177,-3.1038816,0.54811853,0.52961105,-1.4268658,0.7947491
139.5444757872525,bold,-6.701,4.966,13,0.8921509385108948,train,-6.701463,-2.8625531,-2.0847895,0.7157714,0.42368224,-2.477476,0.7654199
152.77086611262374,bold,-3.502,1.767,15,0.9158597588539124,train,-3.5020566,-2.8687162,-1.9279598,0.5513135,0.1550353,-0.8029609,0.6024394
170.22345586194993,bold,-4.409,2.674,17,0.9363418221473694,train,-4.409296,-3.0928323,-1.1973566,0.22804499,0.6026555,-2.4705474,0.93829036
26.85855585658605,bold,-9.172,7.437,2,0.9542225003242493,val,-9.17218,1.27111,-6.9539895,-0.13007338,1.9686685,-3.2049327,1.8321018
65.6942151596057,bold,-3.665,1.93,6,0.8548282384872437,train,-3.6654673,-1.7481924,-1.1655377,1.0261831,0.35274917,-1.6704593,0.615854
105.00460275260278,bold,-3.789,2.054,10,0.796317458152771,unused,-3.7892725,-1.9187201,-1.4520004,1.0122182,0.7608068,-0.55385405,0.41294193
126.20513037766412,bold,-10.198,8.463,12,0.8393139839172363,val,-10.19841,-3.5154977,-2.8271666,2.8424096,2.9845715,-4.8758874,0.5796317
108.83755992181446,bold,-3.917,2.182,10,0.7886641621589661,val,-3.9174657,-3.9358077,-3.2062304,1.3649046,2.7193947,-2.3183765,0.6198017
643.9648232387016,bold,-3.124,1.388,64,0.9240984320640564,unused,-3.1235926,-2.9190905,-2.2749639,0.26091993,0.54313684,-0.8269563,0.9280628
