length_m,class,faint_score,margin_sigma,n_transects,P_road,split,opos_zcontrast,lrm25_zcontrast,tpi15_zcontrast,slope_zcontrast,relief10_zcontrast,oneg_zcontrast,incision_depth_m
190.28723488261954,bold,-6.124,4.388,19,0.883598804473877,train,-6.123701,-2.3162458,-1.9565673,0.9888318,1.3965957,-2.9879425,0.68115544
60.27650794169695,faint,-0.874,-0.861,6,0.8468939661979675,train,-0.8740578,-1.066678,-0.24686754,-0.13936444,0.18737055,-0.49621543,0.5573854
70.52705885520842,bold,-1.834,0.099,7,0.9303379058837891,val,-1.8339379,-2.3577266,-2.7263567,0.027546044,1.3399892,0.5810048,0.6369191
265.76764433798644,faint,-1.532,-0.203,26,0.9305003881454468,train,-1.5320897,-1.754372,-0.65633523,-0.61754155,0.25114986,-1.5374682,0.6576434
317.5415823003144,bold,-4.374,2.638,31,0.9238156080245972,train,-4.3737535,-2.9999676,-2.9114752,-0.40250593,0.6972928,-0.036962815,0.695102
278.76357712303275,faint,-1.346,-0.39,27,0.9535068869590759,train,-1.3457378,-1.2666283,-1.114273,-0.95138824,-0.74655485,-0.26625112,0.8381715
467.0140628510575,bold,-3.57,1.835,46,0.9291216731071472,train,-3.5700412,-1.2444316,-3.4902081,-1.9784138,-1.0039792,-0.655329,1.6225171
327.8245230809524,bold,-2.699,0.964,32,0.594882607460022,unused,-2.6993146,-2.4601169,-2.1707733,-1.5964136,-0.44817367,-0.5682919,1.5474422
268.0849283307104,bold,-3.875,2.14,26,0.9360764026641846,train,-3.8749225,-2.0162647,-2.2727392,-0.39499688,0.53877944,-0.88854456,0.9215431
105.38328501476035,faint,-1.68,-0.055,10,0.9380413889884949,train,-1.6801758,-0.64914876,-0.44647273,-1.7438179,-0.21932866,-1.1326889,0.8573108
119.62618909894373,bold,-4.015,2.28,11,0.9594631791114807,train,-4.015299,-2.977127,-1.9493054,-0.8080687,-0.20972447,0.10562187,0.87657183
70.93522286158502,bold,-3.02,1.285,7,0.9440466165542603,train,-3.0202422,-1.58212,-1.637154,-0.20287335,0.1925947,-0.2979037,0.81090504
260.4150637160753,bold,-2.136,0.4,26,0.9461559057235718,train,-2.1357286,0.50718176,1.0691665,-0.7149366,2.3881927,-3.666381,0.91723496
29.673815298684065,faint,-1.025,-0.711,2,0.9266772866249084,train,-1.0248549,0.39496583,-1.1284691,-0.48766616,-0.12655404,-0.76679057,0.70186925
128.50214843212322,bold,-5.193,3.458,12,0.9277369976043701,train,-5.1930456,-4.9570003,-3.1646361,1.2113816,0.7870797,-1.246014,0.785095
131.69062069102378,bold,-3.41,1.674,13,0.8366225361824036,test,-3.4095416,-2.2458744,-2.0446312,0.625122,-0.3529525,-0.19691107,0.5890821
255.1013980270804,bold,-2.896,1.161,25,0.8426586985588074,test,-2.8960311,-2.4714324,-1.6231629,0.501707,1.3004626,-1.753833,0.46198863
194.70378525115618,bold,-1.925,0.19,19,0.8994810581207275,train,-1.9254291,-1.9423481,-2.5961075,-0.27871892,1.1419649,0.7203735,0.8231349
144.8152789118398,faint,-1.017,-0.718,14,0.9212572574615479,train,-1.017134,-0.80869615,-0.27284154,-0.7006623,-1.180521,-0.6775515,0.53012884
120.18678547591901,bold,-2.633,0.897,12,0.9161718487739563,train,-2.6326642,-2.1741405,-2.018742,-0.14929348,0.6220968,-0.576619,1.0315361
187.42027010780564,faint,-0.092,-1.643,18,0.8929442167282104,train,-0.09208564,-0.6297418,-0.28266156,-0.33098406,-0.2516963,0.40207672,0.31378758
178.73009241179483,bold,-3.84,2.104,17,0.8809559941291809,train,-3.8397443,-3.001342,-3.0439594,-0.15082285,-0.94192636,-0.070959,0.67650324
68.72664534370931,bold,-2.722,0.987,6,0.8265863060951233,train,-2.722451,-1.5228784,-2.294486,0.4188111,-0.06499012,-0.73806715,0.5807464
