parent_road,length_m,class,faint_score,margin_sigma,n_transects,exlabel,P_road,split,opos_zcontrast,lrm25_zcontrast,tpi15_zcontrast,slope_zcontrast,relief10_zcontrast,oneg_zcontrast,incision_depth_m
9,24.44665853,faint,-0.614,-0.971,4,unlabelled,0.725038469,val,-0.61369944,-0.49964294,-0.4512487,-0.025092691,0.25525224,0.43485963,0.5023734
10,41.32142989,bold,-4.133,2.548,8,unlabelled,0.893089592,val,-4.133025,-3.3126807,-2.7527509,0.23334868,-0.41092968,-0.80974585,0.7112358
10,41.36969516,faint,-0.447,-1.139,8,unlabelled,0.90988487,val,-0.44661182,-1.2213589,-0.38638398,-0.0834918,-1.2795427,0.2483283,0.57998323
11,48.84811699,bold,-4.094,2.509,9,unlabelled,0.943531871,val,-4.094015,-1.8637722,-2.6283808,0.18923728,0.33687523,0.14990534,0.84814036
11,48.89451206,bold,-6.091,4.506,9,unlabelled,0.966684699,val,-6.0907035,-2.7439375,-2.8778093,1.9781326,0.6849541,-1.2372851,0.90272737
11,48.9634315,bold,-4.163,2.577,9,unlabelled,0.966341257,val,-4.1625195,-2.0158265,-1.4195728,-0.55961674,-0.27816933,0.36855578,0.6589222
11,48.72653891,bold,-3.841,2.256,9,unlabelled,0.961972058,val,-3.8407435,-3.3939679,-1.7504623,-0.2422846,-0.38691232,0.86845106,0.7884864
11,48.94519456,bold,-4.363,2.777,9,unlabelled,0.947969377,val,-4.3626394,-4.8704042,-3.9852037,0.22622702,0.28299415,0.43812078,1.0491815
12,41.92711216,bold,-5.19,3.604,8,unlabelled,0.987486422,train,-5.189596,-2.4102929,-1.4224105,1.0439528,-0.14846066,-3.0921755,0.6179768
12,41.95583364,bold,-3.335,1.75,8,unlabelled,0.994932055,val,-3.3347673,-0.9776043,-0.73159695,0.081944406,0.25152442,0.08605534,0.5935903
12,41.99116219,bold,-3.499,1.913,8,unlabelled,0.859150529,val,-3.4985828,-0.4925149,-0.18167476,0.025935488,-0.18052611,-0.6779071,0.606204
13,48.69078889,bold,-4.229,2.644,9,unlabelled,0.888947248,train,-4.229318,-2.131503,-2.3354328,0.088001736,0.6233267,-1.1237164,0.55458534
13,48.7435745,faint,-0.676,-0.909,9,unlabelled,0.90046227,train,-0.6757692,-1.3033111,-0.8819604,-0.469848,0.16159303,-0.68818045,0.5372707
13,48.82374146,faint,-0.651,-0.934,9,unlabelled,0.840264499,train,-0.6512876,-0.63391584,-1.1912129,-0.6637754,-0.36212972,-0.31517816,0.71137893
14,48.98620512,faint,-0.219,-1.366,9,unlabelled,0.952107966,train,-0.21865855,-0.321361,-1.1554564,-0.66805077,-0.9257022,0.535334,0.5122993
14,49.12791459,bold,-2.087,0.502,9,unlabelled,0.933606446,train,-2.0872533,-0.9877813,-0.9046954,0.33584684,1.2633364,-0.03508828,0.35469568
14,48.96088222,bold,-2.427,0.841,9,unlabelled,0.925477266,train,-2.426653,-0.50118417,-0.39511326,0.72609156,1.3709686,-0.8644929,0.412313
