feature,bold_med,faint_med,delta,auc,p,delta_transect,auc_transect,abs_delta,q
rough_road,0.12909944355487823,0.12909944355487823,0.4226190476190476,0.7113095238095237,0.05982507765293121,0.3665342729019859,0.683267136450993,0.4226190476190476,0.12962100158135095
tpi15_near,0.045917510986328125,0.0282440185546875,0.40476190476190477,0.7023809523809523,0.10297928005456924,0.2656758488148623,0.6328379244074311,0.40476190476190477,0.20917666261084378
chm_context,18.198196411132812,20.76050567626953,-0.39285714285714285,0.30357142857142855,0.11409120261669159,-0.3037796284433056,0.34811018577834724,0.39285714285714285,0.21188366855533272
canopy_cover_contrast,0.07881906825568799,-0.05037919826652219,0.39285714285714285,0.6964285714285714,0.11409120614517916,0.18893017296604742,0.5944650864830237,0.39285714285714285,0.21188366855533272
hillslope_deg,1.2146891355514526,2.0698654651641846,-0.39285714285714285,0.30357142857142855,0.11409120261669159,-0.3181806534272902,0.3409096732863549,0.39285714285714285,0.21811553441426335
dsm_context,496.24700927734375,501.23699951171875,-0.38095238095238093,0.30952380952380953,0.1260880082845688,-0.4691351697629724,0.2654324151185138,0.38095238095238093,0.22765890384713808
opos_context,88.77073669433594,88.60539245605469,0.3333333333333333,0.6666666666666666,0.18350917100906372,0.08343369634849455,0.5417168481742473,0.3333333333333333,0.32238097609700384
chm_near,18.095375061035156,19.796916961669922,-0.27380952380952384,0.3630952380952381,0.27851900458335876,-0.21516976297245355,0.3924151185137732,0.27380952380952384,0.4764140867873242
oneg_context,88.91930389404297,88.76290130615234,0.25,0.625,0.3241689205169678,0.07310698270339526,0.5365534913516976,0.25,0.5402815341949463
dsm_near,499.10601806640625,500.0199890136719,-0.23809523809523808,0.38095238095238093,0.34865131974220276,-0.3509801409352979,0.3245099295323511,0.23809523809523808,0.5527398971522727
inten_context,20300.0,19604.0,0.23809523809523808,0.6190476190476191,0.34865131974220276,0.24225496476617553,0.6211274823830877,0.23809523809523808,0.5527398971522727
dem_contrast,-0.122100830078125,-0.00213623046875,-0.2261904761904762,0.3869047619047619,0.374215692281723,-0.15072389493914157,0.4246380525304292,0.2261904761904762,0.5791433332931428
relief10_near,1.16259765625,1.2663955688476562,-0.20238095238095238,0.39880952380952384,0.42857125401496887,0.031723254324151184,0.5158616271620755,0.20238095238095238,0.647840267697046
chm_road,13.662692070007324,12.227073669433594,0.17857142857142858,0.5892857142857143,0.4870632290840149,0.044407431133888536,0.5222037155669442,0.17857142857142858,0.7195252247832038
dist_pit_m,144.29427256743833,176.5692633757406,-0.16666666666666666,0.4166666666666667,0.5177881921510109,,,0.16666666666666666,0.7479162775514602
dem_road,480.9555969238281,485.6890869140625,-0.15476190476190477,0.4226190476190476,0.5494329929351807,-0.341806534272902,0.329096732863549,0.15476190476190477,0.7529167665375603
lrm25_near,0.00205230712890625,0.0041961669921875,-0.14285714285714285,0.42857142857142855,0.5819752216339111,0.03359385009609225,0.5167969250480462,0.14285714285714285,0.7529167665375603
dem_near,481.14178466796875,485.7261657714844,-0.13095238095238096,0.43452380952380953,0.6153408288955688,-0.3354003843689942,0.3322998078155029,0.13095238095238096,0.7529167665375603
dem_context,480.94403076171875,485.2590026855469,-0.13095238095238096,0.43452380952380953,0.6153408288955688,-0.3447277386290839,0.32763613068545805,0.13095238095238096,0.7529167665375603
relief10_road,1.2157745361328125,1.2578125,-0.13095238095238096,0.43452380952380953,0.6153408288955688,0.1119026265214606,0.5559513132607303,0.13095238095238096,0.7529167665375603
slope_near,3.5313901901245117,3.90285587310791,-0.13095238095238096,0.43452380952380953,0.6153408288955688,-0.004023062139654068,0.49798846893017296,0.13095238095238096,0.7529167665375603
lrm5_context,-0.00136566162109375,-0.00153350830078125,0.125,0.5625,0.6255000829696655,-0.0022549647661755283,0.4988725176169122,0.125,0.7529167665375603
dist_drain_m,427.46881055279096,353.72746079264766,0.09523809523809523,0.5476190476190477,0.7199015876677047,,,0.09523809523809523,0.781531455565472
dsm_road,495.1289978027344,492.90301513671875,0.09523809523809523,0.5476190476190477,0.7199015617370605,-0.23344010249839847,0.3832799487508008,0.09523809523809523,0.781531455565472
inten_near,20752.0,20272.0,0.08928571428571429,0.5446428571428571,0.7326465845108032,0.1407303010890455,0.5703651505445227,0.08928571428571429,0.781531455565472
lrm25_context,-0.00363922119140625,0.001373291015625,-0.08333333333333333,0.4583333333333333,0.7560154795646667,-0.027315823190262652,0.48634208840486864,0.08333333333333333,0.781531455565472
inten_road,20680.0,22304.0,-0.07142857142857142,0.4642857142857143,0.7926600575447083,0.024684684684684686,0.5123423423423423,0.07142857142857142,0.781531455565472
inten_contrast,1080.0,544.0,-0.05952380952380952,0.47023809523809523,0.8297366499900818,-0.06607464607464607,0.46696267696267696,0.05952380952380952,0.781531455565472
tpi15_context,0.0022430419921875,0.0049591064453125,0.047619047619047616,0.5238095238095238,0.8671929836273193,0.003382447149263293,0.5016912235746316,0.047619047619047616,0.781531455565472
gdens_contrast,0.0,0.0,-0.047619047619047616,0.47619047619047616,0.5891544818878174,-0.01577863577863578,0.49211068211068215,0.047619047619047616,0.781531455565472
gdens_road,1.0,1.0,-0.047619047619047616,0.47619047619047616,0.5891544818878174,0.10918918918918918,0.5545945945945946,0.047619047619047616,0.781531455565472
canopy_cover_road,0.28846153846153844,0.19230769230769232,0.041666666666666664,0.5208333333333334,0.8824473572157783,-0.057757847533632285,0.47112107623318383,0.041666666666666664,0.9251464228875095
rough_near,0.12909944355487823,0.12909944355487823,0.0,0.5,1.0,0.028443305573350418,0.5142216527866752,0.0,1.0
gdens_near,1.0,1.0,0.0,0.5,1.0,0.08117873158231903,0.5405893657911596,0.0,1.0
gdens_context,1.0,1.0,0.0,0.5,1.0,0.11428571428571428,0.5571428571428572,0.0,1.0
