OBJECTID,Well_ident,State,County,Well_name,Well_numbe,Type,Status,Latitude,Longitude,Prime_meri,Township,T_dir,Range,R_dir,Section,Qtr,Qtr_qtr,Qtr_qtr_qt,Source,Data file date,Well_info,Location_n,Other_note,x,y
99737,API:37121223230000,Pennsylvania,Venango,WOIDECK 69Q, , ,Orphan,41.50701,-79.518571, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.518570999552,41.5070100003113
99738,API:37121223240000,Pennsylvania,Venango,WOIDECK 70Q, , ,Orphan,41.508657,-79.517294, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5172940000181,41.5086569998207
99739,API:37121223250000,Pennsylvania,Venango,WOIDECK 71Q, , ,Orphan,41.509892,-79.515652, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5156519998399,41.5098920001158
99740,API:37121223260000,Pennsylvania,Venango,WOIDECK 72Q, , ,Orphan,41.511127,-79.514557, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5145569997057,41.5111270004108
99741,API:37121223270000,Pennsylvania,Venango,WOIDECK 73Q, , ,Orphan,41.511951,-79.512549, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5125489997365,41.5119509997389
99742,API:37121223280000,Pennsylvania,Venango,WOIDECK 74Q, , ,Orphan,41.508382,-79.520762, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5207619998664,41.5083819997296
99743,API:37121223290000,Pennsylvania,Venango,WOIDECK 75Q, , ,Orphan,41.509754,-79.518937, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5189370002423,41.5097540000471
99744,API:37121223300000,Pennsylvania,Venango,WOIDECK 76Q, , ,Orphan,41.51099,-79.517112, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.517111999719,41.5109900003882
99745,API:37121223310000,Pennsylvania,Venango,WOIDECK 77Q, , ,Orphan,41.512637,-79.515835, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5158350001851,41.5126369998977
99746,API:37121223320000,Pennsylvania,Venango,WOIDECK 78Q, , ,Orphan,41.51346,-79.514192, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5141919999608,41.513460000079
99747,API:37121223330000,Pennsylvania,Venango,WOIDECK 79Q, , ,Orphan,41.513927,-79.512549, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5125489997365,41.5139270000311
99748,API:37121223340000,Pennsylvania,Venango,WOIDECK 80Q, , ,Orphan,41.51593,-79.512915, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5129150004269,41.5159299997698
99749,API:37121223360000,Pennsylvania,Venango,WOIDECK 82Q, , ,Orphan,41.508793,-79.522223, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5222229997916,41.5087929997972
99750,API:37121223380000,Pennsylvania,Venango,WOIDECK 84Q, , ,Orphan,41.513322,-79.517478, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5174780004094,41.5133220000104
