model,tau,rank,score,recall,precision,fp_per_km2
pit,0.3,140,0.6254545744577068,0.2544731610337972,0.9142857142857143,0.7420289855072464
pit,0.3,141,0.6253279541783473,0.25646123260437376,0.9148936170212766,0.7420289855072464
pit,0.3,142,0.6245599066375926,0.2584493041749503,0.9154929577464789,0.7420289855072464
pit,0.3,143,0.6245096717437688,0.26043737574552683,0.916083916083916,0.7420289855072464
pit,0.3,144,0.6242479248081937,0.26043737574552683,0.9097222222222222,0.8038647342995169
pit,0.3,145,0.6235400092427748,0.26043737574552683,0.903448275862069,0.8657004830917875
pit,0.3,146,0.6231740497204722,0.2624254473161034,0.9041095890410958,0.8657004830917875
pit,0.3,147,0.623172836120312,0.2644135188866799,0.9047619047619048,0.8657004830917875
pit,0.3,148,0.6221005108069491,0.2644135188866799,0.8986486486486487,0.927536231884058
pit,0.3,149,0.6220211717274671,0.2644135188866799,0.8926174496644296,0.9893719806763285
pit,0.3,150,0.6218354412738014,0.2664015904572565,0.8933333333333333,0.9893719806763285
pit,0.3,151,0.6215000064319866,0.268389662027833,0.8940397350993378,0.9893719806763285
pit,0.3,152,0.6214875299679605,0.27037773359840955,0.8947368421052632,0.9893719806763285
pit,0.3,153,0.6211840742164187,0.27236580516898606,0.8954248366013072,0.9893719806763285
pit,0.3,154,0.621135766907926,0.27435387673956263,0.8961038961038961,0.9893719806763285
pit,0.3,155,0.6208489367721277,0.27634194831013914,0.896774193548387,0.9893719806763285
pit,0.3,156,0.6205364959804636,0.2783300198807157,0.8974358974358975,0.9893719806763285
pit,0.3,157,0.6204927794169635,0.2803180914512923,0.8980891719745223,0.9893719806763285
pit,0.3,158,0.6203320482442546,0.2823061630218688,0.8987341772151899,0.9893719806763285
pit,0.3,159,0.6202583451962842,0.28429423459244535,0.89937106918239,0.9893719806763285
pit,0.3,160,0.6198988282594128,0.28628230616302186,0.9,0.9893719806763285
pit,0.3,161,0.6195863702771615,0.2882703777335984,0.9006211180124224,0.9893719806763285
pit,0.3,162,0.6195235785590597,0.29025844930417494,0.9012345679012346,0.9893719806763285
pit,0.3,163,0.619349495666783,0.2922465208747515,0.901840490797546,0.9893719806763285
pit,0.3,164,0.6188291339203715,0.294234592445328,0.9024390243902439,0.9893719806763285
pit,0.3,165,0.6186956931905049,0.294234592445328,0.896969696969697,1.051207729468599
pit,0.3,166,0.6185111914966124,0.2962226640159046,0.8975903614457831,1.051207729468599
pit,0.3,167,0.6183725791412163,0.2982107355864811,0.8982035928143712,1.051207729468599
pit,0.3,168,0.6181802834513821,0.30019880715705766,0.8988095238095238,1.051207729468599
pit,0.3,169,0.6181259581394363,0.30019880715705766,0.893491124260355,1.1130434782608696
pit,0.3,170,0.6179815126316888,0.30218687872763417,0.8941176470588236,1.1130434782608696
pit,0.3,171,0.6177178950963822,0.30417495029821073,0.8947368421052632,1.1130434782608696
