model,tau,thr,recall,precision,fp_per_km2,n_pred,tp,n_gt
pit_smrf,0.3,0.35,0.9363817097415507,0.6347708894878706,16.757487922705312,742,471,503
pit_smrf,0.3,0.375,0.9304174950298211,0.65,15.582608695652175,720,468,503
pit_smrf,0.3,0.4,0.9224652087475149,0.6628571428571428,14.593236714975845,700,464,503
pit_smrf,0.3,0.425,0.9125248508946322,0.6779911373707533,13.480193236714976,677,459,503
pit_smrf,0.3,0.45,0.904572564612326,0.6831831831831832,13.047342995169082,666,455,503
pit_smrf,0.3,0.475,0.8886679920477137,0.6908809891808346,12.367149758454106,647,447,503
pit_smrf,0.3,0.5,0.8687872763419483,0.6992,11.62512077294686,625,437,503
pit_smrf,0.3,0.525,0.8489065606361829,0.7023026315789473,11.192270531400967,608,427,503
pit_smrf,0.3,0.55,0.8290258449304175,0.7177280550774526,10.141062801932367,581,417,503
pit_smrf,0.3,0.575,0.8011928429423459,0.7261261261261261,9.39903381642512,555,403,503
pit_smrf,0.3,0.6,0.7614314115308151,0.7172284644194756,9.33719806763285,534,383,503
pit_smrf,0.3,0.625,0.709741550695825,0.6918604651162791,9.831884057971015,516,357,503
pit_smrf,0.3,0.65,0.6540755467196819,0.6854166666666667,9.33719806763285,480,329,503
pit_smrf,0.3,0.675,0.610337972166998,0.6883408071748879,8.595169082125604,446,307,503
pit_smrf,0.3,0.7,0.5526838966202783,0.6619047619047619,8.780676328502416,420,278,503
pit_smrf,0.3,0.725,0.49105367793240556,0.6465968586387435,8.347826086956522,382,247,503
pit_smrf,0.3,0.75,0.4254473161033797,0.6350148367952523,7.605797101449276,337,214,503
pit_smrf,0.3,0.775,0.35785288270377735,0.6293706293706294,6.5545893719806765,286,180,503
pit_smrf,0.3,0.8,0.27037773359840955,0.5991189427312775,5.627053140096618,227,136,503
pit_smrf,0.3,0.825,0.2047713717693837,0.533678756476684,5.565217391304348,193,103,503
pit_smrf,0.3,0.85,0.14910536779324055,0.5,4.63768115942029,150,75,503
pit_smrf,0.3,0.875,0.07157057654075547,0.33962264150943394,4.328502415458937,106,36,503
pit_smrf,0.3,0.9,0.02385685884691849,0.2222222222222222,2.597101449275362,54,12,503
pit_smrf,0.3,0.925,0.003976143141153081,0.10526315789473684,1.051207729468599,19,2,503
pit_smrf,0.3,0.95,0.0,0.0,0.1855072463768116,3,0,503
pit_smrf,0.5,0.05,0.11332007952286283,0.0060056896006743235,583.3584541062802,9491,57,503
pit_smrf,0.5,0.075,0.15308151093439365,0.027888446215139442,165.9671497584541,2761,77,503
pit_smrf,0.5,0.1,0.17296222664015903,0.047592997811816196,107.656038647343,1828,87,503
pit_smrf,0.5,0.125,0.21272365805168986,0.07333790267306374,83.60193236714976,1459,107,503
pit_smrf,0.5,0.15,0.2664015904572565,0.10974610974610975,67.21545893719806,1221,134,503
pit_smrf,0.5,0.175,0.3101391650099404,0.14207650273224043,58.24927536231884,1098,156,503
pit_smrf,0.5,0.2,0.35984095427435386,0.18282828282828284,50.02512077294686,990,181,503
pit_smrf,0.5,0.225,0.43141153081510936,0.241917502787068,42.04830917874396,897,217,503
pit_smrf,0.5,0.25,0.4850894632206759,0.28773584905660377,37.3487922705314,848,244,503
pit_smrf,0.5,0.275,0.5606361829025845,0.352059925093633,32.09275362318841,801,282,503
pit_smrf,0.5,0.3,0.6322067594433399,0.4061302681992337,28.753623188405797,783,318,503
pit_smrf,0.5,0.325,0.7077534791252486,0.465359477124183,25.290821256038647,765,356,503
pit_smrf,0.5,0.35,0.7455268389662028,0.5053908355795148,22.693719806763283,742,375,503
pit_smrf,0.5,0.375,0.7972166998011928,0.5569444444444445,19.7256038647343,720,401,503
pit_smrf,0.5,0.4,0.8131212723658051,0.5842857142857143,17.994202898550725,700,409,503
pit_smrf,0.5,0.425,0.8190854870775348,0.6085672082717873,16.386473429951693,677,412,503
