model,fold,block_id,thr,tau,n_gt,tp_gt,n_pred,tp_pred,split
pad,0,87,0.15,0.5,5,0,11,0,heldout
pad,0,89,0.15,0.5,5,0,10,0,heldout
pad,0,90,0.15,0.5,6,0,6,0,heldout
pad,0,94,0.15,0.5,3,0,6,0,heldout
pad,0,95,0.15,0.5,9,0,8,0,heldout
pad,0,105,0.15,0.5,8,0,6,0,heldout
pad,0,115,0.15,0.5,3,0,9,0,heldout
pad,0,118,0.15,0.5,6,0,6,0,heldout
pad,0,126,0.15,0.5,2,0,2,0,heldout
pad,0,127,0.15,0.5,3,0,6,0,heldout
pad,0,130,0.15,0.5,4,0,12,0,heldout
pad,0,131,0.15,0.5,4,0,3,0,heldout
pad,0,132,0.15,0.5,6,0,14,0,heldout
pad,0,135,0.15,0.5,6,1,12,1,heldout
pad,0,136,0.15,0.5,6,0,3,0,heldout
pad,0,138,0.15,0.5,8,0,6,0,heldout
pad,0,-1,0.175,0.3,96,23,203,23,val
pad,0,-1,0.175,0.5,96,4,203,4,val
pad,0,6,0.175,0.3,1,0,15,0,heldout
pad,0,12,0.175,0.3,6,1,5,1,heldout
pad,0,22,0.175,0.3,2,0,10,0,heldout
pad,0,24,0.175,0.3,5,1,4,1,heldout
pad,0,48,0.175,0.3,9,3,12,3,heldout
pad,0,73,0.175,0.3,10,0,4,0,heldout
pad,0,83,0.175,0.3,6,2,9,2,heldout
pad,0,84,0.175,0.3,7,1,6,1,heldout
pad,0,87,0.175,0.3,5,1,7,1,heldout
pad,0,89,0.175,0.3,5,1,12,1,heldout
pad,0,90,0.175,0.3,6,0,7,0,heldout
pad,0,94,0.175,0.3,3,0,7,0,heldout
pad,0,95,0.175,0.3,9,2,9,2,heldout
pad,0,105,0.175,0.3,8,1,7,1,heldout
pad,0,115,0.175,0.3,3,1,14,1,heldout
pad,0,118,0.175,0.3,6,1,6,1,heldout
pad,0,126,0.175,0.3,2,1,5,1,heldout
pad,0,127,0.175,0.3,3,0,8,0,heldout
pad,0,130,0.175,0.3,4,1,12,1,heldout
pad,0,131,0.175,0.3,4,0,4,0,heldout
pad,0,132,0.175,0.3,6,3,12,3,heldout
pad,0,135,0.175,0.3,6,2,15,2,heldout
pad,0,136,0.175,0.3,6,0,6,0,heldout
pad,0,138,0.175,0.3,8,3,7,3,heldout
pad,0,6,0.175,0.5,1,0,15,0,heldout
pad,0,12,0.175,0.5,6,0,5,0,heldout
pad,0,22,0.175,0.5,2,0,10,0,heldout
pad,0,24,0.175,0.5,5,0,4,0,heldout
pad,0,48,0.175,0.5,9,1,12,1,heldout
pad,0,73,0.175,0.5,10,0,4,0,heldout
pad,0,83,0.175,0.5,6,0,9,0,heldout
pad,0,84,0.175,0.5,7,0,6,0,heldout
pad,0,87,0.175,0.5,5,0,7,0,heldout
pad,0,89,0.175,0.5,5,0,12,0,heldout
pad,0,90,0.175,0.5,6,0,7,0,heldout
pad,0,94,0.175,0.5,3,0,7,0,heldout
pad,0,95,0.175,0.5,9,0,9,0,heldout
pad,0,105,0.175,0.5,8,0,7,0,heldout
pad,0,115,0.175,0.5,3,0,14,0,heldout
pad,0,118,0.175,0.5,6,0,6,0,heldout
pad,0,126,0.175,0.5,2,0,5,0,heldout
pad,0,127,0.175,0.5,3,0,8,0,heldout
pad,0,130,0.175,0.5,4,0,12,0,heldout
pad,0,131,0.175,0.5,4,0,4,0,heldout
pad,0,132,0.175,0.5,6,0,12,0,heldout
pad,0,135,0.175,0.5,6,1,15,1,heldout
pad,0,136,0.175,0.5,6,0,6,0,heldout
