model,fold,block_id,thr,tau,n_gt,tp_gt,n_pred,tp_pred,split
pit,0,18,0.175,0.3,2,1,6,1,heldout
pit,0,27,0.175,0.3,6,6,12,6,heldout
pit,0,36,0.175,0.3,3,2,10,2,heldout
pit,0,37,0.175,0.3,2,1,8,1,heldout
pit,0,41,0.175,0.3,5,2,17,2,heldout
pit,0,44,0.175,0.3,1,1,17,1,heldout
pit,0,60,0.175,0.3,5,3,13,3,heldout
pit,0,61,0.175,0.3,8,2,14,2,heldout
pit,0,71,0.175,0.3,6,6,7,6,heldout
pit,0,72,0.175,0.3,6,4,15,4,heldout
pit,0,82,0.175,0.3,2,2,15,2,heldout
pit,0,86,0.175,0.3,1,1,3,1,heldout
pit,0,88,0.175,0.3,4,4,11,4,heldout
pit,0,94,0.175,0.3,2,1,13,1,heldout
pit,0,95,0.175,0.3,8,6,13,6,heldout
pit,0,107,0.175,0.3,6,3,10,3,heldout
pit,0,108,0.175,0.3,7,2,12,2,heldout
pit,0,111,0.175,0.3,3,3,11,3,heldout
pit,0,114,0.175,0.3,2,2,6,2,heldout
pit,0,125,0.175,0.3,1,0,4,0,heldout
pit,0,126,0.175,0.3,2,2,3,2,heldout
pit,0,133,0.175,0.3,8,4,17,4,heldout
pit,0,134,0.175,0.3,5,5,10,5,heldout
pit,0,2,0.175,0.5,5,2,8,2,heldout
pit,0,14,0.175,0.5,3,1,18,1,heldout
pit,0,18,0.175,0.5,2,1,6,1,heldout
pit,0,27,0.175,0.5,6,5,12,5,heldout
pit,0,36,0.175,0.5,3,0,10,0,heldout
pit,0,37,0.175,0.5,2,0,8,0,heldout
pit,0,41,0.175,0.5,5,0,17,0,heldout
pit,0,44,0.175,0.5,1,0,17,0,heldout
pit,0,60,0.175,0.5,5,1,13,1,heldout
pit,0,61,0.175,0.5,8,0,14,0,heldout
pit,0,71,0.175,0.5,6,3,7,3,heldout
pit,0,72,0.175,0.5,6,0,15,0,heldout
pit,0,82,0.175,0.5,2,0,15,0,heldout
pit,0,86,0.175,0.5,1,1,3,1,heldout
pit,0,88,0.175,0.5,4,2,11,2,heldout
pit,0,94,0.175,0.5,2,1,13,1,heldout
pit,0,95,0.175,0.5,8,2,13,2,heldout
pit,0,107,0.175,0.5,6,0,10,0,heldout
pit,0,108,0.175,0.5,7,0,12,0,heldout
pit,0,111,0.175,0.5,3,2,11,2,heldout
pit,0,114,0.175,0.5,2,0,6,0,heldout
pit,0,125,0.175,0.5,1,0,4,0,heldout
pit,0,126,0.175,0.5,2,1,3,1,heldout
pit,0,133,0.175,0.5,8,1,17,1,heldout
pit,0,134,0.175,0.5,5,2,10,2,heldout
pit,0,-1,0.2,0.3,85,63,164,63,val
pit,0,-1,0.2,0.5,85,24,164,24,val
pit,0,2,0.2,0.3,5,5,8,5,heldout
pit,0,14,0.2,0.3,3,3,16,3,heldout
pit,0,18,0.2,0.3,2,1,3,1,heldout
pit,0,27,0.2,0.3,6,5,12,5,heldout
pit,0,36,0.2,0.3,3,2,9,2,heldout
pit,0,37,0.2,0.3,2,2,6,2,heldout
pit,0,41,0.2,0.3,5,2,16,2,heldout
pit,0,44,0.2,0.3,1,1,15,1,heldout
pit,0,60,0.2,0.3,5,3,13,3,heldout
pit,0,61,0.2,0.3,8,6,13,6,heldout
pit,0,71,0.2,0.3,6,6,6,6,heldout
pit,0,72,0.2,0.3,6,4,14,4,heldout
pit,0,82,0.2,0.3,2,2,12,2,heldout
pit,0,86,0.2,0.3,1,1,3,1,heldout
pit,0,88,0.2,0.3,4,4,10,4,heldout
pit,0,94,0.2,0.3,2,1,12,1,heldout
pit,0,95,0.2,0.3,8,6,12,6,heldout
pit,0,107,0.2,0.3,6,3,10,3,heldout
pit,0,108,0.2,0.3,7,2,12,2,heldout
pit,0,111,0.2,0.3,3,3,11,3,heldout
pit,0,114,0.2,0.3,2,2,4,2,heldout
pit,0,125,0.2,0.3,1,0,3,0,heldout
pit,0,126,0.2,0.3,2,2,3,2,heldout
pit,0,133,0.2,0.3,8,4,16,4,heldout
pit,0,134,0.2,0.3,5,5,9,5,heldout
pit,0,2,0.2,0.5,5,3,8,3,heldout
pit,0,14,0.2,0.5,3,1,16,1,heldout
pit,0,18,0.2,0.5,2,1,3,1,heldout
pit,0,27,0.2,0.5,6,5,12,5,heldout
pit,0,36,0.2,0.5,3,1,9,1,heldout
pit,0,37,0.2,0.5,2,0,6,0,heldout
pit,0,41,0.2,0.5,5,0,16,0,heldout
pit,0,44,0.2,0.5,1,0,15,0,heldout
pit,0,60,0.2,0.5,5,1,13,1,heldout
pit,0,61,0.2,0.5,8,0,13,0,heldout
pit,0,71,0.2,0.5,6,3,6,3,heldout
pit,0,72,0.2,0.5,6,0,14,0,heldout
pit,0,82,0.2,0.5,2,0,12,0,heldout
pit,0,86,0.2,0.5,1,1,3,1,heldout
pit,0,88,0.2,0.5,4,2,10,2,heldout
pit,0,94,0.2,0.5,2,1,12,1,heldout
pit,0,95,0.2,0.5,8,2,12,2,heldout
pit,0,107,0.2,0.5,6,0,10,0,heldout
pit,0,108,0.2,0.5,7,0,12,0,heldout
pit,0,111,0.2,0.5,3,2,11,2,heldout
pit,0,114,0.2,0.5,2,1,4,1,heldout
pit,0,125,0.2,0.5,1,0,3,0,heldout
pit,0,126,0.2,0.5,2,1,3,1,heldout
pit,0,133,0.2,0.5,8,1,16,1,heldout
pit,0,134,0.2,0.5,5,2,9,2,heldout
pit,0,-1,0.225,0.3,85,69,154,69,val
pit,0,-1,0.225,0.5,85,28,154,28,val
pit,0,2,0.225,0.3,5,5,8,5,heldout
pit,0,14,0.225,0.3,3,3,14,3,heldout
pit,0,18,0.225,0.3,2,1,3,1,heldout
pit,0,27,0.225,0.3,6,5,10,5,heldout
pit,0,36,0.225,0.3,3,3,9,3,heldout
pit,0,37,0.225,0.3,2,2,5,2,heldout
pit,0,41,0.225,0.3,5,3,14,3,heldout
pit,0,44,0.225,0.3,1,1,13,1,heldout
pit,0,60,0.225,0.3,5,3,14,3,heldout
pit,0,61,0.225,0.3,8,6,10,6,heldout
pit,0,71,0.225,0.3,6,6,6,6,heldout
pit,0,72,0.225,0.3,6,5,13,5,heldout
pit,0,82,0.225,0.3,2,2,13,2,heldout
pit,0,86,0.225,0.3,1,1,3,1,heldout
pit,0,88,0.225,0.3,4,4,10,4,heldout
pit,0,94,0.225,0.3,2,1,11,1,heldout
pit,0,95,0.225,0.3,8,6,11,6,heldout
pit,0,107,0.225,0.3,6,4,10,4,heldout
pit,0,108,0.225,0.3,7,2,11,2,heldout
pit,0,111,0.225,0.3,3,3,10,3,heldout
pit,0,114,0.225,0.3,2,2,4,2,heldout
pit,0,125,0.225,0.3,1,0,3,0,heldout
pit,0,126,0.225,0.3,2,2,3,2,heldout
pit,0,133,0.225,0.3,8,5,13,5,heldout
pit,0,134,0.225,0.3,5,5,6,5,heldout
pit,0,2,0.225,0.5,5,3,8,3,heldout
pit,0,14,0.225,0.5,3,1,14,1,heldout
pit,0,18,0.225,0.5,2,1,3,1,heldout
pit,0,27,0.225,0.5,6,4,10,4,heldout
pit,0,36,0.225,0.5,3,1,9,1,heldout
pit,0,37,0.225,0.5,2,1,5,1,heldout
pit,0,41,0.225,0.5,5,0,14,0,heldout
pit,0,44,0.225,0.5,1,0,13,0,heldout
pit,0,60,0.225,0.5,5,1,14,1,heldout
pit,0,61,0.225,0.5,8,0,10,0,heldout
pit,0,71,0.225,0.5,6,4,6,4,heldout
pit,0,72,0.225,0.5,6,0,13,0,heldout
pit,0,82,0.225,0.5,2,1,13,1,heldout
pit,0,86,0.225,0.5,1,1,3,1,heldout
pit,0,88,0.225,0.5,4,2,10,2,heldout
pit,0,94,0.225,0.5,2,1,11,1,heldout
pit,0,95,0.225,0.5,8,2,11,2,heldout
pit,0,107,0.225,0.5,6,1,10,1,heldout
pit,0,108,0.225,0.5,7,1,11,1,heldout
pit,0,111,0.225,0.5,3,2,10,2,heldout
pit,0,114,0.225,0.5,2,1,4,1,heldout
pit,0,125,0.225,0.5,1,0,3,0,heldout
pit,0,126,0.225,0.5,2,1,3,1,heldout
pit,0,133,0.225,0.5,8,1,13,1,heldout
pit,0,134,0.225,0.5,5,3,6,3,heldout
pit,0,-1,0.25,0.3,85,73,148,73,val
pit,0,-1,0.25,0.5,85,34,148,34,val
pit,0,2,0.25,0.3,5,4,8,4,heldout
