task,family,setting,recall,recall_lo,recall_hi,precision,precision_lo,precision_hi,candidates,tp,fp,n_gt,candidates_per_km2,fp_per_km2,recall_fold_min,recall_fold_max,recall_per_fold,block_mean_recall,rule_per_fold,infeasible_folds,regret_per_feature,regret_relative,target_met_pooled,target_met_block_mean,folds_meeting_target
pit,fbeta,0.5,0.7594433399602386,0.7169801574925931,0.8028206314156123,0.8076109936575053,0.7626989458453907,0.8473903862874177,473,382.0,91.0,503.0,29.248309178743963,5.627053140096618,0.65,0.8811881188118812,"[0.7184, 0.65, 0.7374, 0.81, 0.8812]",0.719968944099379,"[0.6243, 0.5932, 0.6138, 0.6252, 0.5342]",0.0,,,,,
pit,fbeta,1,0.856858846918489,0.8238957565242536,0.8868275536926331,0.7641843971631206,0.7150608644048171,0.8088271127164316,564,431.0,133.0,503.0,34.87536231884058,8.224154589371981,0.78,0.9108910891089109,"[0.8447, 0.78, 0.8687, 0.88, 0.9109]",0.8211456176673568,"[0.4775, 0.4764, 0.351, 0.4587, 0.4659]",0.0,,,,,
pit,fbeta,2,0.9264413518886679,0.9032258064516129,0.9489839156001384,0.6873156342182891,0.6375175485082606,0.7348188666324259,678,466.0,212.0,503.0,41.92463768115942,13.109178743961353,0.883495145631068,0.9504950495049505,"[0.8835, 0.95, 0.9091, 0.94, 0.9505]",0.9156211180124224,"[0.1983, 0.1625, 0.231, 0.1502, 0.1632]",0.0,,,,,
pit,fbeta,3,0.9343936381709742,0.91284972755561,0.955465774826677,0.651872399445215,0.6010878289633701,0.6998572474377744,721,470.0,251.0,503.0,44.58357487922705,15.520772946859903,0.883495145631068,0.96,"[0.8835, 0.96, 0.9394, 0.94, 0.9505]",0.9278191856452725,"[0.1597, 0.1117, 0.0805, 0.1303, 0.0751]",0.0,,,,,
pit,fbeta,4,0.9403578528827038,0.9216051812694486,0.9591846641569248,0.6315086782376502,0.5822429819731878,0.6800545667177109,749,473.0,276.0,503.0,46.31497584541063,17.066666666666666,0.912621359223301,0.96,"[0.9126, 0.96, 0.9394, 0.94, 0.9505]",0.9365148378191857,"[0.0697, 0.0576, 0.0805, 0.093, 0.0751]",0.0,,,,,
pit,reference,F1 pixel cutoff,0.8608349900596421,,,0.6862123613312203,,,631,,,,39.01835748792271,12.243478260869566,0.81,0.9108910891089108,,,"[0.55, 0.6, 0.45, 0.6, 0.5]",,,,,,
pit,reference,F2 pixel cutoff,0.9284294234592445,,,0.6327913279132791,,,738,,,,45.63478260869565,16.757487922705312,0.898989898989899,0.9504950495049505,,,"[0.35, 0.45, 0.45, 0.4, 0.4]",,,,,,
pit,reference,deployed pixel cutoff 0.60 (no area floor),0.8091451292246521,,,0.6945392491467577,,,586,,,,36.235748792270535,11.068599033816426,0.7575757575757576,0.8349514563106796,,,"[0.6, 0.6, 0.6, 0.6, 0.6]",,,,,,
pad,cost,0.5,0.563076923076923,0.5152403883438675,0.6074199520173476,0.7922077922077922,0.7438188234095137,0.8375084459459459,462,366.0,96.0,650.0,25.467700258397933,5.291989664082688,0.4186046511627907,0.6538461538461539,"[0.6231, 0.4186, 0.5504, 0.5682, 0.6538]",0.5569521348591115,"[0.6667, 0.6667, 0.6667, 0.6667, 0.6667]",0.0,0.03076923076923077,0.09174311926605505,,,
pad,cost,1,0.7430769230769231,0.7012123888762252,0.7817074604663372,0.75,0.7072776784076317,0.7916208562385474,644,483.0,161.0,650.0,35.50043066322136,8.87510766580534,0.6666666666666666,0.8153846153846154,"[0.7692, 0.6667, 0.7209, 0.7424, 0.8154]",0.7452380952380951,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.0,0.03538461538461538,0.07540983606557378,,,
pad,cost,2,0.8415384615384616,0.8078094951923077,0.8729136802161199,0.7021822849807445,0.6599489852783359,0.7435929648241206,779,547.0,232.0,650.0,42.94229112833764,12.788975021533162,0.813953488372093,0.8846153846153846,"[0.8846, 0.814, 0.814, 0.8182, 0.8769]",0.8424510889627168,"[0.3333, 0.3333, 0.3333, 0.3333, 0.3333]",0.0,0.04,0.06310679611650485,,,
pad,cost,4,0.8876923076923077,0.8564543383891794,0.9161587647874981,0.6527149321266968,0.6093997821350762,0.6968051712985862,884,577.0,307.0,650.0,48.73040482342808,16.92334194659776,0.8636363636363636,0.9230769230769231,"[0.9231, 0.8915, 0.876, 0.8636, 0.8846]",0.8819336778639104,"[0.2, 0.2, 0.2, 0.2, 0.2]",0.0,0.05076923076923077,0.05830388692579505,,,
pad,cost,8,0.9,0.8726170904594814,0.9253127519653295,0.5873493975903614,0.545804768331084,0.6275617645593692,996,585.0,411.0,650.0,54.90439276485788,22.656330749354005,0.8787878787878788,0.9307692307692308,"[0.9308, 0.907, 0.8915, 0.8788, 0.8923]",0.8910729666543621,"[0.1111, 0.1111, 0.1111, 0.1111, 0.1111]",0.0,0.11076923076923077,0.08381839348079162,,,
pad,cost,16,0.9,0.8726170904594814,0.9253127519653295,0.574656188605108,0.532803180914513,0.6145212926941532,1018,585.0,433.0,650.0,56.11714039621016,23.869078380706288,0.8787878787878788,0.9307692307692308,"[0.9308, 0.907, 0.8915, 0.8788, 0.8923]",0.8910729666543621,"[0.0588, 0.0588, 0.0588, 0.0588, 0.0588]",0.0,0.11384615384615385,0.05289492494639028,,,
pad,cost,32,0.9,0.8726170904594814,0.9253127519653295,0.574656188605108,0.532803180914513,0.6145212926941532,1018,585.0,433.0,650.0,56.11714039621016,23.869078380706288,0.8787878787878788,0.9307692307692308,"[0.9308, 0.907, 0.8915, 0.8788, 0.8923]",0.8910729666543621,"[0.0303, 0.0303, 0.0303, 0.0303, 0.0303]",0.0,0.1123076923076923,0.029918032786885245,,,
pad,cost,64,0.9,0.8726170904594814,0.9253127519653295,0.574656188605108,0.532803180914513,0.6145212926941532,1018,585.0,433.0,650.0,56.11714039621016,23.869078380706288,0.8787878787878788,0.9307692307692308,"[0.9308, 0.907, 0.8915, 0.8788, 0.8923]",0.8910729666543621,"[0.0154, 0.0154, 0.0154, 0.0154, 0.0154]",0.0,0.1123076923076923,0.016150442477876108,,,
pad,cost,128,0.9,0.8726170904594814,0.9253127519653295,0.574656188605108,0.532803180914513,0.6145212926941532,1018,585.0,433.0,650.0,56.11714039621016,23.869078380706288,0.8787878787878788,0.9307692307692308,"[0.9308, 0.907, 0.8915, 0.8788, 0.8923]",0.8910729666543621,"[0.0078, 0.0078, 0.0078, 0.0078, 0.0078]",0.0,0.1123076923076923,0.008410138248847926,,,
pad,budget,2,0.047692307692307694,0.030253694652375547,0.06686999420142786,0.9117647058823529,0.7931034482758621,1.0,34,31.0,3.0,650.0,1.8742463393626185,0.165374677002584,0.038461538461538464,0.05426356589147287,"[0.0385, 0.0543, 0.0543, 0.0455, 0.0462]",0.04830503260735819,"[6, 7, 7, 7, 7]",0.0,,,,,
pad,budget,5,0.1276923076923077,0.10074832660920595,0.15625241873065013,0.9540229885057471,0.9054054054054054,0.9894764254385965,87,83.0,4.0,650.0,4.795865633074936,0.22049956933677864,0.11538461538461539,0.13953488372093023,"[0.1154, 0.1395, 0.1318, 0.1288, 0.1231]",0.12344961240310076,"[16, 18, 18, 18, 17]",0.0,,,,,
pad,budget,10,0.23846153846153847,0.20153144654088048,0.27838648742694416,0.8707865168539326,0.8191489361702128,0.9197914438502673,178,155.0,23.0,650.0,9.81223083548665,1.2678725236864772,0.2230769230769231,0.26356589147286824,"[0.2308, 0.2636, 0.2326, 0.2424, 0.2231]",0.23010028300725974,"[33, 37, 36, 37, 35]",0.0,,,,,
pad,budget,15,0.35384615384615387,0.3101286550432777,0.3967831077531769,0.8582089552238806,0.8095238095238095,0.9041122132997428,268,230.0,38.0,650.0,14.77347114556417,2.094745908699397,0.34615384615384615,0.3643410852713178,"[0.3462, 0.3643, 0.3488, 0.3636, 0.3462]",0.3490248554202043,"[50, 56, 54, 56, 52]",0.0,,,,,
pad,budget,20,0.46,0.4108272969881815,0.5051863477827603,0.8305555555555556,0.7796527317488875,0.8779663539144472,360,299.0,61.0,650.0,19.844961240310077,3.362618432385874,0.4496124031007752,0.4696969696969697,"[0.4615, 0.4574, 0.4496, 0.4697, 0.4615]",0.45138427464008857,"[67, 75, 73, 75, 70]",0.0,,,,,
pad,budget,25,0.5584615384615385,0.5116231570147439,0.600897551942623,0.8066666666666666,0.7567523115220484,0.854554586038961,450,363.0,87.0,650.0,24.8062015503876,4.795865633074936,0.5461538461538461,0.5692307692307692,"[0.5462, 0.5659, 0.5581, 0.553, 0.5692]",0.5512427710102129,"[84, 94, 91, 94, 87]",0.0,,,,,
pad,budget,30,0.6476923076923077,0.6018443152454781,0.6886294078509647,0.7781885397412199,0.7324923463010639,0.8214999561672657,541,421.0,120.0,650.0,29.82256675279931,6.614987080103359,0.627906976744186,0.6744186046511628,"[0.6385, 0.6744, 0.6279, 0.6515, 0.6462]",0.6497631352282514,"[101, 113, 109, 113, 105]",0.0,,,,,
pad,budget,40,0.803076923076923,0.7629171497508852,0.8394550382894836,0.7219917012448133,0.6787598720800889,0.7620358608274137,723,522.0,201.0,650.0,39.855297157622736,11.080103359173126,0.7829457364341085,0.8527131782945736,"[0.8, 0.8527, 0.7829, 0.7879, 0.7923]",0.8080841638981173,"[135, 151, 146, 151, 140]",0.0,,,,,
pad,budget,50,0.8892307692307693,0.857804405172531,0.9174315499156879,0.6400885935769657,0.5937372205561614,0.6864655770036865,903,578.0,325.0,650.0,49.77777777777778,17.915590008613265,0.8636363636363636,0.9230769230769231,"[0.9231, 0.8992, 0.876, 0.8636, 0.8846]",0.8827950043066323,"[168, 189, 182, 189, 175]",0.0,,,,,
pad,recall,0.6,0.6169230769230769,0.5702697391016753,0.6609655481456098,0.7924901185770751,0.7459220232477274,0.8369351669941061,506,401.0,105.0,650.0,27.8931955211025,5.7881136950904395,0.49612403100775193,0.7230769230769231,"[0.7231, 0.4961, 0.5504, 0.5985, 0.7154]",0.6090131659899102,"[0.6224, 0.6294, 0.6646, 0.6547, 0.6308]",0.0,,,True,True,2.0
pad,recall,0.7,0.7,0.6566084889665607,0.7414330218068536,0.7634228187919463,0.7214921319594216,0.8033690540436358,596,455.0,141.0,650.0,32.85443583118002,7.772609819121447,0.5658914728682171,0.7923076923076923,"[0.7692, 0.5659, 0.6434, 0.7273, 0.7923]",0.6968469299864648,"[0.542, 0.5666, 0.5729, 0.5483, 0.55]",0.0,,,True,False,3.0
pad,recall,0.75,0.74,0.6979770325121569,0.7798488372093023,0.7468944099378882,0.7053127383676583,0.7887802103417609,644,481.0,163.0,650.0,35.50043066322136,8.98535745047373,0.6666666666666666,0.8307692307692308,"[0.7846, 0.6667, 0.6744, 0.7424, 0.8308]",0.7498062015503876,"[0.4755, 0.4869, 0.5378, 0.4736, 0.4761]",0.0,,,False,False,2.0
