pad_i,area_m2,perim_m,compactness,elongation,solidity,rectangularity,n_pits,d_road_m,n_wells_50m,slope_mean,slope_std,slope_flatfrac,slope_annulus,edge_slope,slope_ratio,lrm11_relief,tpi15_mean,chm_in,chm_annulus,chm_deficit
191,1645.835065440461,169.0143180550428,0.7240176943554821,0.5934329674092969,0.9208153348359878,0.7234864679050433,0,0.0,1,6.84665263727807,5.728546608883369,0.2869063874981035,4.559559345245361,5.927155494689941,1.501604018909778,0.323333740234375,0.015067525200083446,0.087646484375,0.325531005859375,0.237884521484375
192,1408.4205947774237,165.8834000073286,0.6431856916381891,0.44603951540400194,0.9063822581855251,0.7649365120123542,0,0.0,2,5.980804137682319,5.133445441172994,0.3534421575585522,4.660943984985352,4.391565561294556,1.2831744292462497,0.296600341796875,0.04140182181061203,0.061431884765625,0.0694580078125,0.008026123046875
193,1799.2120269135467,179.3034596843832,0.7032583067889538,0.5729683175855818,0.9287078077820909,0.7115981902595594,0,0.0,2,8.588682083612953,5.211594346785977,0.09887515622830162,6.2468366622924805,6.982074737548828,1.3748850094731078,0.329254150390625,-0.01851574908758332,0.069915771484375,0.057098388671875,-0.0128173828125
194,1990.0914183491534,191.20842247991098,0.6840200848007493,0.6452005430753535,0.9293243904185894,0.7988400101025958,1,0.0,2,8.72830872709122,5.822407201604553,0.12446621451896508,6.708688020706177,7.150265216827393,1.3010455546824566,0.344512939453125,-0.019016805350316347,0.062347412109375,0.06329345703125,0.000946044921875
195,1700.627257555931,174.84384391986458,0.6990662057878294,0.636241259852705,0.9348455811332348,0.7764376466264209,0,0.0,1,8.605203249793165,6.138833601609287,0.15183553597650515,7.3767852783203125,7.335637092590332,1.1665248377342714,0.319769287109375,-0.014037740878246604,0.1125335693359375,0.08734130859375,-0.0251922607421875
196,2222.400423336246,221.482171760005,0.5693176242780439,0.7218620269131262,0.8456998026259291,0.620037105432344,1,0.0,1,7.741210718016919,5.617273567233281,0.1869106421194432,4.903981685638428,5.056515693664551,1.5785562047850767,0.35058441162109377,0.020130131776738606,0.087005615234375,0.040985107421875,-0.0460205078125
197,2698.5623763818585,264.15230342150795,0.4859969244314362,0.5253219852723546,0.8088200640304145,0.6735252680596725,0,0.0,2,7.446442303035846,5.711391029235398,0.24580280122437623,4.312747955322266,4.912821054458618,1.7266119838620198,0.335113525390625,0.005447015460684596,1.3161163330078125,0.102630615234375,-1.2134857177734375
198,1349.7995674753954,169.754035768064,0.5886253104399796,0.46521787381846336,0.8948707342514409,0.7231672179418599,0,0.0,1,6.44234811586219,5.046959635834662,0.2925788497217069,4.9055562019348145,5.067951679229736,1.3132757735649314,0.28702545166015625,0.022329751547280844,4.805877685546875,9.626480102539062,4.8206024169921875
199,1596.434177123741,176.02545483077995,0.6474555089508516,0.6953939536143693,0.9015804270979717,0.6905486653002598,0,0.0,0,7.956055692940536,6.538995838164951,0.22573081131780523,5.368852853775024,5.057228326797485,1.481891180412285,0.3772033691406247,-0.01744542577331171,6.7219696044921875,14.925262451171875,8.203292846679688
200,2128.2098157393903,211.7823443318387,0.5962725313877033,0.44284374839637103,0.8978065466885629,0.7591376942213702,0,0.0,2,7.211754924805898,6.04975650292855,0.22920582706766918,5.845309495925903,5.394988059997559,1.2337678492186577,0.3193145751953125,-0.0006603190773411802,0.1719970703125,0.067138671875,-0.1048583984375
201,2610.850087784244,217.91284807544093,0.6909173936984351,0.5962612169105052,0.9169696729019393,0.7787844780341461,0,0.0,0,8.267493526754597,6.0945332678366375,0.17987746505839555,5.41748571395874,5.757625102996826,1.5260757412709927,0.34142303466796875,0.006195789960159691,0.06280517578125,0.04150390625,-0.02130126953125
202,1632.1399734187394,192.80083375981468,0.5517590307824594,0.39577552905983077,0.8832360504574619,0.75279602186239,0,0.0,2,7.243354590861641,6.0614980903059825,0.2855828220858896,4.332509517669678,5.558452129364014,1.6718612068410679,0.32780761718749973,0.008414786871225556,0.05853271484375,0.03692626953125,-0.0216064453125
203,1337.5817078002603,155.96193661019782,0.6910237060279912,0.4775575266715201,0.9641025678621146,0.7515271940522259,0,0.0,1,6.115462098723702,4.411733185170935,0.2807771343172053,2.8194668292999268,3.509747266769409,2.1690136713692674,0.2900024414062495,0.02732171554465662,0.1567840576171875,0.026947021484375,-0.1298370361328125
204,1863.7122095947084,212.20926565859938,0.5200678767883936,0.4641174922052326,0.8297892257815372,0.6570027770788083,1,11.150037403659912,3,9.190241928886389,7.366780016978945,0.20450583344508516,5.746311664581299,9.476451873779297,1.5993288330552167,0.3699462890625,0.199703069735232,0.1074371337890625,0.057098388671875,-0.0503387451171875
205,1381.9522015271739,180.90630867447535,0.5306344743594154,0.4330119080326931,0.896629719519996,0.577954654649696,1,13.396765517089028,3,7.404245967955545,5.111178484236774,0.18033971810625227,4.593256950378418,5.417795896530151,1.6119816609313664,0.30605926513671855,0.028565875881623827,0.1512603759765625,0.04571533203125,-0.1055450439453125
206,1076.5933331964786,173.1905474294128,0.45103804927407365,0.3068544321387933,0.8580502099223619,0.6451512285947781,0,0.0,2,13.562910613004165,12.873522022481781,0.3013444598980065,10.0014066696167,18.70093536376953,1.3561003027911032,0.5570739746093749,-0.4575637937642161,0.1306610107421875,0.112945556640625,-0.0177154541015625
207,1296.5828645502304,148.24887534757565,0.7413568880188373,0.6357897747962904,0.9602022118601538,0.7361393884040524,0,13.187369988515064,1,7.970992847273245,5.909490659408329,0.19468003084040092,5.178666114807129,5.9561543464660645,1.539198061926051,0.3344573974609374,0.003085522442114013,0.09417724609375,0.05938720703125,-0.0347900390625
208,2586.298537676381,207.28365927499618,0.7564119556685399,0.6226841429227733,0.9600844566191266,0.7720475450485662,1,0.0,4,7.890445456001349,5.731079532771311,0.15722297427963644,6.345385551452637,6.762619495391846,1.2434934634027093,0.29652709960937496,0.05277031622041796,0.06146240234375,0.055450439453125,-0.006011962890625
209,2105.145923460936,212.24690082206968,0.587231514457129,0.41694947500281937,0.9051684169775833,0.7298288964452291,1,0.0,5,11.757555124313047,8.122199290233196,0.11096590234050137,6.878101825714111,9.333797454833984,1.7094185899308538,0.500836181640625,0.0665084441852241,0.100677490234375,0.0572509765625,-0.043426513671875
210,2116.787316031508,217.97257681985937,0.559865068898858,0.34804663084964305,0.9041923479133476,0.7318481149026634,0,0.0,5,7.457146963741006,6.0854266501695315,0.24381042207026646,5.8731255531311035,6.047649383544922,1.2697067168546095,0.35116424560546877,-0.042608889395604296,0.201934814453125,0.048553466796875,-0.15338134765625
211,2445.9333264216043,229.25479169128863,0.5848138307718441,0.9054482139010235,0.9277682658297935,0.7111232972528388,0,0.0,4,9.451744449094452,6.661098754625472,0.1380155165373622,4.362276315689087,5.29989767074585,2.1667000815837607,0.418365478515625,0.04785506099328648,0.0966644287109375,0.03582763671875,-0.0608367919921875
212,1692.2161421910055,182.06175528645733,0.641546657317085,0.4476067442083264,0.9375378798296696,0.7874854803224266,1,0.05168118928313629,2,7.024987632398553,4.814977116371457,0.18427663661888577,7.069278240203857,6.576139211654663,0.9937347765499711,0.2749359130859375,0.2051924385171143,13.778915405273438,0.108489990234375,-13.670425415039062
213,2104.487083838998,216.56541957398696,0.5638685941626602,0.5251034044814898,0.8064923548111236,0.6925257995461733,0,0.0,1,7.988618858866778,6.472927216627275,0.2302124124836834,3.93806254863739,5.069621562957764,2.028565763037695,0.37742919921874996,0.04049594617051219,0.0864105224609375,0.03424072265625,-0.0521697998046875
214,2558.3297819420845,218.18881717015762,0.6753072538087352,0.5451437259785538,0.9231243417824943,0.8113837559667524,1,0.0,1,7.117399399300018,5.031523422890284,0.19320843091334894,4.763422012329102,5.573134899139404,1.4941777950553505,0.2801864624023437,-0.008161570112003561,0.106781005859375,0.059326171875,-0.047454833984375
215,1687.1838703413034,191.33506764029852,0.5791394247081696,0.43089187058717465,0.8913072973092556,0.7122851107805144,0,0.0,3,7.505525227833213,5.880343675378821,0.21105676597006076,4.45548677444458,5.977286338806152,1.6845578514300157,0.3293304443359375,-0.0073188724068335926,7.613128662109375,0.0546112060546875,-7.5585174560546875
216,1828.8284199153572,196.12269415910907,0.5974851626391627,0.4055214572361936,0.9201960266900445,0.7990224881472856,0,0.0,2,7.405162100286195,5.999940078291715,0.2510585985521104,3.2576234340667725,4.589529752731323,2.273179282432191,0.3704833984375,-0.004116850885402438,0.06134033203125,0.048065185546875,-0.013275146484375
217,1038.7538214895644,142.92974796226716,0.6389652543985368,0.560523336682593,0.8938087506267874,0.6957718594737119,1,8.284911326579454,1,6.353494229846411,5.0952397504495,0.3285198555956679,3.3941757678985596,3.853994131088257,1.8718813238655752,0.32491455078125,0.010780255516226685,0.04119873046875,0.037109375,-0.00408935546875
218,1950.0845785656443,214.1135748544214,0.5345334735833694,0.38038353363447225,0.9006744507099181,0.6927669830416189,0,0.0,2,5.029653679926265,4.2724716229904915,0.42194309151499615,2.431199073791504,2.5881292819976807,2.068795490318454,0.2580078125,-0.007136028322064855,0.04229736328125,0.022491455078125,-0.019805908203125
219,1997.4233627623826,210.74814455523926,0.565135344704602,0.5861294115579353,0.8500686900435841,0.6117361454807424,0,0.0,0,7.809804028009339,6.141472755025386,0.2297111416781293,4.106461048126221,5.30697226524353,1.9018332175762276,0.403436279296875,0.04598225875841136,0.0596160888671875,0.043212890625,-0.0164031982421875
