component_id,area_m2,bbox_h_px,bbox_w_px,aspect_ratio_bbox,eccentricity,elongation_pca,solidity_bbox,road_prob_max,road_prob_mean,pit_prob_max,centroid_x,centroid_y,overlaps_labeled_pit,classification
888,390.0,37,53,1.4324324324324325,0.7675973266059218,1.5602269390195396,0.7955124936257012,0.4848679304122925,0.22158695757389069,0.8539583086967468,622935.7817307692,4594946.961538462,False,COMPACT_OTHER_FP
889,219.5,34,33,1.0303030303030303,0.5205387161882448,1.1711822632997706,0.7825311942959001,0.590011715888977,0.23325978219509125,0.8290184140205383,622069.229498861,4594945.047266515,True,TRUE_PIT_LABELED
890,78.75,16,24,1.5,0.7513967377123186,1.5154943448409859,0.8203125,0.32745322585105896,0.15745963156223297,0.6423021554946899,621096.7142857143,4594946.1158730155,False,COMPACT_OTHER_FP
892,249.25,39,35,1.1142857142857143,0.4592887813444584,1.1257622668314686,0.7304029304029304,0.4712536334991455,0.22269946336746216,0.8984775543212891,621105.9764292878,4594926.282347041,True,TRUE_PIT_LABELED
893,255.75,32,39,1.21875,0.5642303368487614,1.211214751218094,0.8197115384615384,0.32423537969589233,0.1529797464609146,0.8783401846885681,620436.6720430107,4594926.183773216,False,COMPACT_OTHER_FP
894,233.75,38,34,1.1176470588235294,0.37206908315005227,1.0773481679993844,0.7236842105263158,0.49371370673179626,0.17861899733543396,0.8669350147247314,622190.250802139,4594922.322459893,True,TRUE_PIT_LABELED
895,285.0,43,38,1.131578947368421,0.5708089921785638,1.2179038503691775,0.6976744186046512,0.4711683392524719,0.18644089996814728,0.9175294637680054,620588.2666666667,4594910.748245614,False,COMPACT_OTHER_FP
896,161.0,37,31,1.1935483870967742,0.7256074420566727,1.4532583712368743,0.5614646904969486,0.4886701703071594,0.13221298158168793,0.7513111233711243,620334.5551242236,4594911.684782608,False,COMPACT_OTHER_FP
897,189.5,31,36,1.1612903225806452,0.5182515912262589,1.1692785508593744,0.6792114695340502,0.4396571218967438,0.2527754008769989,0.8020951151847839,620044.3687335092,4594909.571899736,False,ROAD_LIKE_COMPACT
898,262.5,37,35,1.0571428571428572,0.41463048912823786,1.0989133358520802,0.8108108108108109,0.35720306634902954,0.11589067429304123,0.8247743844985962,623211.819047619,4594907.039523809,False,COMPACT_OTHER_FP
