x,y,kind
697837.4193408334,4648562.003221508,road
697793.9302806556,4648560.240605106,road
697769.5720865703,4648561.780758603,road
697745.4530494815,4648565.404759418,road
697721.106647835,4648565.510678995,road
697696.9579509919,4648562.230760375,road
697673.8429158735,4648565.699951415,road
697837.1745198993,4648590.363390606,road
697876.9546087072,4648567.714983048,road
697859.8527811592,4648601.815929931,road
697876.6509945903,4648567.768120518,road
697841.0113682699,4648562.209234841,road
697817.3561474299,4648587.134807632,road
697792.6858179925,4648611.804686665,road
697836.4466387705,4648591.2839904735,road
697837.1745198993,4648590.363390606,road
699875.4999655217,4646144.14465645,road
699887.5496462065,4646126.035355982,road
699900.3272598248,4646108.553964337,road
699908.1471723499,4646088.282315511,road
699918.5082265795,4646069.159465112,road
699930.5781770851,4646051.15912651,road
699944.0275330605,4646034.070740705,road
699954.1737905918,4646015.00993496,road
699960.1154821726,4645994.140265663,road
699967.0092170057,4645973.565262642,road
699974.193999774,4645953.111078807,road
699982.5665800626,4645933.329687395,road
700000.0484638123,4645933.347143774,road
700002.6652109904,4645954.813933296,road
699998.5413811015,4645976.058514534,road
699992.8246496329,4645996.929243548,road
699987.8934939902,4646018.076011643,road
699985.7173937877,4646039.629984193,road
699984.842416736,4646061.361323236,road
699985.8330618328,4646083.022213146,road
699988.2870938859,4646104.581671879,road
699996.7466253678,4646124.154856024,road
699997.4443358927,4646171.52517294,road
699976.5826712338,4646191.994065253,road
699906.1869128598,4646216.034326545,road
699926.5763342704,4646190.520158661,road
699956.8374591623,4646179.101534224,road
699968.1937422352,4646203.2092336025,road
699839.515949772,4646375.80461495,road
699851.590389147,4646356.208235866,road
699863.9280936426,4646336.782784128,road
699877.3713146988,4646318.123006286,road
699891.8528225108,4646300.268874133,road
699904.667485037,4646281.497764865,road
699919.4268395117,4646263.925688226,road
699934.051507825,4646246.212087648,road
699948.4522421592,4646228.3133016685,road
699962.3442167618,4646210.024253774,road
699976.5826712338,4646191.994065253,road
699906.1869128598,4646216.034326545,road
699889.1296079629,4646231.677591475,road
699872.6427274133,4646247.895951194,road
699856.8608948204,4646264.8251315635,road
699842.4640870062,4646282.934451958,road
699827.8930366482,4646300.89166589,road
699811.9158027322,4646317.636557182,road
699796.9174482105,4646335.232551605,road
699782.3319311487,4646353.187623565,road
699766.3657196952,4646369.943025077,road
699750.0814027184,4646386.349892567,road
699731.2889439968,4646399.600076865,road
699711.5503828955,4646411.117749652,road
699993.8672626019,4646211.971852102,road
699982.3977824925,4646231.166922402,road
699970.9043145166,4646250.347597055,road
699959.3614547773,4646269.498630626,road
699947.2835617027,4646288.284910861,road
699932.8207009955,4646305.245736601,road
699917.3102683957,4646321.2227105005,road
699904.0888956237,4646339.254221922,road
699892.9360840191,4646358.341692134,road
699893.7120543551,4646380.496884811,road
699895.5359767643,4646402.75011863,road
699899.7147459673,4646424.303824641,road
699713.5004628729,4646421.241392647,road
699735.0601844062,4646422.589556702,road
699756.6415324124,4646423.355377538,road
699778.241863011,4646423.610047797,road
699799.4544367767,4646427.675262513,road
699820.9550307048,4646428.859914767,road
699842.5557939651,4646429.071681884,road
699864.1561426223,4646429.324815838,road
699885.3948001079,4646426.953752349,road
699905.9460324303,4646420.343401784,road
699926.1582234686,4646412.720641632,road
699945.9476068756,4646404.087461475,road
699965.5651332292,4646395.043579638,road
699985.2073191581,4646386.0535042975,road
700001.674769355,4646372.448659951,road
700016.5847248093,4646356.819099953,road
700033.3710715738,4646343.256345296,road
700051.5796454588,4646331.730241935,road
700070.6007633745,4646321.49519625,road
700090.5414731671,4646313.960548784,road
700111.901981465,4646310.7406382,road
700133.4569384746,4646310.120027594,road
700155.0587694887,4646310.12600689,road
699901.8424587827,4646421.891002686,road
699925.1539498928,4646422.768011429,road
699948.4748907139,4646422.854919517,road
699971.7937877731,4646422.925604664,road
699995.0970849396,4646423.818281705,road
700018.4000363022,4646424.219736451,road
700041.6797404495,4646425.719782094,road
700064.9082054821,4646427.798756703,road
700088.0894884412,4646430.410821496,road
699839.515949772,4646375.80461495,road
699828.1741102797,4646394.312200765,road
699812.8828015655,4646410.317223198,road
699804.7341443346,4646430.70420888,road
699814.0336333944,4646449.392943034,road
699830.1112663234,4646464.705921648,road
699849.702992452,4646474.624744985,road
699871.9328423169,4646475.7708062045,road
699894.1882032987,4646476.397250667,road
699916.4055187664,4646477.827980034,road
699938.6272704613,4646479.199736598,road
699960.8654587197,4646478.439268651,road
699983.0287349381,4646476.519908896,road
700005.2322061352,4646475.169875972,road
700027.4608601402,4646476.340245316,road
699991.106168807,4646475.694757666,road
699993.1800519169,4646423.942045293,road
700261.9126209846,4646166.459879899,road
700238.6719767039,4646168.431045329,road
700217.983052998,4646179.495304313,road
700208.3569434469,4646199.973197704,road
700217.0307297907,4646220.823469542,road
700227.4389193942,4646241.880720444,road
700234.9790622769,4646264.211823268,road
700136.5971922664,4646258.71725704,road
700114.2863477715,4646246.618096628,road
700090.2940027752,4646238.576840486,road
700065.6786195876,4646232.406250828,road
700040.890381647,4646227.125477739,road
700015.7527425828,4646224.053189562,road
699992.5623661953,4646214.1556879515,road
700136.5971922664,4646258.71725704,road
700150.7601755938,4646241.045794965,road
700165.4358710172,4646223.796086809,road
700181.9265368624,4646208.518163233,road
700203.6719772066,4646205.603513012,road
700209.8168304983,4646225.136521508,road
700200.2280452033,4646245.18578225,road
700183.4083994869,4646260.230722352,road
700165.530730827,4646274.129904986,road
700147.7285905672,4646288.124122484,road
