fold,prob_threshold,n_pred_heldout,n_heldout,recall_iou30,precision_iou30,f1_iou30,recall_iou50,containment,containment_hits,n_rims
1,0.5,115,100,0.86,0.7478260869565218,0.7999999999999999,0.74,0.9,90,100
1,0.55,106,100,0.82,0.7735849056603774,0.796116504854369,0.65,0.85,85,100
1,0.6,98,100,0.76,0.7755102040816326,0.7676767676767676,0.56,0.81,81,100
1,0.65,86,100,0.6,0.6976744186046512,0.6451612903225806,0.4,0.72,72,100
1,0.7,70,100,0.46,0.6571428571428571,0.5411764705882354,0.26,0.61,61,100
1,0.75,44,100,0.3,0.6818181818181818,0.4166666666666667,0.16,0.41,41,100
1,0.8,25,100,0.18,0.72,0.28800000000000003,0.09,0.24,24,100
1,0.85,16,100,0.11,0.6875,0.1896551724137931,0.01,0.16,16,100
2,0.1,253,99,0.7878787878787878,0.308300395256917,0.4431818181818182,0.2727272727272727,0.9797979797979798,97,99
2,0.15,207,99,0.8585858585858586,0.4106280193236715,0.5555555555555555,0.36363636363636365,0.9797979797979798,97,99
2,0.2,188,99,0.9191919191919192,0.48404255319148937,0.6341463414634145,0.5050505050505051,0.98989898989899,98,99
2,0.25,172,99,0.9393939393939394,0.5406976744186046,0.6863468634686347,0.5959595959595959,0.98989898989899,98,99
2,0.3,160,99,0.9494949494949495,0.5875,0.725868725868726,0.7171717171717171,0.9797979797979798,97,99
2,0.35,152,99,0.9393939393939394,0.6118421052631579,0.7410358565737052,0.8080808080808081,0.9595959595959596,95,99
2,0.4,142,99,0.9292929292929293,0.647887323943662,0.7634854771784232,0.8181818181818182,0.9595959595959596,95,99
2,0.45,133,99,0.9191919191919192,0.6842105263157895,0.7844827586206896,0.8383838383838383,0.9494949494949495,94,99
2,0.5,128,99,0.8888888888888888,0.6875,0.7753303964757708,0.7373737373737373,0.9393939393939394,93,99
2,0.55,118,99,0.8484848484848485,0.711864406779661,0.7741935483870968,0.7070707070707071,0.9090909090909091,90,99
2,0.6,112,99,0.797979797979798,0.7053571428571429,0.7488151658767774,0.6060606060606061,0.8787878787878788,87,99
2,0.65,101,99,0.7171717171717171,0.7029702970297029,0.7099999999999999,0.5353535353535354,0.8383838383838383,83,99
2,0.7,93,99,0.6868686868686869,0.7311827956989247,0.7083333333333333,0.40404040404040403,0.797979797979798,79,99
2,0.75,81,99,0.494949494949495,0.6049382716049383,0.5444444444444444,0.23232323232323232,0.7272727272727273,72,99
2,0.8,48,99,0.32323232323232326,0.6666666666666666,0.435374149659864,0.10101010101010101,0.4444444444444444,44,99
2,0.85,36,99,0.20202020202020202,0.5555555555555556,0.2962962962962963,0.010101010101010102,0.3434343434343434,34,99
3,0.1,370,100,0.74,0.2,0.3148936170212766,0.24,0.9797979797979798,97,99
3,0.15,239,100,0.83,0.3472803347280335,0.4896755162241888,0.33,0.9797979797979798,97,99
3,0.2,195,100,0.88,0.4512820512820513,0.5966101694915253,0.44,0.9797979797979798,97,99
3,0.25,176,100,0.9,0.5113636363636364,0.6521739130434783,0.6,0.98989898989899,98,99
3,0.3,164,100,0.93,0.5670731707317073,0.7045454545454545,0.76,0.9696969696969697,96,99
3,0.35,157,100,0.95,0.6050955414012739,0.7392996108949417,0.82,0.9696969696969697,96,99
3,0.4,147,100,0.94,0.6394557823129252,0.7611336032388665,0.84,0.9595959595959596,95,99
3,0.45,144,100,0.92,0.6388888888888888,0.7540983606557377,0.81,0.9494949494949495,94,99
3,0.5,138,100,0.87,0.6304347826086957,0.7310924369747899,0.72,0.9393939393939394,93,99
3,0.55,127,100,0.83,0.6535433070866141,0.7312775330396475,0.59,0.898989898989899,89,99
3,0.6,114,100,0.72,0.631578947368421,0.6728971962616822,0.48,0.8383838383838383,83,99
3,0.65,100,100,0.58,0.58,0.58,0.34,0.7575757575757576,75,99
